Lovin' Cup,Triumphs,spotify:track:0sn87X2Ff5gxqTXgNOYjBe
I'm Down Today,The Drones,spotify:track:1IiaLPfBo4Wbt4jhsx8j2R
Summertime Blues Live,Blue Cheer,spotify:track:0BWGx9Zi9JhUZRUEpkSEM1
That's Tuff,The Shademen,spotify:track:6JVpvEgxMLxxuvqgZC8geR
Someday Baby,The Untamed,spotify:track:6zxIM7gHsIaOJbSr3RsXOz
I'm a Nothing,The Magic Plants,spotify:track:4RiKbu2sRpOWdtTi7zHHlX
Action Woman,The Litter,spotify:track:0We1YjSbxUsUoFBNJQ6DPN
Hey Mama,Peter & The Wolves,spotify:track:0V2ksQtBcxjBtuG1rGFrFD
The Other Way Round,The Heathens,spotify:track:7Dv2avzwxBPBXD9RANi031
Kick out the Jams (Original Uncensored Version 1968),MC5,spotify:track:5uw7mLpIT9FhBvSlF4IRYG
Alright,The Legends,spotify:track:5fC5tEVMYNPXfhegzRrmEk
Planets Collide,Crowbar,spotify:track:4N6Ybkc3ElERrcSWZos2eP
...and Suffer As One,Crowbar,spotify:track:0Reu9v6eDHveNRCPN4Ew3F
1000 Year Internal War,Crowbar,spotify:track:317zaqN2660ImlUsc6g1M6
To Carry the Load,Crowbar,spotify:track:6BY3L1mEXOrUkIuuZMt0dc
December's Spawn,Crowbar,spotify:track:3IAv3M8NSmwP5u5rJzZRp5
It's All In the Gravity,Crowbar,spotify:track:1cnOxkuIjfCutzDb9CehSZ
Behind the Black Horizon,Crowbar,spotify:track:6zR0sFl4kVeL7gk3mPipeD
New Man Born,Crowbar,spotify:track:6apc4UQrz5VFCl0dVaR9BT
Scattered Pieces Lay,Crowbar,spotify:track:1xUmrc4mMNg0rToFJveNlX
Odd Fellows Rest,Crowbar,spotify:track:3n5HiFiHQx8nCOLlwYdJe1
On Frozen Ground,Crowbar,spotify:track:5DhLFUOHJDREGtlbqx9AKg
Remember Tomorrow,Crowbar,spotify:track:5mstGGUiBdXvzxyfAIY2QL
Intro,Crowbar,spotify:track:3cd0dqKFhYcIDQCXY7pTwO
Planets Collide,Crowbar,spotify:track:4cq7K9q3HgY3lQANNssygF
...and Suffer As One,Crowbar,spotify:track:5XdBS1RiLSOBavMBJZHQqa
1000 Year Internal War,Crowbar,spotify:track:1y8Uk1Dp4WBTEmaqs9a2yG
To Carry the Load,Crowbar,spotify:track:5NlbccSz8syX3mBLqxFxAx
December's Spawn,Crowbar,spotify:track:0xCOWBM5hFUBIGyzVLB6bt
It's All In the Gravity,Crowbar,spotify:track:07Jg8UClJ2DmmItqzFhoXu
Behind the Black Horizon,Crowbar,spotify:track:6D6bnVry71MYpb07Y745Lq
New Man Born,Crowbar,spotify:track:3ZgJz6W6O7Bv2thXj80c6A
Scattered Pieces Lay,Crowbar,spotify:track:0OMG3KLWar2iTZozkPz0xq
Odd Fellows Rest,Crowbar,spotify:track:2EFB5R9MULanshsHLFqJaC
On Frozen Ground,Crowbar,spotify:track:7bt7zL0Ad4iVrPCUCQUNj7
Remember Tomorrow,Crowbar,spotify:track:75KiTONd4Xbf7jRZqfBbBm
Back For More,Lawsome & Four More,spotify:track:6eZxdQ6b0fSDUHWH4MUbWk
Soul Kitchen,Lime,spotify:track:6yzeyTkBZmRXIrGCRhFLKy
Love a Go-Go,Lime,spotify:track:0rudVzCbUc2vrv6IzJ2kuG
Since I Met You,The Marauders,spotify:track:3jydGKQsVpCPai542F7LXk
I Don't Know How,The Marauders,spotify:track:4t1K3gk2pqK2uyghw2L2vG
Hey Girl!,Thee Saints & The Prince of Darkness,spotify:track:2PCJE4BnbOeLia2kX4l4lg
Running Away From You,Thee Saints & The Prince of Darkness,spotify:track:4kqvPtBt9vvrH5UYtyPFrP
Help Me,Sirs,spotify:track:5CjfQL6ESF53qQDejRDHKG
Off In a Day Dream,Sirs,spotify:track:36gIxDgkWEAY7YxzLwy4to
Hey Joe,Soulbenders,spotify:track:6TUxPiocv8T0Twz8mNWeLR
I Can't Believe In Love,Soulbenders,spotify:track:7EMLbQA2ZUg8YdgbD6gHyb
Stupid Girl,Trolls,spotify:track:6xjSaZym3glYOsaBPWcYD4
I Don't Recall,Trolls,spotify:track:0PfnBH4PTdvtov2xp4vIPi
Young Blues,Vagrants,spotify:track:4nJVQedX3nDGiMhnIdiOPa
I Can't Make a Friend,Vagrants,spotify:track:6I0nGzmQLauUGkHNLblhQs
I'll Go Crazy,Fax,spotify:track:3jP3nh3p0DIQFeR8LOLhzN
If I Needed Someone,Lost and Founds,spotify:track:4piZJV7pNi03RpI5N8tGHT
Coming Down (To You),Boy Blues,spotify:track:5qZlt8zCC35NRc9DPEGoIr
Living Child,Boy Blues,spotify:track:45eWmi3t7NyjWXq1PHs08h
Got Love If You Want It,Bush,spotify:track:0girFZ0BT9pvCGJ2YncmT3
Feeling Sad and Lonely,Bush,spotify:track:250h0mRF6CF9SJeCErYPsH
I'm Gonna Tell on You,Cardinals,spotify:track:6gceOXtSOl4Gje92utJhzD
When You're Away,Cardinals,spotify:track:006T0RfqbZZ6PbMyDhJFnl
Circles,Chesmann Square,spotify:track:7K7Vh8eOFZodBe819FkhP4
I'm Not Alone,David,spotify:track:6KB8kYDOOAeJfp8S0duu8g
Sweet December,David,spotify:track:6YM5Ev1nU9VXjUsyjB44hU
Boris the Spider,The Kords,spotify:track:2S8Of9qFsFeJALgafjEDIl
On the Road Again,Deverons,spotify:track:67iaKetIeidETuNsP0yiQU
Lovin' Cup,Triumphs,spotify:track:0sn87X2Ff5gxqSTXgNOYjBe
Saturday Night,The Country Gentlemen,spotify:track:0xkW9uyT7Kg8tsrVepeud3
Searching,The Omens,spotify:track:0BnQt1c6uFq5DAbw2wquwT
Pretty Little Thing,Deepest Blue,spotify:track:4XeoKkK8UPK0DkEvB0tets
I'm Gonna Dance,Decades,spotify:track:05WEWLuM2pQVpVRlMyoX0U
Somewhere They Can't Find Me,Alliance,spotify:track:2OQ2v8ynKfQ8dznK94A2mG
(I'm Not Your) Steppin' Stone,Alliance,spotify:track:5W6OM9szepggHLaQlbU7tk
Can't Tame Me,The Benders,spotify:track:5Gq0WZHZgvn90gjiHgHXuZ
Got Me Down,The Benders,spotify:track:3rpMxxrjLxtZLC2lElHVD1
That's the Way Life Is,Cirkyt,spotify:track:2Zx9oqaCpSDLRlo55UEPWZ
Six Page Letter,Cirkyt,spotify:track:4ZYPbo724S9DmFoIlfnBGz
God Is Alive In Argentina,Doppler Effect,spotify:track:6fvGMGCuWr6UnrrqkNrlac
Memphis Woman,Doppler Effect,spotify:track:2X1AX8jZbEMZ7dUHtehckD
Total Raunch,Intruders,spotify:track:5RikprAAR8N4dI1e0e1Ldh
Ruins,Intruders,spotify:track:2C6m3enAoHWVmpFexHn3C3
If You Want Me You Can Find Me,Lawsome & Four More,spotify:track:7alYqS5ta6RcOjfNsW0W1I
