Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
G.I. Blues,Elvis Presley,spotify:track:1pXmyG43Z3b8w4NLpBD9gg
Let's Go Get Stoned,Booker T. & the M.G.'s,spotify:track:1XCqGflyHjZAE1BnRqWUc9
Pow R. Toc H.,Pink Floyd,spotify:track:0X0SM0KFf88MFvvnJNmi6D
"Finders Keepers, Loser Weepers",The Electric Prunes,spotify:track:6WHukAbC5NTQGWi82hN95c
Burning of the Midnight Lamp,Jimi Hendrix,spotify:track:36SULeBeglappJysOY6WzQ
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,spotify:track:6vcNJUWtUPB0hKC6VbZriY
Little Happy-Go-Lucky Girl,Brenton Wood,spotify:track:7bWN11YgTrUZbpkb8iyN6c
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,spotify:track:3qCHUm73I3o5F1mDEfibzo
Pink Ether - Mono,The Deep,spotify:track:4jk1n5hwlea9bRVJ3Ee0JS
Do You Think It's Alright? - Live,The Who,spotify:track:1P4qM9TXFSDpP28rbE4KwA
Black Sugar,The Three Sounds,spotify:track:1pNVdD6vrScaCSjuxWjakO
I've Got Misery,The Motions,spotify:track:5Zla6guJ4xwMsIoKu8A0o5
Penny Lane,The Beatles,spotify:track:1sjmKmR4u9xDeJHjDCn2bZ
Strange,The Uniques,spotify:track:405aBWepcW3qzE6HV8yTLg
Return To Sender,Elvis Presley,spotify:track:5X9HyOUU20R8SzWpfD3Ipi
Shortnin' Bread,The Astronauts,spotify:track:2xVzPnu4kh12d668CaaJ93
Sway,Bobby Rydell,spotify:track:0Rljuc2jKuLaSkgmdjCNoc
Capetown,Bruce Johnston,spotify:track:5FtmofsYQgeD2FY3sDPFmC
My Gal - Single Version,The Sorrows,spotify:track:38y0F6lwWSoeqbBkGiZ0ad
Am I a Good Man,Them Two,spotify:track:1uUitmrrG3Z9RpT5g6RUlk
The Other Side Of Me,Eternity's Children,spotify:track:07jWG5sGZaVugdPPPFzVO7
Nowadays Clancy Can't Even Sing,Buffalo Springfield,spotify:track:3OL43r2enbxrT9htCmf8C8
Upstairs Downstairs,Graham Gouldman,spotify:track:4CHSQnPCIdQHMNJb2ufjLa
Astral Weeks - 1999 Remaster,Van Morrison,spotify:track:0vz4iTEfsp2lunsRJeMzjj
Cadillac,The New Colony Six,spotify:track:1eCiL6LzBPXy8GFpv5rB9d
Eve Of Destruction (Stereo),The Turtles,spotify:track:62ECcEUTVSnDvavP0al1ja
Own Up Time,Small Faces,spotify:track:74uA8uEFsKASowNnYNh6eb
All of Your Toys,The Monkees,spotify:track:3YfD35VVtc5zpF9whB6TNn
Surfin' 'Round The World,Bruce Johnston,spotify:track:0sIStH9DwYm9CwdfaoaIJg
A Fool Such As I,Slim Whitman,spotify:track:0OF37ym78wrRVdHP3JJNlz
Last Laugh (Mono),The Turtles,spotify:track:4XpJdh3a8bBjl98Zs5MQRw
Band 6 - 2007 Remastered Version,The Monkees,spotify:track:0zQ1i7X5cIEByrnVONlqgK
Follow,Richie Havens,spotify:track:3N84ShphyqroDpTsKCXXaM
California Soul,Marlena Shaw,spotify:track:0OwvrdjaJOypNsNQHyBWE5
Lost Woman,James Gang,spotify:track:0xpXLOs75M21CYFkrer5cG
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,spotify:track:5qBqBdfTEIWJwAS0Jm2F5R
Journey's End,The Fire Escape,spotify:track:5nf2ylhJeg8FFYu50srQpJ
For Another Man,The Motions,spotify:track:4Z6kvn1bJoF4ufcyv2A4Xo
Double Yellow Line,The Bonniwell Music Machine,spotify:track:0hkkP3vK5u6Qb47Kl0hE8n
Real Real,Nina Simone,spotify:track:7uYvKcX4hJ4YUVV06qsmer
Genesis Hall,Fairport Convention,spotify:track:5Sw4woC7xPGuBbmXDKNP3A
Sunrise - Mono Version,The Who,spotify:track:1XUWBzsx4wyOdGV6yMZYR0
On Off - Off On - Stereo,The Deep,spotify:track:4DBC19E5pyDlvFa2riygIZ
California Sun,Tommy James & The Shondells,spotify:track:2thxpsUKeJWDqKAtfJQVTL
The Kids Are Alright - Mono Version,The Who,spotify:track:4TfXSV5IenxpMzHzehOaLT
It Ain't How Long,The Weeds,spotify:track:1m2ExmerRKbyD1xlAwj0Fx
It's Too Late,Small Faces,spotify:track:1gxlvaccZ9CDOKIl35XKWD
Where Is This Dream Of Your Youth?,Strawbs,spotify:track:6EnKviNDr1RCziYEtSiRHZ
All the Way,Living Voices,spotify:track:6EteRpEh7eHE6q7Cf6ooJS
Lucifer Sam,Pink Floyd,spotify:track:0lT4imdjSzpCtooUccYAKj
Surfer Girl,The Sentinals,spotify:track:5bAnXAp9lwJFbTy2SiFg3K
Oh Daddy! - Remastered,The Turtles,spotify:track:1Kl1Jq9fCcqs9n2xiZiz4s
Forget That Girl - Rehearsal,The Monkees,spotify:track:2nUfGRB9v6VFxseLmeOaDe
1983...(A Merman I Should Turn to Be),Jimi Hendrix,spotify:track:5uDpwSGjljhIgDB1ZYdp9c
The Folks,Dave Grusin,spotify:track:28ZcMK5LlHKPp3VdV87l0a
Eve of Destruction (Mono) - Remastered,The Turtles,spotify:track:1pSXBhh6bdAyR3SckLYWi3
Ruby Tuesday,The Rolling Stones,spotify:track:144S2OoUubFZNcQwIjpi6C
Sunny,Bobby Hebb,spotify:track:2JdM4xPoCuHrMzOGQrMUBj
Suzanne,Leonard Cohen,spotify:track:2L93TdW2GMue1H2zlkt30F
Journey To The Center of the Mind,The Amboy Dukes,spotify:track:5eQL5AQ3iNI4Hqq6TqZ2xd
Color Dreams - Mono,The Deep,spotify:track:05fk13Fdeev5KXCd9Ofw7A
Boss Hoss,The Sonics,spotify:track:49iS8kUOAECU7BmXBHItuq
My Mirage,Iron Butterfly,spotify:track:5Wi8Fl7OpiNvcESROwCYEg
Good Times Bad Times - 1993 Remaster,Led Zeppelin,spotify:track:0QwZfbw26QeUoIy82Z2jYp
The Locomotion,Little Eva,spotify:track:5xzdDMhFYiuUONB0Mha9VS
Carry That Weight - Remastered,The Beatles,spotify:track:5sUtmdstrI4FFOoiUACnEC
Everything Gonna Be Everything,Don Covay,spotify:track:0xj5vqiHVdI2NmcdDAj6UY
Anyone Can Move A Mountain,Marlena Shaw,spotify:track:1c3964uCNbBhFVlJ0wWzfe
Portobello Road,Billy Nicholls,spotify:track:3PpEEqNKasBBiUjET9rOx9
A Lover's Concerto - Stereo Version,The Supremes,spotify:track:1s1J0XvWdlCbs4VTQCg6Wm
Plum Nellie,Small Faces,spotify:track:2UunlXPmJW2I9tEvt8qreU
Time Song - Single Stereo Mix 2018 Remaster,The Kinks,spotify:track:4mIzk68utjuQ1kEN1xrehg
Love in the City - Remastered,The Turtles,spotify:track:6XHgaITks17sZzBW3AwSaR
Morning Broadway,Keith Mansfield,spotify:track:6X0ufegIaeHxuShNKKmIGQ
Melancholy Baby,Sapphire Thinkers,spotify:track:4WFVq5oIeIzvFx2S7KAmZf
Too Young,Prufrock,spotify:track:1CqieVuUxywYWdrsrur7At
It's so Easy,The Astronauts,spotify:track:07BLgQ7WdoeV2HovupfFDM
Down In Surburbia (Stereo),The Turtles,spotify:track:0FJeZYm6ojd1iceWgdWqbf
Rocky Raccoon - Remastered 2009,The Beatles,spotify:track:1ITQbrueGLl581a25XXm9c
Two-Part Invention in F Major - Informal Recording,The Monkees,spotify:track:3d84Kx8NOLBb4tzav1EZzS
Come Live With Me,Dorothy Ashby,spotify:track:3YT2vdLbvfcjfCiNR4DsKT
Venus In Furs,The Velvet Underground,spotify:track:3x5IM9VEpsFLhkzy9YT2F0
How You Doing Now,The Easybeats,spotify:track:0PiWLJqDDkeI5vz3tOtaH0
Fixing A Hole - Speech And Take 3,The Beatles,spotify:track:3jropE4BAPdywe8r42Yhxx
Sometimes I Wonder - Mono,Archie Bell & The Drells,spotify:track:7CeV9LRj24gIQS6XlBolsr
Take A Look Around,James Gang,spotify:track:41fnnXTNLjAWGIhHX5Z7of
Everywhere I Turn,Stone Country,spotify:track:451vIVZMKcaWkdIOh3otsv
I Walk the Line,The Astronauts,spotify:track:6PG5hhECdGRekWgcAGhIgt
Run For Your Life - Remastered 2009,The Beatles,spotify:track:4gUYV3ktbaOeAK5KrXMWV5
Dazed and Confused - 2014 Remaster,Led Zeppelin,spotify:track:5MWfv4F84sJhScYq18yqbN
My Babe,The Remains,spotify:track:5ywHjloXSvulcyyDmG9iok
Run and Hide,The Uniques,spotify:track:6iU7WqS7ASJkMnLzrw33pX
Tomorrow Never Knows - Remastered 2009,The Beatles,spotify:track:00oZhqZIQfL9P5CjOP6JsO
My Mind's Eye,Small Faces,spotify:track:7dXoJAJRHqTi0GddFKRX80
Mi Viejo,Piero,spotify:track:3bWMCH2M7JWUga1WRagDzs
You Know He Did,The Attack,spotify:track:5vuiJWTCDvobT8wboWWrNU
House Of The Rising Sun,Joan Baez,spotify:track:3AuVZyDw1VhjjLfHZR4ba3
Words Of Love,The Mamas & The Papas,spotify:track:59zGWeM47BIpJBTUshvOD4
The Good's Gone - Mono Version,The Who,spotify:track:0YP9BMzLGTSDInsX8Rkwhf
Santa And The Sidewalk Surfer,The Turtles,spotify:track:3aR7Yy81lrSlWrWay6cNog
White Rabbit - Stereo Version,Jefferson Airplane,spotify:track:1FuREEwH3Dc9jEItAR9JWr
Good Morning Good Morning - Take 1 / Instrumental Breakdown,The Beatles,spotify:track:5ZUnnke4Zv4oEG9XJicUVM
Winter Song,Nico,spotify:track:2Ez8ZPwbc6JRRWQ96FMXxS
Think I'll Run Away,The Turtles,spotify:track:3FzsPxwAPghc0FnFSH4cRZ
Today,Jefferson Airplane,spotify:track:0yLfXULLuRtVj2L4DIrwO7
Let Me Be,The Easybeats,spotify:track:04G5efyVerR085pxEdC7Ud
A Lover's Concerto - Stereo Version,The Supremes,spotify:track:38ou3jKZCnSzLfHf35PkFS
The World's On Fire,Strawberry Alarm Clock,spotify:track:5Osu3BeGYl2t0auN3IXHam
A Day,Paper Garden,spotify:track:4n2LVAJ6EgCJrO1oTx4O31
Out In The Street - Alternate Take 1,The Who,spotify:track:43One6y2CuOxyGyNetWg5L
(Tell Me) Have You Ever Seen Me - Alternate Take 2,Small Faces,spotify:track:1aEli1jGtZNt3LhrRqNfx8
Somewhere Friday Night - Remastered,The Turtles,spotify:track:1iw2fvauBpLkRt7CYFGrcc
Love Won't Stop,The Motions,spotify:track:48prmWG0NU6DrqkEX8ARb1
Back to Philadelphia,Ford Theatre,spotify:track:4LcBf2mTGzrTjOyZKfh3uN
Time Wont Let Me,The Uniques,spotify:track:1i9JdkQTalPvFxFVwZWnJR
Something You Got (feat. Van Morrison) - Mono Version,Them,spotify:track:6EK1Y4UT8Ky8rHZkxXsOFW
Sit Down I Think I Love You,Buffalo Springfield,spotify:track:70dh9SQ7pcNLn7QE5dbIiX
The Old Oak Tree,The Easybeats,spotify:track:0JWkgv1IS30LkDAfucG2DF
Let There Be More Light - 2011 Remastered Version,Pink Floyd,spotify:track:0baVb7JOstPFRDi7pMFzJE
Dark Side,The Shadows Of Knight,spotify:track:5gKBC9DYXxO1SQabsyWflS
The Snake,Liverpool Five,spotify:track:0OL5s4qgSC8Oh7LHgOXGQ2
99 Pounds,The Monkees,spotify:track:0Cz7DG02PBoksZ7Ur265aP
Tommy's Holiday Camp,The Who,spotify:track:3Kwb94y1N7YAyUxWPciZrr
Girl On My Mind,The Easybeats,spotify:track:3A8QqIxjvLuEHERTgmD0D4
Ticket to Ride,Vanilla Fudge,spotify:track:0FjjFFPpvzC9sK3mdUenr2
Broadway Combination,Dyke & The Blazers,spotify:track:6tdkPyB2ug91EVfQZ1CYwj
I'm Gonna Tell Everybody,The Easybeats,spotify:track:1Yn4SFfkDSr96SQAmgl21G
Hey Everybody,The Motions,spotify:track:3X5LkJZoQJxpBjes0o8MLo
Funky Mule,Buddy Miles Express,spotify:track:1hQ2OT305UbsmJ3FlKfpdX
Maybe The People Would Be The Times Or Between Clark And Hilldale,Love,spotify:track:4IcTpvoM4dXXEIRtHFnRlj
Good Morning Good Morning,The Beatles,spotify:track:6HjHJTZKZeypaBQJc93yop
Piscies,Gary Usher,spotify:track:6FU6msQo50tumZyxo0plSF
Rock-A-Bye Your Baby with a Dixie Melody,Aretha Franklin,spotify:track:7vNq9awmDqVRUhA0HW1OaL
I've Been Driving On Bald Mountain,The Kinks,spotify:track:2crHMe0Aw1KZxdytn6mIMw
Captive In the Sun,Eire Apparent,spotify:track:0yOrJf3Y50iKAUqhhvlBjO
The Ballad of Bonnie & Clyde,Georgie Fame,spotify:track:1C2K7ouw8OYXVThAnSXID9
Our Love (Will See Us Through),Nina Simone,spotify:track:1Und9IObfb5msGO7diRurV
It's Your Thing,The Isley Brothers,spotify:track:3ZxfehzRtB3oJcBuxWXFZQ
Bucket T,The Who,spotify:track:0roo59Qk7LNUknbh27sHbj
Season of the Witch,Donovan,spotify:track:6MOEQCtAWNSCmvg3SFKF5y
Experiment in Terror,Henry Mancini,spotify:track:2rHq2boXPGzoPdFD7yA9JX
Gentle on My Mind,Aretha Franklin,spotify:track:6hIdxA1AVsqCqyGrjK1iie
Cobwebs And Strange,The Who,spotify:track:5ZgS767avJWRO83TXZMCSm
"Oh, Pretty Woman",The Uniques,spotify:track:5pcg51ARIybIL7guLqNVcl
Where Is My Mind,Pesky Gee!,spotify:track:3cwXslSwlhwxIkbWPquRp4
Yellow Cave Woman,Velvet Fogg,spotify:track:1Tq8l3Rykir0iIvqtJ9jfR
The Last Thing I Remember - Remastered,The Turtles,spotify:track:7vOSvEzEAW6ncAd2w8IzcX
I Saw Her Standing There - Remastered 2009,The Beatles,spotify:track:3KiexfmhxHvG5IgAElmTkd
Stand by Me,Otis Redding,spotify:track:1aj4GXfmEYXfdVZohCpNKu
Tripmaker,The Seeds,spotify:track:1TTIyvyRVjAwy9rz2TQ7i1
"Memphis, Tennessee - Live",The Astronauts,spotify:track:1Leb5in6jbJm5oDVzEixEQ
Notes So High,The Levitts,spotify:track:0C25ES4YbmDRlYrjkwCvH3
Jugband Blues,Pink Floyd,spotify:track:7L1n9EL0Sh0LMOyxDI7rxr
Down Left,Carlo Savina,spotify:track:7CO6Y2ZvIvaZ9JNiK90Itc
This Little Girl of Mine - Live,The Astronauts,spotify:track:0ysVFty3QrvdxfIi8vatvb
Don't Have to Shop Around,The Mad Lads,spotify:track:2uzchPY6uyXPEYFzWiT1rh
Think For Yourself - Remastered 2009,The Beatles,spotify:track:64bKVrkaXQAKx04dLHqCNz
Eleanor Rigby - Remastered 2009,The Beatles,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q
Happenings Ten Years Time Ago - Mono,The Yardbirds,spotify:track:3WJtN4tfE2aUoPAU8Vq5N9
Sound Asleep - Remastered,The Turtles,spotify:track:54K0uCp29RmmmstV3NUDeX
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,spotify:track:1Ud6moTC0KyXMq1Oxfien0
Rose Garden,Lynn Anderson,spotify:track:5TBn5BUiC731JytZDUZZmp
Black Magic Woman,Fleetwood Mac,spotify:track:2SL0h7FKhJ1O5DcvmvPqU5
You'll Lose A Good Thing,Barbara Lynn,spotify:track:7FVwcvemv4IGBBgaP4V7mE
Picture Book - 2018 Stereo Remaster,The Kinks,spotify:track:5HOQNAXcPSwV7Gt8AV8qiP
Reach Out For Me,Burt Bacharach,spotify:track:2GQHVd0VrJnQ0h3eKAfh1h
Acka Raga,Shocking Blue,spotify:track:1zrfoV26JfSedkbRcMHDys
Final Song,Under Milkwood,spotify:track:1Pxz3q34G8Z0T6uZag3u9V
Guess Who?,Dusty Springfield,spotify:track:2aXXcIHW3y7O7mVSFuw9Z5
Who Can I Turn To? (When Nobody Needs Me),Dusty Springfield,spotify:track:4qDc0sd1ngZmgUBMyhXnXc
A Legal Matter - Stereo Version,The Who,spotify:track:1DPKXco1PuFswTCHLiTQJI
If You Don't Know You Just Don't Know,The Dialtones,spotify:track:03hgbjusFg0zH7ND1E9Kmn
Me And The Township,Strawberry Alarm Clock,spotify:track:71OyZBWzilj5txghuH329F
Rael - Early Mono Mix,The Who,spotify:track:3eqcocqtBWRt5Wkesd3cbk
"A Little Bit Me, a Little Bit You - Stereo Remix",The Monkees,spotify:track:4esjgEE7Z1FbIoGobLxjfi
Cadillac George,Travel Agency,spotify:track:7Beb7uh7M740CfPhEVgifU
Black Gold,Gene Harris & The Three Sounds,spotify:track:4Vc200GlaMXrjbS0kEPnlV
Crazy - Single Version,Patsy Cline,spotify:track:42fKW5Jhj97tj0TwE1pK8u
Mother Popcorn - Pt. 2,James Brown,spotify:track:6n2OrsXqVl4XgJPUZID9Qh
The Good's Gone - Stereo Version,The Who,spotify:track:79534UgfcUxAbzLt6zLh08
Lilac Wine,Nina Simone,spotify:track:3Hi4KlRtdgJbyIUpeFBckY
"Dirty, Dirty Feeling",Elvis Presley,spotify:track:3kJS05c6cKkiWDTt8Qo121
Relax - Mono Version,The Who,spotify:track:6x4cQSRXDWZzaraR6Hpvdg
Midnight Hour,The Uniques,spotify:track:3fzUt3c1t6uOhkfl8rsAuy
I've Got a Feeling for Love,The Yellow Balloon,spotify:track:4Aqh8MgecId48CbOUL3OQv
Blast Off!,The Monks,spotify:track:0Viv1foeTuKaeFYG5TBnAJ
Got To Get You Into My Life - Remastered,The Beatles,spotify:track:2qcQSnkcOivjyAAVZoQDVh
Chain Gang,The Supremes,spotify:track:4Pn2YZy9YASmNUuNEYs55o
You Ain't Tuff,The Uniques,spotify:track:7Ma6I6sqDDMkAeDTsv6bhV
Eleanor's Cake (Which Ate Her) - 2003 Remaster,Kevin Ayers,spotify:track:3gcAwPJj2fnmPWQpLVzHfz
"Mercy, Mercy, Mercy - Single Version",The Buckinghams,spotify:track:1MiJfOXSXATS1cEEZA1wgj
Amada Amante,Roberto Carlos,spotify:track:1EjTQ72d5YuDI3yD3n5e4a
Motoring - Mono Version,The Who,spotify:track:19VDtFtOiMw06pjgU20XBW
Porpoise Mouth,Country Joe & The Fish,spotify:track:6xiv6dWAsJ0PTE36wLVcXf
We'll Sing in the Sunshine,Gale Garnett,spotify:track:3WYYzUlLrl4NVNeoKd7MnG
Lady's Baby,The Monkees,spotify:track:4NqEaBlqfyFtibhyySrywx
I'm A Believer,Neil Diamond,spotify:track:0Xh4FLPsZSlXIupqRvdbs2
LlorarÃÂ¡s,Los Golden Stars,spotify:track:5QW4TnoOXrSvaKsMRupJcj
Love Seems Doomed,The Blues Magoos,spotify:track:2rf7SicEgDXfysf6dMG0v9
Gypsy Wine,Paper Garden,spotify:track:4lViszx0M5lDAXy9cjhkSs
Look to Me,The Uniques,spotify:track:6TEwhm4A7PAFaHdPiNgZKK
The Thrill Is Gone,B.B. King,spotify:track:6wDQMwQAwxIt6w8pUbIshR
"Return to Sender - From ""Girls! Girls! Girls!""",Elvis Presley,spotify:track:3uwIoa2emQILz6BmH6MtiW
Every Little Bit Hurts,The Spencer Davis Group,spotify:track:0ligh6LFq3AIzhG092ZY3L
Fare Thee Well,Joan Baez,spotify:track:6OBvN19uhEDXFBJkCwL58h
Only Sixteen,Sam Cooke,spotify:track:4ksfrsQSVrP0DYdMyMXYxN
Sunny Girlfriend,The Monkees,spotify:track:5UiikpGMT7rdncciw0ahV0
Food,The Turtles,spotify:track:4Uqs7gS7qpRbeh16WJkEfs
Going Out Of My Mind,The Easybeats,spotify:track:68iGRu8OlmLoqttGiNAaiH
Strange Girl (Demo) - Remastered,The Turtles,spotify:track:3lSpaJdPgRCdqTj9AVlAyI
Being For The Benefit Of Mr Kite!,The Beatles,spotify:track:6UuPrHr8Ik947c4tBDuHZe
Gonna Leave You Alone,The Merry-Go-Round,spotify:track:18VxZn2qq9UXtnCp2Swcvx
This Is My Song,The Johnny Mann Singers,spotify:track:0ttrN8xBRr72grwh91HMrP
Dark Side Of The Mushroom,The Chocolate Watchband,spotify:track:4fKiaoYOxv2Ys6tAeY1WZ8
Susie-Q,The Astronauts,spotify:track:19f3oXg21QZeKd7egey4Xn
The Fat Angel,Donovan,spotify:track:4BtgYwuy4s2v4XApbgW0Rd
Eles - Remastered 2006,Caetano Veloso,spotify:track:69HsNmlFeJGFkmcLnb4SVh
Love Is Good Love Is Real,The Motions,spotify:track:6HfRZaqColEuqQbn0ZK8CI
The Nothing Song - Live,The Velvet Underground,spotify:track:7kJPOybPGExkBvmtEXFWBe
Circles - Alternative Mix / 2000 Remix,The Who,spotify:track:0kE4kSYNcLBCWLHOA7GAg7
Zig Zag Wanderer,Captain Beefheart & His Magic Band,spotify:track:1F7euzYeo32NncoyEBo63v
Carry That Weight - Remastered 2009,The Beatles,spotify:track:5eZrW59C3UgBhkqNlowEID
Gravy (For My Mashed Potatoes),Dee Dee Sharp,spotify:track:4YfNfHp6QCA6Cbikl42Bwr
If Love Is Good To Me - Digitally Remastered 98,Dean Martin,spotify:track:2JnxR66mI5zIZDryCOX1hf
Adam's Lament,Stone Circus,spotify:track:6s3HzZCU8OhDEgRuBZbNTD
Do What You Wanna,Ramsey Lewis Trio,spotify:track:700DoF6T7zTI5guNMhaLIZ
Say Mann,The Jelly Bean Bandits,spotify:track:39mPxLzGQUHhuSxXcbZ9aB
Call On Me,Big Brother & The Holding Company,spotify:track:4HljoGSCvaFsesUZWpb2mK
I'll Spend My Life with You,The Monkees,spotify:track:156noDK9pMiQJUDXPd4X8D
Where Has It All Gone - Second Version - Master Basic Track Take 12,The Monkees,spotify:track:4u50QYOdwEGoWJaxXvzBMU
Follow That Dream,Elvis Presley,spotify:track:7Cv3dGsFoTZvzrpclwhG7Y
Wang Dang Doodle,Howlin' Wolf,spotify:track:1mFatsIcX8O4cAxBCPnwhd
Octopus's Garden - Remastered 2009,The Beatles,spotify:track:0suLngfo7rJoetk7Ub6N8l
My Gal,The Lovin' Spoonful,spotify:track:4hIvPxRg2M66MDHWDrihbU
If Not This Time,Fifty Foot Hose,spotify:track:6NhX2JBY2l4iF5x5FSMtDS
You Were On My Mind,Barry McGuire,spotify:track:0BNLK2eHJRfyTnsKJj0dTy
Could I,Bread,spotify:track:2gmy7oUpr15VHcAlqx3293
The Night - Remastered 2017,The Moody Blues,spotify:track:2mhzgIs7y0ncBLTFOI14k5
Ol' Man Mose,Wayne Newton,spotify:track:0ni9H5KuhmRBziCHAqijgL
God Only Knows - Remastered,The Beach Boys,spotify:track:6iGU74CwXuT4XVepjc9Emf
Miss Joanie Lee - The Factory Rehearsal,The Velvet Underground,spotify:track:2SHJzbR6sizI2balLTJ9Mk
"Catch Me Daddy - Live at the Grande Ballroom, Detroit, MI - March 1968",Big Brother & The Holding Company,spotify:track:1555vpxbW2zu9vr7HyZqAz
Strychnine,The Sonics,spotify:track:6u7UrwiZERRglVNSpgmxNf
I Want to Take You Higher,Sly & The Family Stone,spotify:track:4qpIk2rvkmxJEVvt38tepd
Gloria,The Electric Prunes,spotify:track:1YpWzBYmuRfCiaVuqhFRWm
Peter Percival Patterson's Pet Pig Porky - 2007 Remastered Version,The Monkees,spotify:track:2Ouow6S2jAqgwrMRqF025f
The Girl I Knew Somewhere - First Version; Tracking Session Composite Takes 1 to 16,The Monkees,spotify:track:04rMYUDJYPTjDN3V8RkyiP
Ain't Gonna Waste My Life Loving You,The New Christy Minstrels,spotify:track:33ZQ7kkPi48rQOwsSz1p25
"""Liar, Liar""",The Castaways,spotify:track:4ggveFmRU0REGh6bVwxHqg
Tomorrow's Gonna Be Another Day - 2006 Remaster Original Stereo Version,The Monkees,spotify:track:4pkGDZv8kboqU3lsNEwtfh
(Love Is Like A) Heat Wave,The Who,spotify:track:088tGxSfC7CSLL2Uv2bUv6
Then I'll Tell You Goodbye,The Easybeats,spotify:track:2A00pUWvCy06yJJcGdfPAR
Randy Scouse Git - Alternate Version; Take 18 Vocal,The Monkees,spotify:track:75yM66W978OJTthhPQ4ToN
409,The Beach Boys,spotify:track:1gWj5OlKlZmBvtkYxluZux
The Scarecrow,Pink Floyd,spotify:track:1aV8FeJiQpZXFY35rLNNu0
I'm a Believer - Alternate Mix; 2006 Remaster,The Monkees,spotify:track:4h2jrA7MTbFNk1HK1FYdak
Telstar,The Tornados,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6
Wild Wind,Shocking Blue,spotify:track:4McFoeBXtbbOsWqqpu8lXA
Come to Me - UK Version,The Association,spotify:track:2pl5HB64WfVniryc418FKv
Tell Laura I Love Her,Ray Peterson,spotify:track:0lvJiubseeuBYHh0ugHmHK
Cowboys to Girls,The Intruders,spotify:track:6n3WVi0pxFQuAjAQRPPryY
Mr. Webster - 2007 Remastered Version,The Monkees,spotify:track:3CkGILZxlABssEqd6gBKww
Strange Feelings,The Koala,spotify:track:2axmf6WIZv2liTWy12kgh3
It Had to Be You,The Portraits,spotify:track:2EeDjABc4HhkBeumjlMmxS
(Love Is Like A) Heat Wave - Mono Version,The Who,spotify:track:7vtRaUkCDiIpVGmDKiG6Rt
California Girls - Remix/Remastered,The Beach Boys,spotify:track:6bJuuCtXYiwOcKT9s8uRh8
Plastic Factory,Captain Beefheart & His Magic Band,spotify:track:6w5Nid4fSTQ8MIzv4IHoX2
Walk Like a Man,Frankie Valli & The Four Seasons,spotify:track:4C76SOnBa9eQDwOwe11hPz
Blues In The Bottle - Alternate Take/Previously Unreleased,The Lovin' Spoonful,spotify:track:2gREAa20vOcwqmqQW9sZuE
Mechanical World,Spirit,spotify:track:7oFxM5vMB3UF698KvUXK70
Love Came Tumblin' Down,The Monks,spotify:track:53WRGlnie0M4zhOWn4D9vs
Food - Remastered,The Turtles,spotify:track:7Jy7OKBlOQjXf2uOLCULsn
"Our Father, Our King",The Electric Prunes,spotify:track:38fWDuq9NZZCjR2pbF38qh
Mi gran noche,Raphael,spotify:track:6Tnnk7MAnZiDx67DJN2hnx
"Theme From The T.A.M.I. Show (Here They Come From All Over The World) - Live In Sacramento, CA/1964",Jan & Dean,spotify:track:7hQFE7dLl8wd01m9X2lnOJ
Philly Duck,Little Jerry Williams,spotify:track:3qE6gaaHFl2Xbn2Lef3js2
The One In The Middle,The Leaves,spotify:track:0xwgpJe9bMLQxKOB9cAQPs
Silas Stingy - Mono Version,The Who,spotify:track:718xU8rRVUrBTzbgKSwZSY
Saturday's Child - 2006 Remaster Original Stereo Version,The Monkees,spotify:track:6nXIyELiqsmvM5iLTRgfRK
Turn on Your Love Light (feat. Van Morrison),Them,spotify:track:4LxrzJvz7kK9MmQczTXWVE
All My Loving - Remastered,The Beatles,spotify:track:7cPPyMrSAQY7A686Cn9eUP
Brother Arnold's Red and White Striped Tent,Man,spotify:track:3OHKMqDvK9uyWKyeT6q9OB
In the Year 2525,Zager & Evans,spotify:track:3LdLGNKCW0dNr14JQlZPQt
Baby's In Black - Remastered 2009,The Beatles,spotify:track:7cb2SdLm1UMLwdUoWwrZN1
Have You Ever Been (To Electric Ladyland),Jimi Hendrix,spotify:track:3Yh64aiu2ANBwDFztyPDkT
Everyday People - Single Version,Sly & The Family Stone,spotify:track:4ZVZBc5xvMyV3WzWktn8i7
Love Is More Than Words Or Better Late Than Never,Love,spotify:track:7i57jTBm7tWnmlRUyQhUDs
Women Is Losers,Big Brother & The Holding Company,spotify:track:17jKybtnI3cORPYawoXiMG
Let's Twist Again,Chubby Checker,spotify:track:50ZhLFpAf5nWUH9GlCwrWn
Red Balloons,The Motions,spotify:track:4tcqOoQVgm23dsgfgcBOj8
I Put a Spell on You,The Animals,spotify:track:53Chgqu2TN0wlPw9EeJjSb
Tuareg,Gal Costa,spotify:track:0NcJC34hfeEQoU9yUO8bEZ
Tell the World I'm Alive,Traffic Sound,spotify:track:0E7CxpvvLSFFDZ04lIUdQt
Gemini,Gary Usher,spotify:track:1mwjwbw7Nw244SqJv6JgVD
