Outside Woman,Bloodstone
You've Really Got A Hold On Me,Eddie Money
Back In The Saddle,Aerosmith
The Show Must Go On,Three Dog Night
Sherry,The Keane Brothers
Calling Dr. Love,KISS
There Won't Be No Country Music (There Won't Be No Rock 'N' Roll),C.W. McCall
You Brought The Joy,Freda Payne
From His Woman To You,Barbara Mason
Don't You Write Her Off,"McGuinn, Clark & Hillman"
I've Never Been To Me,Charlene
"Luckenbach, Texas (Back To The Basics Of Love)",Waylon Jennings
Levon,Elton John
Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager
Half The Way,Crystal Gayle
Mozambique,Bob Dylan
Cherry Baby,Starz
Killing Me Softly With His Song,Roberta Flack
Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.
You're The Reason Why,The Ebonys
Woman Is The Nigger Of The World,John Lennon/Plastic Ono Band With Elephant's Memory
Ohio,"Crosby, Stills, Nash & Young"
Ain't Gonna Eat Out My Heart Anymore,Angel
Ride The Tiger,Jefferson Starship
I'm Sorry,Bobby Bland
One Night Affair,Jerry Butler
More Than A Woman,Tavares
Make It Last,Brooklyn Dreams
Rocky Mountain Way,Joe Walsh
King Heroin,James Brown
Sexy Ida (Part 1),Ike & Tina Turner
Fooled By A Feeling,Barbara Mandrell
"Quick, Fast, In A Hurry",New York City
You're In My Heart (The Final Acclaim),Rod Stewart
Love And Desire (Part I),Arpeggio
C'mon,Poco
Long Ago And Far Away,James Taylor
I Just Can't Get You Out Of My Mind,Four Tops
Whodunit,Tavares
Didn't I (Blow Your Mind This Time),The Delfonics
Fire On The Mountain,The Marshall Tucker Band
"Boo, Boo, Don't 'Cha Be Blue",Tommy James
I Don't Wanna Lose You,Johnnie Taylor
San Bernadino,Christie
Nickel Song,The New Seekers featuring Eve Graham
He's A Friend,Eddie Kendricks
Touch,The Supremes
Serpentine Fire,"Earth, Wind & Fire"
Ticket To Ride,Carpenters
Mammy Blue,Stories
Arizona,Mark Lindsay
Double Lovin',The Osmonds
Lovin' You,Minnie Riperton
Almost Like Being In Love,Michael Johnson
Haven't Got Time For The Pain,Carly Simon
50 Ways To Leave Your Lover,Paul Simon
Devil Woman,Cliff Richard
I (Who Have Nothing),Sylvester
Ebony Eyes,Bob Welch
Watching The River Run,Loggins & Messina
La Grange,ZZ Top
Just Don't Want To Be Lonely,Ronnie Dyson
Livin' In The Life,The Isley Brothers
Cryin' In The Streets (Part 1),George Perkins & The Silver Stars
Glory Bound,The Grass Roots
Add Some Music To Your Day,The Beach Boys
I Don't Wanna Cry,Ronnie Dyson
Funky Music Sho Nuff Turns Me On,Edwin Starr
"Baby, Hang Up The Phone",Carl Graves
Well All Right,Santana
Baby Let Me Take You (In My Arms),Detroit Emeralds
Back For A Taste Of Your Love,Syl Johnson
"(Shake, Shake, Shake) Shake Your Booty",KC And The Sunshine Band
I'll Always Love My Mama (Part I),The Intruders
Gonna Give Her All The Love I've Got,Marvin Gaye
Somewhere In The Night,Batdorf & Rodney
I Am Somebody,Jimmy James & The Vagabonds
Oh! No Not My Baby,Rod Stewart
One For The Money (part 1),The Whispers
"What The World Needs Now Is Love/Abraham, Martin and John",Tom Clay
I Love Makin' Love To You,Evie Sands
(I Will Be Your) Shadow In The Street,Allan Clarke
Higher Plane,Kool & The Gang
The Boss,Diana Ross
Evil Ways,Santana
Sleepwalker,The Kinks
Parrty - Part I,Maceo And The Macks
"Get Up, Get Into It, Get Involved (Pt. 1)",James Brown
I Just Can't Help Believing,B.J. Thomas
Gone Too Far,England Dan & John Ford Coley
Breaking Up Is Hard To Do,The Partridge Family Starring Shirley Jones Featuring David Cassidy
I Call My Baby Candy,The Jaggerz
The Man That Turned My Mama On,Tanya Tucker
Get Off,Foxy
"Carry Me, Carrie",Dr. Hook And The Medicine Show
Unborn Child,Seals & Crofts
Theme From S.W.A.T.,Rhythm Heritage
After Midnight,J.J. Cale
Slip Away,Ian Lloyd
Spiders & Snakes,Jim Stafford
Taos New Mexico,R. Dean Taylor
The City Of New Orleans,Arlo Guthrie
Jasper,Jim Stafford
Into The Mystic,Johnny Rivers
For A Dancer,Prelude
Rolene,Moon Martin
I Like It Like That,Loggins & Messina
Change With The Times,Van Mccoy
I'll Always Call Your Name,Little River Band
Keep On Doin' What You're Doin',Bobby Byrd
Teddy Bear Song,Barbara Fairchild
Inseparable,Natalie Cole
American Girls,Rick Springfield
Aubrey,Bread
Sure As I'm Sittin' Here,Three Dog Night
We Can Work It Out,Stevie Wonder
Hollywood Hot,The Eleventh Hour
Do It Or Die,Atlanta Rhythm Section
Live And Let Die,Wings
Stay Away From Me (I Love You Too Much),Major Lance
Early In The Morning,Vanity Fare
The Thrill Is Gone,B.B. King
The Hustle,Van McCoy And The Soul City Symphony
Do It Again,Steely Dan
Come In From The Rain,Captain & Tennille
I'm Leavin',Elvis Presley
Love Is The Message,MFSB Featuring The Three Degrees
"Man Smart, Woman Smarter",Robert Palmer
Morning Side Of The Mountain,Donny & Marie Osmond
Dinah Flo,Boz Scaggs
Daisy A Day,Jud Strunk
Like A Sunday Morning,Lana Cantrell
Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival
Indian Summer,Poco
Watergrate,Dickie Goodman
No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer
That's How Love Goes,Jermaine Jackson
Deep Enough For Me,Ocean
You've Got To Crawl (Before You Walk),The 8th Day
American Tune,Paul Simon
Dream Weaver,Gary Wright
Sugar Pie Guy Pt. 1,The Joneses
The Call,Anne Murray
Run Joey Run,David Geddes
Ding Dong; Ding Dong,George Harrison
Life Is A Song Worth Singing,Johnny Mathis
Mr. D.J. (5 For The D.J.),Aretha Franklin
Hallelujah Day,Jackson 5
"Fly, Robin, Fly",Silver Convention
Hurt/for The Heart,Elvis Presley
The First Cut Is The Deepest,Rod Stewart
Rivers Of Babylon,Boney M
Summer Sand,Dawn
Let It Rain,Eric Clapton
Volunteers,Jefferson Airplane
You Really Got Me,Van Halen
Heaven's Just A Sin Away,The Kendalls
Sugaree,Jerry Garcia
Supernatural Thing - Part I,Ben E. King
Rockin' Roll Baby,The Stylistics
Dialogue (Part I & II),Chicago
My Mistake (Was To Love You),Diana Ross & Marvin Gaye
Didn't I,Sylvia (r&b)
Feelin' Satisfied,Boston
Funk # 49,James Gang
Angie Baby,Helen Reddy
Wild Horses,The Rolling Stones
California On My Mind,Morning Mist
Love On A Two-Way Street,The Moments
Bennie And The Jets,Elton John
Everything's The Same (Ain't Nothing Changed),Billy Swan
Got To Get You Into My Life,The Beatles
Clouds,David Gates
Sunflower,Glen Campbell
Night Fever,Bee Gees
Please Come Home For Christmas,Eagles
Only You,Ringo Starr
Silly Love Songs,Wings
Mr. Natural,Bee Gees
Muskrat Love,Captain & Tennille
Do You Want To Dance?,Bette Midler
Mary Had A Little Lamb/Little Woman Love,Wings
This Song,George Harrison
I Was Only Joking,Rod Stewart
Get It While You Can,Janis Joplin
With A Little Luck,Wings
I Shot The Sheriff,Eric Clapton
Snow Blind Friend,Steppenwolf
Motorcycle Mama,Sailcat
Lets Get It Together,El Coco
I'm Gonna Love You,The Intrigues
Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band
It's A Cryin' Shame,Gayle McCormick
Night Moves,Bob Seger
Shakedown Cruise,Jay Ferguson
Love Is The Drug,Roxy Music
Mama Can't Buy You Love,Elton John
(your Love Has Lifted Me) Higher And Higher,Rita Coolidge
Why Can't We Live Together,Timmy Thomas
Up On The Roof,James Taylor
You Always Come Back (To Hurting Me),Johnny Rodriguez
Bluebird,Helen Reddy
Hot Wire,Al Green
Rhumba Girl,Nicolette Larson
Cry Cry Cry,Shirley And Company
Just A Song Before I Go,"Crosby, Stills & Nash"
Fair Game,"Crosby, Stills & Nash"
Every 1's A Winner,Hot Chocolate
One Of A Kind (Love Affair),The Spinners
Lonely Night (angel Face),Captain & Tennille
How You Gonna See Me Now,Alice Cooper
I'll Be Holding On,Al Downing
Smoke! Smoke! Smoke! (That Cigarette),Commander Cody
Somebody's Been Sleeping,100 Proof Aged in Soul
Drive My Car,Gary Toms Empire
Seasons In The Sun,Terry Jacks
Everybody Dance,Chic
Glide,Pleasure
Ball And Chain,Tommy James
The Streak,Ray Stevens
Carry On Wayward Son,Kansas
Move Your Boogie Body,Bar-Kays
I Want You Back,Jackson 5
Fell For You,The Dramatics
Hot Dawgit,"Ramsey Lewis And Earth, Wind & Fire"
Because The Night,Patti Smith Group
Family Affair,Sly & The Family Stone
New Orleans Ladies,Louisiana's Le Roux
The Nickel Song,Melanie
Hello Stranger,Fire And Rain
"Where Did They Go, Lord/Rags To Riches",Elvis Presley
In Thee,Blue Oyster Cult
Bad Brakes,Cat Stevens
You Know Like I Know,Ozark Mountain Daredevils
You're The Love,Seals & Crofts
The Girl Who Loved Me When,The Glass Bottle featuring Gary Criss
Spring Rain,Silvetti
While I'm Alone,Maze Featuring Frankie Beverly
Bump Me Baby Part 1,Dooley Silverspoon
Keep Me Cryin',Al Green
Macho Man,Village People
You're A Big Girl Now,The Stylistics
Time To Get Down,The O'Jays
Goodbye Yellow Brick Road,Elton John
Stand By Me,David & Jimmy Ruffin
If You Were Mine,Ray Charles
Hound Dog Man (Play It Again),Lenny LeBlanc
Ain't Got Time,The Impressions
Oh Well - Pt. I,Fleetwood Mac
"Baby, I'm For Real",The Originals
"Gone, Gone, Gone",Bad Company
Together,The Illusion
Shake It Well,The Dramatics
Eddie's Love,Eddie Kendricks
Long Train Runnin',The Doobie Brothers
Free Man In Paris,Joni Mitchell
You Can't Dance,England Dan & John Ford Coley
Badlands,Bruce Springsteen
A Friend Of Mine Is Going Blind,John Dawson Read
Almost Summer,Celebration featuring Mike Love
Trampled Under Foot,Led Zeppelin
Someone To Lay Down Beside Me,Linda Ronstadt
It's Over,Boz Scaggs
Magnet And Steel,Walter Egan
Goodbye Again,John Denver
Now That We Found Love,Third World
(Any Way That You Want It) I'll Be There,Starz
Man In Black,Johnny Cash
We're All Playing In The Same Band,Bert Sommer
This Is My Love Song,The Intruders
Teen Angel,Wednesday
Footstompin' Music,Grand Funk Railroad
Love Is Life,"Earth, Wind & Fire"
I Like What You Give,Nolan
Bongo Rock,The Incredible Bongo Band
Reaching For The World,Harold Melvin And The Blue Notes
"Baretta's Theme (""Keep Your Eye On The Sparrow"")",Rhythm Heritage
Long Haired Lover From Liverpool,Little Jimmy Osmond with The Mike Curb Congregation
I Can Help,Billy Swan
It's All Over,The Independents
Mother,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
This Night Won't Last Forever,Bill LaBounty
Holly Holy,Neil Diamond
California Kid And Reemo,Lobo
The Entertainer,"Marvin Hamlisch/""The Sting"""
This Is Your Song,Don Goodwin
The Topical Song,The Barron Knights
(If You Want It) Do It Yourself,Gloria Gaynor
Without Your Love (mr. Jordan),Charlie Ross
Breaking Up Is Hard To Do,Neil Sedaka
Blanket On The Ground,Billie Jo Spears
Ungena Za Ulimwengu (Unite The World),The Temptations
Survivor,Cindy Bullens
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando
Disco Duck (Part I),Rick Dees & His Cast Of Idiots
Future Shock,Curtis Mayfield
You'll Never Get To Heaven (If You Break My Heart),The Stylistics
(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram
My Country,Jud Strunk
Look At Me (I'm In Love),The Moments
Theme From Cleopatra Jones,Joe Simon featuring The Mainstreeters
Happier,Paul Anka
Ms. Grace,The Tymes
Lookin' Out For #1,Bachman-Turner Overdrive
Rumor At The Honky Tonk,Spellbound
Dancin',Crown Heights Affair
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
I Believe I'm Gonna Love You,Frank Sinatra
Kissin' Time,KISS
Isn't It About Time,Stephen Stills-Manassas
It's Too Late/I Feel The Earth Move,Carole King
Come Live With Me,Ray Charles
Love Bones,Johnnie Taylor
I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers
Down By The River,The Brooklyn Bridge
Happy Music,The Blackbyrds
Solitaire,Carpenters
"So Young, So Bad",Starz
Shambala,Three Dog Night
The Love You Save/I Found That Girl,Jackson 5
Walk On The Wild Side,Lou Reed
The Fez,Steely Dan
I'm Comin' Home,Dave Edmunds
Baby Don't Get Hooked On Me,Mac Davis
Sing,Tony Orlando & Dawn
Too Young,Donny Osmond
Your Move (I've Seen All Good People),Yes
For The Good Times,Ray Price
Looking For A Love,The J. Geils Band
Sophisticated Lady (She's A Different Lady),Natalie Cole
Best Of My Love,The Emotions
Oh Honey,Delegation
Mighty Joe,The Shocking Blue
"Can't Stop Groovin' Now, Wanna Do It Some More",B.T. Express
Smokin' Room,Carl Carlton
Home Bound,Ted Nugent
Long Hot Summer Nights,Wendy Waldman
Down The Hall,The 4 Seasons
Get Out Of Denver,Bob Seger
Why Can't We Be Friends?,War
Mistrusted Love,Mistress
Nobody Wants You When You're Down And Out,Bobby Womack
Fire,Ohio Players
Muskrat Love,America
The Witch,The Rattles
Free,Deniece Williams
Morning Much Better,Ten Wheel Drive With Genya Ravan
It's Just A Matter Of Time,Sonny James
Nobody Wins,Brenda Lee
You And Me,Alice Cooper
Misty,Ray Stevens
The End Of Our Road,Marvin Gaye
The South's Gonna Do It,The Charlie Daniels Band
Riders On The Storm,The Doors
Dream Police,Cheap Trick
Just Seven Numbers (Can Straighten Out My Life),Four Tops
Plain Jane,Sammy Hagar
Waking Up Alone,Paul Williams
Low Rider,War
Daybreaker,Electric Light Orchestra
I'm A Ramblin' Man,Waylon Jennings
I Want Your Love,Chic
Funny How Time Slips Away,Dorothy Moore
Spinning Around (I Must Be Falling In Love),The Main Ingredient
Sunday Mornin',Oliver
Fancy Lady,Billy Preston
Long Long Time,Linda Ronstadt
Summer Breeze (Part 1),The Isley Brothers
Float On,The Floaters
Only You Know And I Know,Dave Mason
Don't Look Back,Boston
Be What You Are,The Staple Singers
When You Get Right Down To It,The Delfonics
Let's Stay Together,Al Green
Conquistador,Procol Harum
Going To The Country,The Steve Miller Band
Laid Back Love,Major Harris
Take It Back,The J. Geils Band
It's A Disco Night (Rock Don't Stop),The Isley Brothers
Sad Sweet Dreamer,Sweet Sensation
Melting Pot,Booker T. & The MG's
Save Your Kisses For Me,Brotherhood Of Man
There Will Never Be Any Peace (Until God Is Seated At The Conference Table),The Chi-lites
Midnight Sky (Part 1),The Isley Brothers
Toby/that's How Long,The Chi-lites
Happy,Eddie Kendricks
Sweet Maxine,The Doobie Brothers
If Ever I See You Again,Roberta Flack
Let Me Be There,Olivia Newton-John
I Miss You (Part I),Harold Melvin And The Blue Notes
Soul Man,Blues Brothers
Anticipation,Carly Simon
New Orleans,The Staple Singers
That's Where I Went Wrong,The Poppy Family (Featuring Susan Jacks)
You Got The Magic,John Fogerty
Sure Know Something,KISS
Laughter In The Rain,Neil Sedaka
Love Is The Answer,England Dan & John Ford Coley
Baby Blue,Badfinger
Love Lifted Me,Kenny Rogers
My Eyes Get Blurry,Kenny Nolan
The Main Event/Fight,Barbra Streisand
Boogie On Reggae Woman,Stevie Wonder
America/Standing/Because I Love You,The Five Stairsteps
Music From Across The Way,James Last
"My Woman, My Woman, My Wife",Marty Robbins
"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers
Sweet Sweetheart,Bobby Vee
Ma Belle Amie,The Tee Set
Skin Tight,Ohio Players
Amazing Grace,The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
Lucretia Mac Evil,"Blood, Sweat & Tears"
Seven Lonely Nights,Four Tops
"You To Me Are Everything, Part I",Revelation
Jesse,Roberta Flack
Hey You,Bachman-Turner Overdrive
Hard Rock Cafe,Carole King
Jennifer,Bobby Sherman
Groove Me,King Floyd
Martha (Your Lovers Come And Go),Gabriel
Are You Man Enough,Four Tops
Send One Your Love,Stevie Wonder
Don't Knock My Love - Pt. 1,Wilson Pickett
Bang A Gong,Witch Queen
"I Got A Thing, You Got A Thing, Everybody's Got A Thing",Funkadelic
Witchy Woman,Eagles
Walk This Way,Aerosmith
Heartache Tonight,Eagles
Since You've Been Gone,Cherie & Marie Currie
The Wanderer,Leif Garrett
One Chain Don't Make No Prison,Four Tops
Hot Line,The Sylvers
Feelin' Alright,Grand Funk Railroad
"Hey, You Love",Mouth & MacNeal
Portrait (He Knew),Kansas
Good Time Charlie's Got The Blues,Danny O'Keefe
How Can I Unlove You,Lynn Anderson
Air Disaster,Albert Hammond
Sunshine Roses,Gene Cotton
Daylight,Vicki Sue Robinson
Josie,Steely Dan
Deacon Blues,Steely Dan
Double Barrel,Dave & Ansil Collins
Rockin' With The King,Canned Heat
Love In 'C' Minor - Pt. I,Cerrone
Rhapsody In Blue,Deodato
Love Is Alive,Gary Wright
Love You Inside Out,Bee Gees
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips
Let's Straighten It Out,Latimore
Grow Some Funk Of Your Own/I Feel Like A Bullet (In The Gun Of Robert Ford),Elton John
Adrienne,Tommy James
Mañana,Jimmy Buffett
Love Me,The Impressions
Vehicle,The Ides Of March
Gotta Find A Way,The Moments
Love In The Shadows,Neil Sedaka
I Can't Ask For Anymore Than You,Cliff Richard
Kong,Dickie Goodman
Funky President (People It's Bad)/Coldblooded,James Brown
Superstar/Bless The Beasts And Children,Carpenters
American City Suite,Cashman & West
Love's Theme,Love Unlimited Orchestra
Take Me Back To Chicago,Chicago
The Happy Girls,Helen Reddy
You Angel You,Manfred Mann's Earth Band
Falling,LeBlanc & Carr
We Got A Dream,Ocean
Then You Can Tell Me Goodbye,Toby Beau
Peter Piper,Frank Mills
Don't Cry Daddy/Rubberneckin',Elvis Presley
Don't Bring Me Down,Electric Light Orchestra
Na Na Hey Hey Kiss Him Goodbye,Steam
It Ain't Love,Tom Powers
Way Back Home,The Jazz Crusaders
Race Among The Ruins,Gordon Lightfoot
Neon Nites,Atlanta Rhythm Section
A Fool Such As I,Bob Dylan
School's Out,Alice Cooper
Got To Have Loving,Don Ray
You're So Unique,Billy Preston
Who's Sorry Now,Marie Osmond
"Names, Tags, Numbers & Labels",The Association
Can This Be Real,Natural Four
When You Say Love,Sonny & Cher
The Game Is Over (What's The Matter With You),Brown Sugar
"You Want It, You Got It",Detroit Emeralds
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band
Got To Get You Into My Life,"Earth, Wind & Fire"
Bustin' Out,Rick James
I Could Write A Book,Jerry Butler
Do Ya,Electric Light Orchestra
When I Need You,Leo Sayer
Lies,J.J. Cale
Do You Wanna Go Party,KC And The Sunshine Band
Disco Queen,Hot Chocolate
Hurricane (Part 1),Bob Dylan
Fencewalk,Mandrill
Sailing,Rod Stewart
We'll Never Have To Say Goodbye Again,England Dan & John Ford Coley
Amber Cascades,America
Miss Broadway,Belle Epoque
Georgy Porgy,Toto
Slow Motion (Part 1),Johnny Williams
Don't Hide Your Love,Cher
All The Time In The World,Dr. Hook
Taurus,Dennis Coffey & The Detroit Guitar Band
Venus And Mars Rock Show,Wings
Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop
Just What I Needed,The Cars
Anything You Want,John Valenti
Pillow Talk,Sylvia (r&b)
If You Wanna Do A Dance,The Spinners
They Just Can't Stop It the (Games People Play),The Spinners
Let's Work Together,Canned Heat
The Last Time I Saw Her,Glen Campbell
Escape (The Pina Colada Song),Rupert Holmes
Operator,The Manhattan Transfer
St. Charles,Jefferson Starship
Celebrate,Three Dog Night
Smoke Gets In Your Eyes,Blue Haze
Doctor Love,First Choice
Miss You,The Rolling Stones
Love Train,The O'Jays
This Time I'm Gone For Good,"Bobby ""Blue"" Bland"
King Tut,Steve Martin And The Toot Uncommons
Daylight And Darkness,Smokey Robinson
God Bless Whoever Sent You,The Originals
That's The Way (I Like It),KC And The Sunshine Band
Love Is Like Oxygen,Sweet
Radioactive,Gene Simmons
Jungle Fever,The Chakachas
I Can't Be You (You Can't Be Me),The Glass House
I've Had Enough,Wings
My Sharona,The Knack
Mockingbird,Carly Simon & James Taylor
Going Through The Motions,Hot Chocolate
All Day Music,War
Fallen Angel,Frankie Valli
Get The Cream Off The Top,Eddie Kendricks
That Same Old Feeling,Pickettywitch
I Want To Pay You Back (For Loving Me),The Chi-lites
Hang On In There Baby,Johnny Bristol
Down On The Corner/Fortunate Son,Creedence Clearwater Revival
Two Tickets To Paradise,Eddie Money
Think His Name,Johnny Rivers
Hollywood Nights,Bob Seger & The Silver Bullet Band
Mammy Blue,Pop-Tops
Kiss An Angel Good Mornin',Charley Pride
Hey! Love/Over And Over,The Delfonics
Hail! Hail! Rock And Roll!,Starland Vocal Band
Now Run And Tell That,Denise LaSalle
(Not Just) Knee Deep - Part 1,Funkadelic
You're A Special Part Of Me,Diana Ross & Marvin Gaye
I Don't Blame You At All,Smokey Robinson & The Miracles
Just My Imagination (Running Away With Me),The Temptations
You Think You're Hot Stuff,Jean Knight
Don't Stop Me Now,Queen
Working Class Hero,Tommy Roe
I Wish It Was Me,Tyrone Davis
Stealing In The Name Of The Lord,Paul Kelly
Daybreak,Barry Manilow
We Just Disagree,Dave Mason
Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots
Right Place Wrong Time,Dr. John
Can We Still Be Friends,Todd Rundgren
Not Fade Away,Tanya Tucker
When I Wanted You,Barry Manilow
Baby That's Backatcha,Smokey Robinson
Kids Say The Darndest Things,Tammy Wynette
Baby Hold On,Eddie Money
Wasted Days And Wasted Nights,Freddy Fender
Ride With Me,Steppenwolf
Fopp,Ohio Players
Look Into Your Heart,Aretha Franklin
Come Together,Ike & Tina Turner & The Ikettes
Have You Never Been Mellow,Olivia Newton-John
Be My Lover,Alice Cooper
There Won't Be Anymore,Charlie Rich
It's A Laugh,Daryl Hall John Oates
After The Love Has Gone,"Earth, Wind & Fire"
Watch Closely Now,Kris Kristofferson
Blue Guitar,Justin Hayward & John Lodge
Hymn 43,Jethro Tull
Four Strong Winds,Neil Young
(They Long To Be) Close To You,Jerry Butler & Brenda Lee Eager
Time Will Tell,Tower Of Power
O-H-I-O,Ohio Players
Humphrey The Camel,Jack Blanchard & Misty Morgan
You Are The Sunshine Of My Life,Stevie Wonder
Military Madness,Graham Nash
Tell It All Brother,Kenny Rogers & The First Edition
Gudbuy T' Jane,Slade
Where Are We Going,Bobby Bloom
Crazy Feelin',Jefferson Starship
Nothing From Nothing,Billy Preston
Don't Cha Love It,The Miracles
Help Me Make It Through The Night,Joe Simon
A Piece Of Paper,Gladstone
Y.M.C.A.,Village People
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer
Breakdown,Tom Petty And The Heartbreakers
She,Tommy James And The Shondells
Don't Cry Joni,Conway Twitty with Joni Lee
Songbird,Barbra Streisand
Rock 'N Roll (I Gave You The Best Years of My Life),Kevin Johnson
We're All Goin' Home,Bobby Bloom
Bring It Home (And Give It To Me),Hot Sauce
Jam Band,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
992 Arguments,The O'Jays
My Fair Share,Seals & Crofts
Loving You,Johnny Nash
Until It's Time For You To Go,The New Birth
Maggie May/Reason To Believe,Rod Stewart
(Every Time I Turn Around) Back In Love Again,LTD
What Goes Up,The Alan Parsons Project
Beautiful,Gordon Lightfoot
Love Don't Love Nobody - Pt. I,The Spinners
Could It Be Magic,Donna Summer
She Lets Her Hair Down (Early In The Morning),The Tokens
Animal House,Stephen Bishop
Spider Jiving,Andy Fairweather Low
(Where Do I Begin) Love Story,Andy Williams
Lay Lady Lay,The Isley Brothers
What's A Matter Baby,Ellen Foley
Hollywood,Boz Scaggs
"Whenever I Call You ""Friend""",Kenny Loggins
California My Way,The Main Ingredient
(It's The Way) Nature Planned It,Four Tops
Desdemona,The Searchers
"Do What You Want, Be What You Are",Daryl Hall John Oates
Hard Times,Boz Scaggs
You Gotta Make Your Own Sunshine,Neil Sedaka
Superstar (Remember How You Got Where You Are),The Temptations
Watching The River Flow,Bob Dylan
In A Broken Dream,Python Lee Jackson
Ain't No Way To Treat A Lady,Helen Reddy
Can't Get Over Losing You,Donnie Elbert
Let A Man Come In And Do The Popcorn (Part Two),James Brown
Blue Sky,Joan Baez
Funky Man,Kool & The Gang
Paradise By The Dashboard Light,Meat Loaf
Time In A Bottle,Jim Croce
Sharing The Night Together,Dr. Hook
Rock & Roll Runaway,Ace
If You Don't Know Me By Now,Harold Melvin And The Blue Notes
Amanda,Dionne Warwicke
There You Go,Edwin Starr
Maybe Tomorrow,Jackson 5
Travelin' Shoes,Elvin Bishop
We're All Alone,Rita Coolidge
Walk Away From Love,David Ruffin
We're On Our Way,Chris Hodge
Don't Eat The Yellow Snow,Frank Zappa
Hold Your Head Up,Argent
Arms Of Mary,Chilliwack
What's Your Mama's Name,Tanya Tucker
Part Of The Plan,Dan Fogelberg
I Want You,Marvin Gaye
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Bonnie Pointer
Union Man,Cate Bros.
Goin' Down Slow,"Bobby ""Blue"" Bland"
I've Got Love On My Mind,Natalie Cole
Bridge Over Troubled Water,Linda Clifford
Night Dancin',Taka Boom
The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot
My Own Way To Rock,Burton Cummings
You Make Your Own Heaven And Hell Right Here On Earth,The Undisputed Truth
Come Go With Me,Pockets
Southbound Train,Graham Nash & David Crosby
Rikki Don't Lose That Number,Steely Dan
Do The Funky Penguin Part I,Rufus Thomas
Kiss In The Dark,Pink Lady
Feel The Need,Leif Garrett
Sha-La-La (Make Me Happy),Al Green
You're A Part Of Me,Susan Jacks
Heaven Knows,Donna Summer With Brooklyn Dreams
Tell Her She's Lovely,El Chicano
Arrested For Driving While Blind,ZZ Top
Celebration,Tommy James
Love And Understanding (Come Together),Kool & The Gang
"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta
The Harder I Try (The Bluer I Get),Free Movement
Closer To Home (I'm Your Captain),Grand Funk Railroad
Weekend,Wet Willie
Misty Blue,Dorothy Moore
Redwood Tree,Van Morrison
Beer Barrel Polka/Dick And Jane,Bobby Vinton
Friends,Feather
Rubber Biscuit,Blues Brothers
Sweet Seasons,Carole King
Will You Still Love Me Tomorrow,Roberta Flack
Remember (Christmas),Nilsson
Love,The Lettermen
If We Only Have Love,Dionne Warwicke
Howzat,Sherbet
I'm Every Woman,Chaka Khan
Dim All The Lights,Donna Summer
Questions 67 And 68/I'm A Man,Chicago
Mississippi Cotton Picking Delta Town,Charley Pride
Street Corner Serenade,Wet Willie
Vanilla Ólay,Jackie DeShannon
There It Is (Part 1),James Brown
Bedtime Story,Tammy Wynette
Beth/Detroit Rock City,KISS
Money,Gladys Knight And The Pips
Flaming Youth,KISS
Love Will Find A Way,Pablo Cruise
I'm On Fire,Dwight Twilley Band
China Grove,The Doobie Brothers
Down By The Lazy River,The Osmonds
Winners And Losers,"Hamilton, Joe Frank & Reynolds"
Machine Gun,Commodores
The Look Of Love,Isaac Hayes
The Peacemaker,Albert Hammond
I Love You Lady Dawn,The Bells
Take A Closer Look At The Woman You're With,Wilson Pickett
Nothing Succeeds Like Success,Bill Deal & The Rhondels
Give Me Just A Little More Time,Chairman Of The Board
Evil Ways,Carlos Santana & Buddy Miles
The Boys Are Back In Town,Thin Lizzy
Backfield In Motion,Mel And Tim
All I Ever Need Is You,Sonny & Cher
Dreams,Buddy Miles
Native New Yorker,Odyssey
Jeans On,David Dundas
Love The One You're With,Stephen Stills
The Agony And The Ecstasy,Smokey Robinson
Cinnamon Girl,Neil Young & Crazy Horse
Head First,The Babys
Top Forty,Sha Na Na
Together We Can Make Such Sweet Music,The Spinners
Venus,Frankie Avalon
Watching Scotty Grow,Bobby Goldsboro
Driftwood,The Moody Blues
Sneaky Snake,Tom T. Hall
I Just Want To Make Love To You,Foghat
Love's Grown Deep,Kenny Nolan
No Time,The Guess Who
