Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
Love Me Hard,Dust,spotify:track:0mQpL4zkEiv1u2wlBhzSL9
Loose Goose,Dust,spotify:track:2xy6pUjOCgnHWbnpah12ZU
Adelante!,Lone Star,spotify:track:4nzrlEvX563867EYtlNBY6
Aeroplane Head Woman,Pete Brown & Piblokto!,spotify:track:3VcqcnKuxmyGj8k6fWKswy
Run And Hide,"Speed, Glue & Shinki",spotify:track:0rfGELJpovFIA7J3NBKThG
Wicked Man,Smog,spotify:track:1hBrWzEjIWAmn7qIXKQNw3
Wanna Take You Home,"Speed, Glue & Shinki",spotify:track:4FymsSj8PxXT5fqDXdAiEc
Bad Woman,"Speed, Glue & Shinki",spotify:track:7Dqfx1BO3TjnxHrDCn6vf2
Freedom,Buffalo,spotify:track:2e2tCYGZAxae37H91Jh59f
'Til My Death,Buffalo,spotify:track:2TKeujqxGhYgp97VOLqpSE
The Prophet,Buffalo,spotify:track:6sbXs1419NoUrtvxPur5wV
Intro: Pound Of Flesh,Buffalo,spotify:track:5qYtLQTQPhZgWqvRUSsSM4
Shylock,Buffalo,spotify:track:1aRazBXf7bEAPXcKJgs9ve
I'm A Skirtlifter (Not A Shirt Raiser),Buffalo,spotify:track:1d8Q1vL0tSSmlfwGHCg7Ug
I'm Coming On,Buffalo,spotify:track:1Sdo1K0YUrlmuFa3vY72H2
Dune Messiah,Buffalo,spotify:track:1vTnJJzZqf3BVtXjrXiJl8
Stay With Me,Buffalo,spotify:track:7JxoVdnQRKrORrGS170raE
What's Going On,Buffalo,spotify:track:6Nc97PsOqi6mvKWOQuxSu7
Kings Cross Ladies,Buffalo,spotify:track:2kEYmPUBUPvS6PvjFLItwR
United Nations,Buffalo,spotify:track:0OHHrsGKkrRL05I2MeWuSA
Heard the Word,Company Caine,spotify:track:3OFHeVeXOyF61EmpUEsXeC
Do You Miss Me?,Stray,spotify:track:70mBDusO1Cka9tuYVf4lo9
Suicide,Stray,spotify:track:7eSypcesEEjWISE75qMEga
Video Life,Chris Spedding,spotify:track:64bWAl2OJFilKBf8bl5rXx
Union City Blue - Original Single Version,Blondie,spotify:track:3a3JGuTQNYM3YawGpck7Ql
Someone's Looking At You,The Boomtown Rats,spotify:track:0NQU4LnSZ7ClHVw8Mt2R9j
Poptones,Public Image Ltd.,spotify:track:1uRvmjiSbjbENK4Dn6ZXRo
Pointy Shoes,Cowboys International,spotify:track:4IftDdMBXzojg42g76zrh8
Original Sin,Cowboys International,spotify:track:1t5sxTyG4UlBUZxY4rwYan
No G.D.M.,Gina X Performance,spotify:track:6y9JP8k9WGhCfae9jzx2W8
M(emorie) 62,Cowboys International,spotify:track:0v7ZPdJhk6MpyhwKWNczkA
"Me, I Disconnect from You",Tubeway Army,spotify:track:1Bf1h5rcARrIZCEi45waOX
Jigsaw Feeling,Siouxsie and the Banshees,spotify:track:2ekrRev7Q3qAaDB8o8IWOh
Hands,Cowboys International,spotify:track:3oK2YCO5qMha4iv7cwscWu
Down in the Park,Gary Numan / Tubeway Army,spotify:track:2vmBGX73EXJIAAN6nesH6T
Carnival (Shelter In A Suitcase) - Remastered 2002,Simple Minds,spotify:track:3oNCzEzTguuWAzf3wd05In
Calling Your Name - Remastered 2002,Simple Minds,spotify:track:3aa5uFq4h8KEtFGFJNxgtW
Bring On The Night - Remastered 2003,The Police,spotify:track:1fEHgPGxKOfpdWQCvCRGAM
Blockhead,DEVO,spotify:track:1s32M6QoeNRv3o6gr11ECU
Are 'Friends' Electric?,Tubeway Army,spotify:track:6Y0gqGszwuiaa10jYPyYRV
52 Girls,The B-52's,spotify:track:1b7tSycCY4aIgojKBqKWdf
Less Than Zero,Elvis Costello,spotify:track:3AaPC1M5Vsvt8AcpVlHpsL
The Tears of a Clown,The Beat,spotify:track:7hy088joIbZmkdampmeL0f
The Light Pours Out Of Me,Magazine,spotify:track:2dXOr0TcdwJsEhZ2Jel2qy
Death of Romance,The Walker Brothers,spotify:track:100PymWtT8cwWOFqyTDdLM
Birthday Special - 2006 Digital Remaster,Peter Hammill,spotify:track:7o54OSGso1bM0HJJUCN9Rx
Wish You Were Here - 2011 Remastered Version,Pink Floyd,spotify:track:5MVrZa7cDtnAoMvCgRAMqb
Wild Horses,The Rolling Stones,spotify:track:1TjpZCqz7kinY6GS7CJgNM
Tiny Dancer,Elton John,spotify:track:4BGJSbB5rAcg4pNzD4gfxU
Ventura Highway,America,spotify:track:4IU1RL4BKvFyXtbTwaHAvW
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,spotify:track:2zvot9pY2FNl1E94kc4K8M
Wild World,Yusuf / Cat Stevens,spotify:track:269OfNY9Je1QWaDnu31KKp
Summer Breeze,Seals and Crofts,spotify:track:01UYpHuzHi4eB9PAbDoPY2
Livin' Thing,Electric Light Orchestra,spotify:track:4Oiztg8nd9FOrBoSmvSzrB
Give A Little Bit,Supertramp,spotify:track:1XDgeeNIbwXobo7EkcLa2u
Make It with You,Bread,spotify:track:11gfsr13S8qsfN48IILcHU
One of These Nights - 2013 Remaster,Eagles,spotify:track:608xszaAxVh4m7NcKJiAbF
Breakfast In America - Remastered,Supertramp,spotify:track:4hEk1CHls2JEDbKIKy8JxV
Rich Girl,Daryl Hall & John Oates,spotify:track:0qRR9d89hIS0MHRkQ0ejxX
Annie's Song,John Denver,spotify:track:5qxFudz7A6PGptviHsz4Yd
Saturday Love,Cherrelle,spotify:track:0qBkrd11RB2N7mp8BZTAPv
Warm Leatherette,The Normal,spotify:track:5zSlviHlcKzArH9FXuXIFz
When Your X Wants You Back (Previously Unavailable),Surface,spotify:track:2ggatta8rAz4sPSYvYrXXa
She Bop - Special Dance Mix,Cyndi Lauper,spotify:track:7rKTKisa4fU5tKqK9Qmag8
"Let No Man Put Asunder - Shep Pettibone 12"" Mix",First Choice,spotify:track:5mTzj7zSsR6YezbRwAzgKd
Brand New Lover - The Dust Monkey's Love Bubble Club Mix,Dead Or Alive,spotify:track:1R4AF3zMMM6e7fFBAiXJ5G
A Girl In Trouble (Is a Temporary Thing) - Dance Mix,Romeo Void,spotify:track:4apng8tvgwREkexRmIhArY
"Young Guns (Go For It!) - 12"" Mix",Wham!,spotify:track:4jSOdGmQHi6MOSK7fTo7rX
10-9-8 - Dance Mix,Face To Face,spotify:track:5aW1ejP8LcLS1MTW9IIhYU
I Like You,Phyllis Nelson,spotify:track:29CKNR4h0A3DBnYejTmADJ
Funky Town,Pseudo Echo,spotify:track:6UfLQNkw9a9tOVVqsev9vA
I Found That Essence Rare,Gang Of Four,spotify:track:24CbX8CkkGJKGLMTpu0olW
Atomic,Blondie,spotify:track:5QIbR39hAEDIOkr4ggh4xc
I Could Be Happy - Martin Rushent Remix,Altered Images,spotify:track:23pAbeQcviQP25zNlLNhIn
Music Is My Way of Life - John Luongo Remix,Patti LaBelle,spotify:track:6RxgfDkfne97ZGv1ieJYcC
Nobody Else,Karen Silver,spotify:track:5p75CFEOScHOEiznJKN6FH
Take Some Time Out,The Salsoul Orchestra,spotify:track:6kGY3OCaMQyIDj1UvaWwhT
I Shoulda Loved Ya,Narada Michael Walden,spotify:track:0PjkD419FrFnRuS5Mgs6pm
"Why Don't You Think About Me - Francois Kevorkian 12"" Mix",Instant Funk,spotify:track:5ZSUVvMLYAwPjLSwRj6nP5
Ooh I Love It (Love Break),The Salsoul Orchestra,spotify:track:34amktxLDwvmvk7Tod31ZM
Set Me Free,Karen Silver,spotify:track:6vC4paKQsT5OM7yPel0fpL
Goody Two Shoes,Adam Ant,spotify:track:5fI6VuWtMLlgYt58nbre01
Seconds (feat. Loleatta Holloway),The Salsoul Orchestra,spotify:track:7GbaBddrF414ag8kiW7dgb
"Make Up Your Mind - 12"" Mix",Aurra,spotify:track:2W37d46W5KIDlXflb855JK
Lettin' It Loose,Heatwave,spotify:track:3m6E8ZPiQkW0i2WboZH9Ju
Being Boiled - Fast Version / 2003 Digital Remaster,The Human League,spotify:track:2xN8RYKg69sdfoqtvYnwwM
Any Love,Rufus & Chaka Khan,spotify:track:1kWqY6h6McouejRwhmqtSw
212 North 12th St.,The Salsoul Orchestra,spotify:track:68hVb0chLoQMKwLDxaq1Qt
Handsome Man - 2012 - Remaster,Sparkle,spotify:track:5HBweIx4PinfoNdTlhNNYd
Work That Body,Taana Gardner,spotify:track:7vp75SMeT8mFdDoFOzGa4C
I'm Caught Up - In a One Night Love Affair,Inner Life,spotify:track:5XaBOlOPKJGnq3XFiS5ZHH
I Was Born This Way - Better Days Mix,Carl Bean,spotify:track:43vj8ZnM3TDTBob6xpZD5J
"I'm Not In Love / Girl, You're In Love - Mix-X-X-Tend Version (Unmixed)",Scherrie Payne,spotify:track:1lulg9IbnFfOuvoEGjiNIG
Hills Of Katmandu - The True Patrick Cowley Megamix,Tantra,spotify:track:7Gj0KcQcegWQ14JCXePHiz
Give me a Break,Vivien Vee,spotify:track:21ebxv3xeNEJbmdwBhfwQ5
I Gotta Keep Dancin' (Keep Smiling) - 12 Inch Mix,Carrie Lucas,spotify:track:41r77Dx4MGp2AU1DTuhSrE
My Simple Heart,Carol Douglas,spotify:track:5lm6sXwt7Nfbh0CIuKaEMg
Love Me Tonight - Turn off the Light,Karen Silver,spotify:track:3vWQZdYrmbMEsjb2whPgRC
Vertigo / Relight My Fire,Dan Hartman,spotify:track:2U0XibMMrzRORohIIJCn0K
Free Ride,Dan Hartman,spotify:track:17ojk4PRvB27ctqgBXlhnR
I Wanna Be Your Lover,Prince,spotify:track:4yrM5BVyJzy5Ed4GPO6e8j
Sexy Dancer,Prince,spotify:track:3KgByVmDzMkOXwtbqbqjBn
"The Second Time Around - 12"" Mix",Shalamar,spotify:track:0no57KxOV94n8BYTGaHIKY
Do You Love What You Feel,Rufus & Chaka Khan,spotify:track:7fYozX6MaNmfHoGW7bFTdK
Wear It Out,Stargard,spotify:track:0OmXNiWR8VZCsx2GfwpvCO
"No More Tears (Enough Is Enough) - 12"" Version",Donna Summer,spotify:track:2Zk9PZUmYT7FD2x1OoqOkp
"Dancin' Forever - 12"" Version",THP,spotify:track:1Jyvri24lFnXs2PErc1MWL
Dancin' is Alright,THP,spotify:track:0wDiEQ3Yr6nir88CASmt9C
Good To Me,THP,spotify:track:4YkoVWEcpodn2oTGGYvlZ5
Who Do You Love,THP,spotify:track:3yZj0MdsANthx8cRTqNsqO
Don't Let Go,Isaac Hayes,spotify:track:0bFGteEuBXbVd0fbV2XpD3
On The Radio - Long Version,Donna Summer,spotify:track:0bIPqZYXyiRkOeqOkpOT0R
Bodyshine - Larry Levan Mix,Instant Funk,spotify:track:0Jk7n5HGUdQVrsraT66yAe
"Slap, Slap Lickedy Lap",Instant Funk,spotify:track:730fJEgCuwdLhAAtsWZmAw
Straight From The Heart,Loose Change,spotify:track:4rxu6ABpCcyQ9oJLxsIu7F
I Can't Dance Without You,Theo Vaness,spotify:track:6d9TEHoIgmc25jEJEEBseD
Than God There's Music,Theo Vaness,spotify:track:1wBasa09RKygmwG2hPyfIz
I'll Tell You,Sérgio Mendes,spotify:track:13ejGIMVVAoRBVT5hZCdzM
I Don't Need No Music,TJM,spotify:track:3IzcHFkN9ygkuF5k6GlyoB
Put Yourself In My Place,TJM,spotify:track:6iW9OYvEVaZKIUnk640iVY
Small Circle Of Friends,TJM,spotify:track:6GOpYsjVIWuPYvx1kXsWiM
Am I Dreaming,TJM,spotify:track:0Rxh9okstRrhC9J5TF9fL2
Storm Warning,TJM,spotify:track:0YxtpSXAjtniUqHutACNYX
Planet Claire,The B-52's,spotify:track:5aC0QmgjYGG8QYgAg06nTk
Dance This Mess Around,The B-52's,spotify:track:207qLd1ovrqfYVBBDrNMUM
Rock Lobster,The B-52's,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT
I Want You for Myself,George Duke,spotify:track:3tAawZ4CeNujAAP5t0kijg
"Love Gun - 12"" Extended Mix",Rick James,spotify:track:1K4cuZLF7ItvcDt4Dq21x7
"Kind of Life (Kind of Love) - Original 12"" Vocal",North End,spotify:track:6OhGPTvYP93TQVkNbA8yPa
Just a Touch of Love,Slave,spotify:track:1abbmCW62dP7ag10VjQBz4
The Visitors (Original),Gino Soccio,spotify:track:1gBGuRVimCLTDHpl5fm3Ki
Love Is in You - Remix,Nightlife Unlimited,spotify:track:4n3pRHNe0a5jj3ii2QXQY5
Dance Freak Boogie - Remix,Nightlife Unlimited,spotify:track:36TnAFEW3SzUsWXo2Daabo
Running From Paradise,Daryl Hall & John Oates,spotify:track:2iKUfmHdeODUDqdgbrRqY4
Portable Radio,Daryl Hall & John Oates,spotify:track:0EwbkZ6DAa3ChsyWClVRDf
Cowboys and Indians,M,spotify:track:1ZyqVbYoslcWLElTmw3eKb
"Pop Muzik - Nik Launay '79 12""",M,spotify:track:0FBeVAGy58YREuZK2rpRVm
Keep It Hot - Special Version,Cheryl Lynn,spotify:track:62H3NOTEW7JiV2khhOHBnk
Hide It Away,Cheryl Lynn,spotify:track:210YdQQH2TUOYqbG8HvEjm
I've Got Faith In You,Cheryl Lynn,spotify:track:7McPckLxmf6GbpT3elXj5o
Twilight Zone/Twilight Tone,The Manhattan Transfer,spotify:track:1dXYwIIbdDaW5tKFZUeuPb
Right in the Socket,Shalamar,spotify:track:3cTZ1gQaFYJYPr50pCVrG6
It's Still a Thrill,Dynasty,spotify:track:1szOvo138qqreXCetYzBsK
Satisfied,Dynasty,spotify:track:5cK5arN6tbb5UT1MojxxFr
Rap-O Clap-O - 2013 - Remaster,Joe Bataan,spotify:track:3zjPJnExupCwiukKM27m9q
Pop Pop Shoo Wah,Erotic Drum Band,spotify:track:4qfNRn8OScFxGUX3a4debl
Firecracker - 2018 Bob Ludwig Remastering,YELLOW MAGIC ORCHESTRA,spotify:track:7qQv7au0VrxpmE2OJ1eCgK
Winners,Kleeer,spotify:track:7sWHmBnvmccxvHUJQuRu5W
Give up the Funk (Let's Dance),B.T. Express,spotify:track:3kQFo7hAgXDV1MztfZ24g4
Underwater Original Version 1979,Harry Thumann,spotify:track:6Kx8BnlhpywATbzjFNKgW1
Fear,Easy Going,spotify:track:4jf4tlzUlg8CanVVB0mSLa
Everybody Get Down,Alphonse Mouzon,spotify:track:43mcLyWJTM3P9iqN3mNHFy
Everybody - Larry Levan Mix,Instant Funk,spotify:track:5z7RaEjnEyBZJiRGKJPOwR
The Funk Is On,Instant Funk,spotify:track:3ijoSmzvPqpHPbz4C2BOZ2
Touch Me Now - Unmixed,Bravo,spotify:track:05OIuCGSx4APKLhi6qReOM
Thinking of You,Sister Sledge,spotify:track:7mimnm2QlSzW3J38FRMETP
Making Plans For Nigel,XTC,spotify:track:1XT5kxg6Tk0ukCO2vBQN4v
Map Ref 41 Degrees N 93 Degrees W - 2006 Remastered Version,Wire,spotify:track:1SE9iFIK4BCpadmfGtMEq0
Nite Flights,The Walker Brothers,spotify:track:5ZsjiK0NIgNmDhe5qiCVJI
Ocean - 2015 Remastered Session Outtake Version,The Velvet Underground,spotify:track:0TvF2UvMaTwhwU1TQEEMM1
Let It Happen,Vangelis,spotify:track:59HzNVTc331SYrI6vQEJJQ
Teenage Kicks,The Undertones,spotify:track:7ATyLePQnHxFk5kzxWCcsh
Family Entertainment,The Undertones,spotify:track:2dNP78rkC9ruBdwvY9mfGz
Live From The Moon,Trooper,spotify:track:4sFScxHar3l6KtExnByTwt
When the Spirit Moves You,Touch,spotify:track:488C7PTUuf0az8X65NPSr9
International Feel,Todd Rundgren,spotify:track:06V37EB87B3Nyj5DlBpZck
Johnny The Fox Meets Jimmy The Weed,Thin Lizzy,spotify:track:1narbYxMWpbp5ZbCdBgwlS
Days - Remastered,Television,spotify:track:6qK7CuehGu2DVwL8UgaEhV
Tangerine - Remaster,Led Zeppelin,spotify:track:3NH2FJUSV3HGXZRtOc3Uwj
That's the Way - Remaster,Led Zeppelin,spotify:track:3UsvZGhlJrBTX2OWXh2BvC
The Sacro-lliac,10cc,spotify:track:1vhDLpeGpCjQR0QZEfPP2b
Come Fair One,Byzantium,spotify:track:2hsbhX0dJ2YuYhaJ0hMVyJ
Charlotte's Observer,Sensations Fix,spotify:track:32wSHp7zMydHe0zPVAmFbN
The Bogus Man,Roxy Music,spotify:track:3vInZb2VqENTeJr6yZ5TIr
Stronger Through The Years - Remastered,Roxy Music,spotify:track:3oN6GakwMKG2BjIMTUdXCN
San Tropez - 2011 Remastered Version,Pink Floyd,spotify:track:4FIas3biBpCzz8bAUVow0P
Fearless - 2011 Remastered Version,Pink Floyd,spotify:track:5WEOx4ZXcfX3wvbfxsAoDO
No One Receiving - 2004 Digital Remaster,Brian Eno,spotify:track:4AHCh0JCCzPYsvRCUFdru3
The 15th - 2006 Remastered Version,Wire,spotify:track:09yW4puUYZDi8qbshroNI6
Blessed State - 2006 Remastered Version,Wire,spotify:track:7rOyQc4P7cAynPrrLfochh
Gut Feeling (Slap Your Mammy) - Remastered,DEVO,spotify:track:5mE32UjfumX77v5svltaOA
"TNK (Tomorrow Never Knows) - Live From The Queen Elizabeth Hall,United Kingdom/1976",Phil Manzanera,spotify:track:30X9TJeJ6FIgU6g7OWIRPe
Child's Christmas In Wales,John Cale,spotify:track:0eaIZ82uOTXqkopGBer5FO
Paris 1919,John Cale,spotify:track:7sF2KOkDLXNDAiUXpWP8aR
Shakedown Street - 2013 Remaster,Grateful Dead,spotify:track:1lNRVjK8MukRZpeurYssIx
Rosalie,Thin Lizzy,spotify:track:3iCwNNZczykuPR22KpRFCS
Houses of the Holy - 2012 Remaster,Led Zeppelin,spotify:track:0d0Z9qFbTIgDSZtImluTAy
Bring On The Lucie (Freda Peeple) - Remastered 2010,John Lennon,spotify:track:3BEqiYIPoWe7Rmveh4ZkkT
O My Soul,Big Star,spotify:track:2csUN49CrnF4c9cQvfKCj1
Watch That Man - 2013 Remaster,David Bowie,spotify:track:1vlcWaJV9hGbiQMbsh2d8t
"I Can't Wait, Part 1 & Part 2",Amon Düül II,spotify:track:15oJfUTfdMlndpzNaGdsvP
Speed Kills,10cc,spotify:track:5IMkXOMEVKoG8ZybjIK0mU
Hard Hearted Alice,Alice Cooper,spotify:track:1XSgb66BDAFNX6Ed6dDzZB
Winter Always Finds Me,Zephyr,spotify:track:7HWZQ7JvO1Xrxi6Xq4j4AE
"Give Me No ""Roses""",CAN,spotify:track:1l3g7MYxu3qelcRa2y0O46
Tight A$ - Remastered 2010,John Lennon,spotify:track:7dsHoB70SVyOUeZMNKwBJg
Meat City - Remastered 2010,John Lennon,spotify:track:5mROLKV9edAqJnof3ib0Sh
Intuition - Remastered 2010,John Lennon,spotify:track:570g0E93XPrX0BNRJFhRe8
Double Life,The Cars,spotify:track:35FeJ9tdKOCSO7qnc2JRYM
Joybringer,Manfred Mann's Earth Band,spotify:track:4CpwfyXvsnJYlHgUD4VL0m
Red Light Song,Blue,spotify:track:69jVxCz1aLF1GZccmfhpdK
Auntie Aviator,John Martyn,spotify:track:0EsQGBTkAZaOIvJmE9T1yb
#9 Dream - Remastered 2010,John Lennon,spotify:track:4ZVWvCUwsOnIGmJMj71RkG
I'd Have You Anytime,George Harrison,spotify:track:0z9wCwoW9rNZaAuL2UIwwV
Snowqueen Of Texas,The Mamas & The Papas,spotify:track:09jDQcg0LkTWH9NEVtYB43
Jumpin' Jack Flash,Ananda Shankar,spotify:track:6BkeuHmO4P69Ln2BSonrXi
Celebration Day - Remaster,Led Zeppelin,spotify:track:2gz5zUs2ah7IkHbbb9yOUN
Steve Miller's Midnight Tango,Steve Miller Band,spotify:track:2RrpVlFjLyHb6xLjUqooOp
Poor Moon - Bonus Track,Canned Heat,spotify:track:7Jz5xuMxyyddDLx40RsWL5
Promises,Eric Clapton,spotify:track:1oar8gdDX5yHWzVstAHDav
Ride Me High,J.J. Cale,spotify:track:2OnTluP3yNVsFXTkbuQ8VH
Thank You Friends,Big Star,spotify:track:7ARZaEbVZCNZFps0yc8Vwa
Nightime,Big Star,spotify:track:3nJfUMzoT76Rty4KBvVfv2
One of the Boys,Mott The Hoople,spotify:track:3xyJQopi3TWy2ouP5A3EcS
Subterranean Homesick Blues,Harry Nilsson,spotify:track:0pyEqO79vA7Urzli4F5Ost
All My Life,Harry Nilsson,spotify:track:5NkBeFXxXpdgBS0VHiTzQH
Mucho Mungo / Mt. Elga,Harry Nilsson,spotify:track:0s4U5jDgPzIZVVAY1Nhrad
Sex & Drugs & Rock & Roll,Ian Dury,spotify:track:1PwB9EADXS90I8LoewLXfl
Outdoor Miner - 2006 Remastered Version,Wire,spotify:track:5AdLu2shYmDMqt2pHaOEle
Government Center,The Modern Lovers,spotify:track:21wOSmPAIfOcM0Uv2oJi9P
I Saw the Light,Todd Rundgren,spotify:track:0B1zVsLqmV9ibIFdNS5tGs
Something Special,The Sutherland Brothers,spotify:track:7wH266SKm4ycEI4YuP7eYU
Charley's Girl,Lou Reed,spotify:track:70tBw295bLL8B13Jg3SNUs
Love Is The Drug,Roxy Music,spotify:track:3wtMkvedoWMQ3XTKv7tqcZ
Prairie Rose,Roxy Music,spotify:track:5TSXQTFHlbxXghtEBR3Zcy
Celebration Day - Remaster,Led Zeppelin,spotify:track:78MXICbE7bD4cuPKFh1EFO
Queen Bitch - 1999 Remastered Version,David Bowie,spotify:track:7szCdhEyZ2xAEkVyZWS9uB
Prove It,Television,spotify:track:3aPjLBWsrqTetCn3QcLSuK
I Saw the Light - 2015 Remaster,Todd Rundgren,spotify:track:5uRkew0DtfAQmv0oEYNwFF
Burning Airlines Give You So Much More - 2004 Digital Remaster,Brian Eno,spotify:track:0QoLFuJeadUqLmIP6HDuB5
And I Know,Krokodil,spotify:track:3jdORFGaXVdd0JLr0gmKwp
I'm So Free,Lou Reed,spotify:track:3O6xCKNtVyHUcL6HhGWcXL
Shutout,The Walker Brothers,spotify:track:6lDJEEX8QwxxwV8jDQOaNp
If You Can't Rock Me - Remastered,The Rolling Stones,spotify:track:167EqdT96epl3Lq3HaLjW2
The Thrill Of It All,Roxy Music,spotify:track:2LVvnvOjrtqVvsXVgUSkin
I'm Not In Love,10cc,spotify:track:5HQEmiV2lKnSO6qa2fsR7x
Flying Junk,10cc,spotify:track:3rRcKKfaaPruErqMyBeChy
Joybringer,Manfred Mann's Earth Band,spotify:track:2OOeAGQZIdafl9KZvF7wBC
Ausflug,Kraan,spotify:track:20H6z0n5rV6sjOxCLrpHra
Far West,Kraan,spotify:track:4QCjkb9grBUJpoD7jhEDjo
Buy Buy,Kraan,spotify:track:6f9ewTIb1ih5jg1TqUjMoa
Flyday,Kraan,spotify:track:55Re8nsrxQNDGhezM9MAAS
Picnic International,Kraan,spotify:track:6t2WTknNalpQIqW3LKKnXb
I Want It All Now,The Tubes,spotify:track:5zbw7FqsRZKURzxvfXeNao
Turn Me On,The Tubes,spotify:track:05O4d8frZsjSvowSURQ4J1
No Mercy,The Tubes,spotify:track:67cNYu4wVUB9AaDPDUZ4Mx
Prime Time,The Tubes,spotify:track:1SIFIQwbaFhcIDQoAxTuT1
Wonder Girl,Sparks,spotify:track:1FpaXMp0Sf5WF5uKRLk73R
Sunday Papers,Joe Jackson,spotify:track:5MRt5JfLp42Nvj5Gg2ZRwO
Group Life,Godley & Creme,spotify:track:3RX1UfjPykALgBpdptbpIx
Mugshots,Godley & Creme,spotify:track:2oq9OBZfSOk3cEmzpd0vaZ
Caroline Goodbye,Colin Blunstone,spotify:track:4HlUH6aA6XyYvGZUO9HHHB
She Loves the Way They Love Her,Colin Blunstone,spotify:track:7MEGee2yq9oWZKpxjYlSyW
What Is Happening?,Byzantium,spotify:track:7bIFaabiE2HvDVMRb24Bg7
Love Is In Motion,Stories,spotify:track:6gFty93Su9OYShshJZhzkb
Casanova,Bryan Ferry,spotify:track:29eZ1vZbI0BjJPKNdDSoyN
Music Is Painting In The Air,Sensations Fix,spotify:track:3RxsgSk1kXUhwHup5xIlHL
In The Street,Big Star,spotify:track:292yvw9TProqeTA3fwRwEz
Hold On - Remastered 2010,John Lennon,spotify:track:4bN43jYf41eIjJZ3UXQpuA
Ballad Of Sir Frankie Crisp (Let It Roll),George Harrison,spotify:track:0sX4OzAtIubFc4s9y5KrB7
Ram On - 2012 Remaster,Paul McCartney,spotify:track:3lqXAOFVwDSJDLTNZq6MU6
Another Day - Remastered 2012,Paul McCartney,spotify:track:4CeXXn71DG2X3i3bq3PK53
What Is Life,George Harrison,spotify:track:76TpWFiK5YCgw1hy26DWZp
Uncle Albert / Admiral Halsey - Medley / Remastered 2012,Paul McCartney,spotify:track:5jvwnpJunnIVm1gLLMviGr
Apple Scruffs,George Harrison,spotify:track:26sMc53X5ptxM2xgGBROzG
Junk - Remastered 2011,Paul McCartney,spotify:track:2EnRJ8kjTFpEZZWwbTNKZM
Awaiting On You All,George Harrison,spotify:track:2VXjgueoSOIxAEswR3uRsp
Undun,The Guess Who,spotify:track:3zsWzIGaMYfB8V9dPx2nge
Jesus For Tonite,Michel Polnareff,spotify:track:5C1SmgfxmCFm6iX2cudtgQ
Ancient Traveller (bonus track previously unreleased),Mighty Baby,spotify:track:5QLIt5A6f9rE2aAcmyCNax
Sway - Remastered,The Rolling Stones,spotify:track:2TgVLVuBUBp8Dc6tER4mg4
Run Of The Mill,George Harrison,spotify:track:3S574gsoQJl826YjsuRqSr
Listen To What The Man Said - Remastered 2014,Wings,spotify:track:26q2FdGu71XhOlpJoXtfjx
Rainbows,Dennis Wilson,spotify:track:0mONC9WyQSPG869cO2zfIL
Some People Never Know - 2018 Remaster,Wings,spotify:track:4WrUwDLQYLwkeKJQhoDfme
When The Wind Is Blowing,Paul McCartney,spotify:track:0e1wfTwFaEyEqUB8adkgza
Venus And Mars (Reprise) - 2014 Remaster,Wings,spotify:track:4erNGjKMJyr7oAtpjjfKpV
Seaside Woman,Wings,spotify:track:1leonmZ5bgIkFJqluT6FpX
Chain Reaction,CAN,spotify:track:4g1FlJFKeRTQemFmxUf4yA
Rainbow,Randy California,spotify:track:4PHVgobXKtRfCA4RRlO4BD
Far East Man,George Harrison,spotify:track:5jtZokQ3yXEo4cI7BFJRLJ
Band On The Run - Remastered 2010,Paul McCartney,spotify:track:5mvzwam5cSWhTgc9m8cTOp
Nineteen Hundred And Eighty Five - Remastered 2010,Paul McCartney,spotify:track:1mwXWyvvmVRKLqMHdIxfyh
Cleo,John Cale,spotify:track:1KwgoiZwQGqyQN7rYKsgOw
Toiler on the Sea,The Stranglers,spotify:track:2ByEdIumb0VpRzaiGTjlcM
Stay Clean,Motörhead,spotify:track:0S5OBVi1VLsoKoAgy8pWeR
Earl Gray,Fleetwood Mac,spotify:track:3lhtmXT6FDwGOCANDbKC0W
Ain't Wastin' Time No More,The Allman Brothers Band,spotify:track:1hHzmUP61nqVSyVHruv3jZ
Already Gone - 2013 Remaster,Eagles,spotify:track:0CKxrnF9KplS21LTjkkqsW
Mission Bell,Fleetwood Mac,spotify:track:5YZ6vV7biriubVz5IvIMbz
Woman of 1000 Years,Fleetwood Mac,spotify:track:6aE623nY6WVhgYH9VAFQRr
Dust,Fleetwood Mac,spotify:track:2yE8gE3zBfflRklTKIlpiv
I Love The Sound Of Breaking Glass,Nick Lowe,spotify:track:4lr8mubS2OpgJEOuPHx2rV
No Matter What - Remastered 2010,Badfinger,spotify:track:0zK545STj6P7qbFSpCK9pp
When You're Near Me I Have Difficulty - 2001 Digital Remaster,XTC,spotify:track:0pG73CkloiWrsiQlSYJDj8
The Water Song - Remastered,kalapana,spotify:track:5S3gOh0WlX5pnKblDPXkIg
Girl - Remastered,kalapana,spotify:track:7wLRdqatGPRdvS99yMT1eB
All I Want - Remastered,kalapana,spotify:track:5g6t6VnYdS9DRo6dN9Yy1w
Project Wishing Well,Sensations Fix,spotify:track:2lRNaxfCpG3Ic5kwxPQPFT
