Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
"Without You - 12"" Mix",Talk Talk,spotify:track:0gfaK8Le5PZuFCy1jRFjea
Sabotage,Beastie Boys,spotify:track:0Puj4YlTm6xNzDDADXHMI9
Red Red Wine,UB40,spotify:track:3YdgxvbJckLf7FoFQXAEmh
Basket Case,Green Day,spotify:track:6L89mwZXSOwYl76YXfX13s
That's How I Got To Memphis,Tom T. Hall,spotify:track:0iXWkPJwd1cTGrVVfkS2et
You're a God,Vertical Horizon,spotify:track:4SKlwyLMGQdzul5S5TvCh5
Heartbreak Beat - Extended Mix,The Psychedelic Furs,spotify:track:7gDgWFO50C4H9LzAAQ2EEh
Biff Bang Pow,The Creation,spotify:track:4PxDVjC6cl9sRO7se4k4RD
Soul Finger,The Bar-Kays,spotify:track:134o5xEQNC5kRUSRna6SDY
What I Got,Sublime,spotify:track:3B4q6KbHbGV51HO3GznBFF
I Know a Place,Petula Clark,spotify:track:6ouDN7H9yT30dxKSIDGapB
Send Me An Angel,Scorpions,spotify:track:4rBgm0zIGwwAhuUibPehy2
Alright,Supergrass,spotify:track:5xC8uOesnn0udeXAYlAnoY
Super Bon Bon,Soul Coughing,spotify:track:1njobA8NxcOtPIbLdrip0T
Breakdown (feat. Krayzie Bone & Wish Bone),Mariah Carey,spotify:track:6iUlUzSGZzKtlCvQ3wCVZD
Plush,Stone Temple Pilots,spotify:track:3jJZVeExYzVYiV6Y9Fl3DX
Outshined,Soundgarden,spotify:track:4VwPsMcRt1HPVKIdcwY9Uj
Life In Mono - Great Expectations Soundtrack,Mono,spotify:track:1dKmWxKinP9pnTOe3YoDS2
Mon ami le BrÃÂ©silien,Billy Nencioli,spotify:track:0ZcddngGjEGcminHS2pFhN
West Indian Daddy,Lou Donaldson,spotify:track:0JR7g1H85BvClg2ZhGD79b
Lakini's Juice,Live,spotify:track:3vcybGRC3eU6btnEWuFWII
When You Sleep,My Bloody Valentine,spotify:track:3HfEgAaf0koxBpBB8NvGda
21st Century (Digital Boy),Bad Religion,spotify:track:7C794YeXiiSdlvGLxgabkd
Build Me Up Buttercup,The Foundations,spotify:track:3XcuLPQb1LG13ZJEEa6wUI
Leather Rebel,Judas Priest,spotify:track:7jKqBoo7SCSQnYd8xRW6AV
Sex Type Thing,Stone Temple Pilots,spotify:track:2nWjhmRImt6LScZIPQMBnM
Roadrunner,The Animals,spotify:track:2yIJ513gZXUTUXc0C1Bpwv
"Which Way You Goin', Billy?",The Poppy Family,spotify:track:0nF1CUagIOVyn5pIzf4PGr
(You're My) Soul And Inspiration,The Righteous Brothers,spotify:track:5ZHOiRqKOzgFMfMAu8cwzp
Destination Ursa Major,Superdrag,spotify:track:6fMqi7ho4NF1pgGEcCMDY7
Forever and One (Neverland),Helloween,spotify:track:0B6qYQS41EcbC66r7c4DBB
Lucky,Bif Naked,spotify:track:76ZeSKJ7ekxZzOgqszwnA4
Right from the Start,INDIA,spotify:track:0QbhstbgYQdwFbPov7Jmcv
The Worm,Jimmy McGriff,spotify:track:1DapHmwS0k6TFa6r573NEK
Tidal Wave,The Apples In Stereo,spotify:track:0VJJBQ9WDz4BP2HzIlYy3J
Leader Of The Pack,Utfo,spotify:track:1FnGG1xbt6ouP2eYpLF9KO
The Friend Catcher,The Birthday Party,spotify:track:0x1VbnNyHrLeWzQZIPVHqK
So Different,Kinky Foxx,spotify:track:0F2ltspyn8RmgvPzXZRZVy
Corcovado,Grant Green,spotify:track:29SHmbd576uwpUeSpf8iwX
Upa Neguinho,Duke Pearson,spotify:track:1K1Q4rhWUY655HJ9Iqfw60
Further Away,Manic Street Preachers,spotify:track:5UhBDy7NAa2rYxGxqDiL4w
Medicine,Orbit,spotify:track:2M8WHGQ5l1xYSMOBIzbgxa
Anytime You Want,Eric's Trip,spotify:track:20oAw9tiTn1m9SXZRtNmGR
Kandy Korn,Captain Beefheart & His Magic Band,spotify:track:4nVObVt6w7zfi95AlISIXO
Fell On Black Days,Soundgarden,spotify:track:1wlKw9NAWVWpx7OIAyg9EA
Stone Believer - Single Version,Iron Butterfly,spotify:track:0E7zR87ReZ1bSp4Uo4qICM
Gruppen fÃÂ¼r drei Orchester - Werk Nr. 6,Karlheinz Stockhausen,spotify:track:1We0Q4IsPGC0zcYVsqXbrm
Buddy Holly,Weezer,spotify:track:3mwvKOyMmG77zZRunnxp9E
Lo Dudo,Los Panchos,spotify:track:3aWZmsxvmfcLl3cuWWno0r
You Always Hurt the One You Love,Des O'Connor,spotify:track:0iC3ltZRBo9PmhmyPDunEJ
The Real Thang,Narada Michael Walden,spotify:track:5V3yltFfcJP81BP9Lr1ZXH
"River Deep, Mountain High",Ike & Tina Turner,spotify:track:3wMqRnny1MIRLuv3tjUJO6
Story of My Life,Social Distortion,spotify:track:4Q4w8aRdfhIIEhBututktL
Black No. 1 (Little Miss Scare -All),Type O Negative,spotify:track:6HtFpG2WX3TfB8oLLua3XJ
Flowers and Beads,Iron Butterfly,spotify:track:1ja9IrXECLAXvDj9cCFHeW
I Think It's Going To Rain Today,Dusty Springfield,spotify:track:6eLAxAuhLkwCVJebqev16O
Strength,Comet Gain,spotify:track:3GVe3Kgd4nL9wTmB9besp5
Summer Song,Ronnie Foster,spotify:track:2h08uveuq19LSkOTHptA0g
Humpin',The Bar-Kays,spotify:track:3VzTIg2Noj5JLMeyOZrpqI
Pork roll egg and cheese,Ween,spotify:track:7tLb4Ut5DnJXAoOIhzPXyE
ÃÂ¡ÃÂ»ÃÂÃÂ¶ÃÂ¸ÃÂ»ÃÂ¸ ÃÂ´ÃÂ²ÃÂ° ÃÂÃÂ¾ÃÂ²ÃÂ°ÃÂÃÂ¸ÃÂÃÂ°,Lyube,spotify:track:4za8d8KiWueRsmVfa6o45j
Cavern,Liquid Liquid,spotify:track:37wuwV4Y7v2e3kLyvt2fAI
Dream Baby Dream,Suicide,spotify:track:3MmogIpfk1GVXRMmRjKLGI
Lovin' You,Minnie Riperton,spotify:track:4twhYPDyCP6ICeW3TtQVxP
Dynamite Chair,Poster Children,spotify:track:36VaREujgIB4jNwnDWotah
Satisfaction,TrÃÂ¤d GrÃÂ¤s Och Stenar,spotify:track:0DMSylg3xA9BLdPjdYnDxV
Dog and Pony Show,Shellac,spotify:track:5IpzmgwHjH6MQwRf1FptRk
Turiya & Ramakrishna,Alice Coltrane,spotify:track:4DVu7YgHVJaeN0C7HNpy2q
Miss You Much - Slammin' R&B Mix,Janet Jackson,spotify:track:1ICXGCxQqOhJurHVg2QrXq
The Scorpion - Live,Lou Donaldson,spotify:track:1mQ0ZxiBGjecx3RXIhrTcG
"Flaming Sword - 12""",Care,spotify:track:7B9nB8k61f28XDEr9tkHO4
Smoking Umbrellas,Failure,spotify:track:11IYFUPlQPPAQjxfl2HncN
Speedy Gonzales,Pat Boone,spotify:track:6rBb7xcuswLyZ1Aco8kG8v
Shine,Collective Soul,spotify:track:1HZ3cUZUw5htSFmah1V8Ko
Happy Now?,No Doubt,spotify:track:0v6dwtqJG3vK3mqUU6Q1yR
Love Machine - Pt. 1,The Miracles,spotify:track:1b833AsiKCEhLLxmdQu9Hw
End Of The World,Aphrodite's Child,spotify:track:5VxtGuqulvpvb1DymW350L
Suspicion,Terry Stafford,spotify:track:17YtDVU9bUluyihdOKWfxu
You've Got the Makings of a Lover - Live,"Sly, Slick & Wicked",spotify:track:2v1phQ244HrX1VfENUq0aa
The Lion Sleeps Tonight (Wimoweh),The Tokens,spotify:track:2QbSGkb3TgghEHpjKCsznm
Pets,Porno for Pyros,spotify:track:5kcQEPksJHTOLQ4In5oGN2
Tonight,Kool & The Gang,spotify:track:6gSFymipWCAuXZvEoY4O4k
If You Need Someone,The Field Mice,spotify:track:76UnqLEbklk07LOjmv6Pma
Whatever Lola Wants,Della Reese,spotify:track:5E6Z9yOgEvbarWc1MGE1TH
Back In Baby's Arms,Patsy Cline,spotify:track:6wRJogzb7OFOyCu9me7Ie8
Salvation,Rancid,spotify:track:6b769E9sQf0kZTILVjSDaH
Victory,PJ Harvey,spotify:track:4hODzJHI7vbGQIBrrO1ICj
It All Depends on You,Craig Douglas,spotify:track:3mPYh8UShQl4S4uHcE1026
I Only Want To Be With You,Dusty Springfield,spotify:track:22O0VTGMYSMWHhQsZPEYoR
Don't Go Breaking My Heart,Elton John,spotify:track:5pKJtX4wBeby9qIfFhyOJj
Killing Time,Metallica,spotify:track:79jUl01f1buubdFH8Hm8Bf
Grace,Jeff Buckley,spotify:track:113VT0dXCsqDAAfe8JQ2xm
Designer Music,Lipps Inc.,spotify:track:5aVvVMwfFwu5JSoMFZojDE
Bend to Squares,Death Cab for Cutie,spotify:track:0trMLpdfwrHOQGkexJbcT6
There's No Blood in Bone,The Poppy Family,spotify:track:5hCFQP2KjrOwVHToCzSKOK
1000 Smiling Knuckles,Skin Yard,spotify:track:5xAGbHEbEUswFidp7tMvqn
Contaigious,The Strikers,spotify:track:1Dm163naO9giWajZvrZou6
Drop Dead Gorgeous,Republica,spotify:track:253PaikJ4dv2naUFa4VeJW
The Girl Can't Dance,Bunker Hill,spotify:track:4GaCV1wVlwKBWfauxPUKzw
Violet,Hole,spotify:track:6CHENx8iqzMwavTIz8s0gm
PatÃ¢ÂÂs Trick,Helium,spotify:track:54w5UPmlp7pgQfQUpdk9mD
She's Not There - Mono,The Zombies,spotify:track:2HB6dnlkue4eJhtdK72Chc
Heading for the Door,Duster,spotify:track:7fR7pgBcRGjTYCOJzjnYEc
In Spite Of All The Danger - Anthology 1 Version,The Quarrymen,spotify:track:7zvMaTcCspbRMahT4DcjQG
Get Out Of My Mix/Dolby's Cube,Thomas Dolby,spotify:track:0bVMo7dpzLExyVPiCjHnSI
Hamp's Hump,Lou Donaldson,spotify:track:4Hq9Eml1phD8KMgbyHacLE
Telefone (Long Distance Love Affair),Sheena Easton,spotify:track:1ubcQSjkMnrwwqGVeDJBIW
"Stretchin' Out - Special 12"" Mix",Gayle Adams,spotify:track:1pH508sFa8CrL2KK3lLjq8
"Touch, Peel And Stand",Days Of The New,spotify:track:2eG7o3BfbzohiETArwsX1K
The Breaks,Kurtis Blow,spotify:track:19tYXOfQFZ7gdGA3LAH76I
Under the Bridge,Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Shake a Puddin,Dub Narcotic Sound System,spotify:track:6Fh6OoQHHWOO0cm24gjRzs
WILD WEST HERO,Electric Light Orchestra,spotify:track:3GSDA8zHq3YFd6gEv4LbHd
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,spotify:track:2gdtLnVGGg80Kj9GiqP0vH
Trompe le Monde,Pixies,spotify:track:1Vr6yWwrJz8euAwenCikbJ
Ruby's Wishes,Unwed Sailor,spotify:track:4CV7acrdS6xFGXbzffXwit
Enjoy the Silence - Single Mix,Depeche Mode,spotify:track:1YwNlWLf8auhazSQUDQLFU
One Million Kisses,Half Japanese,spotify:track:3cuhPHZIShJvrVST5gkejp
Bullet Proof Cupid,Girls Against Boys,spotify:track:6sGl7RxpLz4xkm1Qim4QhU
Sorry Again,Velocity Girl,spotify:track:6RAYhzwQ1o459lRlZWVr1g
The Wildstyle,Time Zone,spotify:track:1D2PowNncS1qWfX7fT9hqc
Midnight In Moscow,Kenny Ball,spotify:track:1FK2eVZehS2SzBjwrsQCI5
Freedom,The Misunderstood,spotify:track:2axjprbvLMKxurroRYUL4p
Take My Heart (You Can Have It If You Want It),Kool & The Gang,spotify:track:1nN5s8PycvK4zCfj87e62Y
Human Behaviour,BjÃÂ¶rk,spotify:track:5OnyZ56HLhrWOXdzeETqLk
Weisses Fleisch,Rammstein,spotify:track:0ydEdAQOjO1PuHCqpmTUx8
De Svarta Ryttarna - Flykten FrÃÂ¥n VadstÃÂ¤llet,Bo Hansson,spotify:track:4JoN6fdHDMGCkqi2UVOYHG
Kobaia,Magma,spotify:track:4yeDkuer7BbZe49T2m2wrS
Success,Cd III,spotify:track:4PyBUe6DJrQ8Cj4YNeVLxN
CorazÃÂ³n Viajero,Miguel Gallardo,spotify:track:4ycmCCAAuLq8tV9HBEbtuH
You Can't Run from Love,Maxine Singleton,spotify:track:4VWLhIzd6gn1J9FTyjaOz0
Date Rape,Sublime,spotify:track:7FLQo89iaS5gf2hnIEW7P9
So Much for the Afterglow,Everclear,spotify:track:10yqORzsT4ZD9byA7EQjsS
Pushin' Too Hard (Rehearsal),The Seeds,spotify:track:2tSaEWPVYqdggCDiA54r4L
Here & Now,The Ernies,spotify:track:7pIZ4XDMrAYzSPCdvYXrKe
Low,Cracker,spotify:track:6ctbCIikHbC6tSOL1rewQX
Cursed Female,Porno for Pyros,spotify:track:3qduQ8xxlZ0dl1QyLttKPS
Little By Little,Dusty Springfield,spotify:track:5kiVZnjE0sbQ2fh4TfAk49
Nowhere Near,Yo La Tengo,spotify:track:6zqfL2Io4GGtVTz1Agrow1
Monkey Wrench,Foo Fighters,spotify:track:44wXefe8WB9Fd6xwtmAwbR
Hey Joe,Jimi Hendrix,spotify:track:3VMMmMR4IYL28n7oKHyUoD
Keep Away,Godsmack,spotify:track:2Q6Zxws1OeY9cKI7ANTC1Q
Bring Me Closer - Dance Mix,Altered Images,spotify:track:4DixJzIsWCbGSfB726hgtr
Find a Way,A Tribe Called Quest,spotify:track:2MAaiV0bbeq4FpSwPe2rR8
Naturally Stoned,avante-garde,spotify:track:4fqvAq92iC1XWcP71cT7Rm
"Knocked Out - Pettibone 12""",Paula Abdul,spotify:track:4dqztzJhxpSeWxvnxUbwA8
Come Out and Play,The Offspring,spotify:track:5Kz42qOmP4pFuPeCJQc9yD
Hip Funk,Grant Green,spotify:track:5hQAipChyZmNEyp8p670zR
The Keeper of the Games,Sagittarius,spotify:track:2IiUdbk6hae5JxmlEKJOp8
Needles,Handsome,spotify:track:6try2MFpWKn55HnMNS7vZz
Tired Of Sex,Weezer,spotify:track:42hDrA9GTkuvpxjLtAshct
Breakfast At Tiffany's,Deep Blue Something,spotify:track:4GPe1qjQCvOIa8vLBKDI9d
King Nothing,Metallica,spotify:track:4Ovpv1Z98LERzogBUa8MzH
Dead After Midnight,Demented Are Go,spotify:track:75sImmPUD1wHZ2Y4KVSz72
Pepper,Butthole Surfers,spotify:track:1ng36571Iyov4HBxUClySn
They Can't Call It Beer,The Untamed Youth,spotify:track:6SH5gAkEPGXVCPAwpjQOpR
Great Legs,Chixdiggit!,spotify:track:1Oy275WT5ocznzaOVnP6ZS
Flowers On the Wall,The Statler Brothers,spotify:track:7ledv9CTjqdwnvHgRmETyZ
Cut Your Hair,Pavement,spotify:track:3QuzslMgjJGsw6wC1E9eRi
New Attitude - Remix,Patti LaBelle,spotify:track:4Wf4p9mSn8furYGuAUSbun
The Sparrows And The Nightingales,Wolfsheim,spotify:track:6vn9xanSr1R8r4NlWEFlUu
The Cow (Single Edit),Gene Loves Jezebel,spotify:track:7HQjqcytnKwvXvjHhWAa14
Shame,"Evelyn ""Champagne"" King",spotify:track:6KlnQC66NiJTdO88aL62SF
Here Comes My Baby,Dottie West,spotify:track:5MmEAUKy8QbNkU7erQapkE
The Bird's The Word,The Rivingtons,spotify:track:4niy5jbEb70771kN6GitE6
Fire in My Heart,Madleen Kane,spotify:track:0DpkPWSQoPTos74Kbx9Guy
Sex & Candy,Marcy Playground,spotify:track:5mkGfmJGFZpwK9nA5amOhv
You Don't Have To Say You Love Me,Dusty Springfield,spotify:track:0zpGOqyqTEzWGkvZGdALMX
This Is My Song,Petula Clark,spotify:track:5UBtMSch1aLKlsgDz54Wfy
Smooth Operator - Single Version,Sade,spotify:track:3oQ2qU2IFxL1Qp4pXQrYte
Anxiety Blocks,Television Personalities,spotify:track:37zw4pYhCdpGCAxVRywk2u
Panic In The World,Be Bop Deluxe,spotify:track:4mhI6Cv4XOMeXxEx3euqwR
My Flame,Bobby Caldwell,spotify:track:6Z442id7atF0KLRib2f0LT
Nothin' To Do,The Dandy Warhols,spotify:track:22gaKGOIYIjfmlrBsWHyMf
I Want To Be Wanted (Per Tutta La Vita) - Single Version,Brenda Lee,spotify:track:3J073InBcpiVVLIqmPdYXE
Slack Motherfucker,Superchunk,spotify:track:58sDeeEiRIJLOZFJvIS5od
99 Ways To Die,Megadeth,spotify:track:75t7W9LYbkgbkeT6B5EoHM
I Got The Feeling - Dance Mix,Two Tons Of Fun,spotify:track:3QzHdlAGflJyCCnZPm5yiD
Recado Bossa Nova,Laurindo Almeida,spotify:track:3WiCuBS4Rrsgys04Tzlt2G
What I Like About You,The Romantics,spotify:track:6NdcSEhpGGAYXNnnhGS2s6
Domino,KISS,spotify:track:0TvAevj7KbSdafH1bin3yj
The Sewers of Mars,Royal Trux,spotify:track:0iff3J6lSYN7RpHi8iHdaq
L'Espace au sol est redessine par d'immenses panneaux bleus,Fly Pan Am,spotify:track:1iCbWdpuCEqpL9i4cgNend
Summertime,Doc Watson,spotify:track:5xV7bCTvuIcxvB1NcjshNY
Sometimes,My Bloody Valentine,spotify:track:5KBKqxYY263Tr0haAu3fMz
Pretty Little Angel Eyes,Curtis Lee,spotify:track:4NQXfVdjEdbYNK7J6x3hOK
How Bizarre,OMC,spotify:track:0wJyFu6JHwUoKQN5X3uzVe
Red Rubber Ball,The Cyrkle,spotify:track:6DuLN8tFW0DkH9wsbTHZsX
In The Garage,Weezer,spotify:track:6Jn7zdjjr88ixb1HXouvQ9
The Rhythm of the Night,Corona,spotify:track:5IPJsGFKtxKDPCkT8lhEjN
Smells Like Teen Spirit,Nirvana,spotify:track:1f3yAtsJtY87CTmM8RLnxf
Fish (feat. Raekwon & Cappadonna),Ghostface Killah,spotify:track:37hqGqe1Btdp6xuljIm4zL
Dammit,blink-182,spotify:track:6WkSUgo1VdpzgtiXKlFPcY
Love Is Like Oxygen,Sweet,spotify:track:58gcsPyG1xsD4uNtDiMC4c
Emma's House,The Field Mice,spotify:track:7IeinCxS7XtnmYKE1FBkRe
Clear,Cybotron,spotify:track:6ktxc1Nf5UV7hBpkGlmhYJ
Landmine Spring,Quicksand,spotify:track:4kqAUoDhmGzFw8BCl2X5vA
John the Fisherman,Primus,spotify:track:6kgIu3JMVjoTNuZMMHC1O0
The Freshmen,The Verve Pipe,spotify:track:3rfDfPjgHDQ1BUaSHr9xoI
Possum Kingdom,Toadies,spotify:track:56SkdBKyR2zOkjk6wVFI9s
When The Sun Hits,Slowdive,spotify:track:7wE4l1GNxjE2kOmlsx0PcA
Surfin' Bird,The Trashmen,spotify:track:58LVNLjFvt50ERUG3cidjF
Silence Is Golden,The Tremeloes,spotify:track:0tY6WuVkmCth6YHl8xKrew
On the Upside,Xena,spotify:track:1S4YVRL02Fmqi9Es3k3rZB
Kellogg's Jingle,The Monkees,spotify:track:6plw0GfBMqdkfuDLtkC7Qv
Butter (For Yo' Popcorn),Jack McDuff,spotify:track:4rkXl1w5Znp3FDi9fQXSz8
Excuse Me While I Drink Myself to Death,Spent,spotify:track:2wOmDW0ne0pGGHNY2V5VV6
Angry Again,Megadeth,spotify:track:3CI1JP2ooMBSFjIy1u6Yrc
Moody River - Single Version,Pat Boone,spotify:track:0MszZ3Kmozs9FKS0jOue2I
Canto Ossanha,Duke Pearson,spotify:track:00uJtP5NKKiHvzlaSQDu2r
Memorias,Rudy Marquez,spotify:track:69a04rzOmPsms6MwZKlqSg
Hang on to Your Love,Sade,spotify:track:0U4HHxBeW0YFBsMRr4JrAO
The Dandy Warhols' T.V. Theme Song,The Dandy Warhols,spotify:track:3jSYA3qt806ezJdVvvaklD
Heat Of The Moment - Remix,After 7,spotify:track:2Vptb1uGay69Ql4B5NnGok
Breaking Up Is Hard to Do,Neil Sedaka,spotify:track:64UJ810pLNwurMLRCPJPoa
N 2 Gether Now,Limp Bizkit,spotify:track:5SEBSAio1N77Vbrj1cAEGb
Sarah,Thin Lizzy,spotify:track:0fDeJgNqSy2JLjpNYNWl2o
Rocket 69,The Lee Harvey Oswald Band,spotify:track:25Dz6IRdBbmBHVfanpJ5x6
I Want To Touch You,Catherine Wheel,spotify:track:66joDxhdI2CjqMwti4ZHqg
Feeling's Got to Stay,Ric Ocasek,spotify:track:1vZlJjmX6g6OBaYZhod4ba
You're The One That I Want,John Travolta,spotify:track:5k611PjxiTgNqt4FVr033f
Crocodile Rock,Elton John,spotify:track:7z85Sqa3JrNebHK8sDtcRG
Here's a Quarter (Call Someone Who Cares),Travis Tritt,spotify:track:6BTCpaBTxlqGMOl0P6hvvX
Aisha,Billy Gault,spotify:track:2fhp4JfM0c0HO2DUDJb9xS
Number Nine Train,Dale Hawkins,spotify:track:548dJdsaH4JKHdYlIsDAT9
Round Here,Counting Crows,spotify:track:35qwJUKVy1OIt0wQ3xEXi0
One Fine Day,The Chiffons,spotify:track:6XysrR8vcCDIXVRfqylrbc
Waiting on the Guns,Butterglory,spotify:track:1dvSDvpMi6Z4k2gcBoa84s
I'll Take Good Care Of You,Garnet Mimms,spotify:track:3rtLq4R8PM0HlPXZ8CU8qY
The Right Stuff,Vanessa Williams,spotify:track:04c7gHwmtsa37ejt5o3Kdp
Always the Sun,The Stranglers,spotify:track:6q2lHtQwscJJn2gGuv6wdo
Machinehead,Bush,spotify:track:52mw6w5JBQ8ZqpqSUn5H70
"Baby, I Love You",Aretha Franklin,spotify:track:2vWpexnqyNzFoUpmLHxGVb
Jumper - 1998 Edit,Third Eye Blind,spotify:track:3354J49VpkbZJho7Ztdzpw
Bed Of Roses,Screaming Trees,spotify:track:12lJNB0opbyV0b3kL9jB3e
Blade of Grass,Versus,spotify:track:7139wZP7ENjsEietorxGM2
Put the Clock Back on the Wall,E-Types,spotify:track:0fHfJknjZFfSNibwRWfLye
I Love The Nightlife (Disco 'Round),Alicia Bridges,spotify:track:6c0G8K6G2LlIfJTsRLJjfs
The Marionette,Tristeza,spotify:track:6MxIHiTKP08V2UhPPT7mYO
Ride The Wave,Dig,spotify:track:0L2Fg5vcxds1ffjXDeGR4c
Youth of America,Birdbrain,spotify:track:7yS8iTWq1arAy4Xik1Sk1z
My Boyfriend's Back,The Angels,spotify:track:5NiFSI8iIDtVm1NCwdYrHS
Wives And Lovers,Grant Green,spotify:track:5WzMJO9jGI7ZyJBqAyD1sl
That Summer Feeling,Jonathan Richman,spotify:track:5oOC6EBnSQ3PfRAQyfjAla
Third Eye,TOOL,spotify:track:2Dqg2mRbfIVKhBZleNrgmH
The Way You Look Tonight,Bryan Ferry,spotify:track:6c9FQiAlvzMaTc3HrLqSRx
Desperados Waiting For A Train,Guy Clark,spotify:track:2Q3KJw8ibHDsvuNQQmeg8Q
3 Strange Days,School Of Fish,spotify:track:2Zd1hLu5AswuxE7xAYLvc9
Always True To You In My Fashion,Della Reese,spotify:track:01FEnY83S8xHwNoqIZ2shw
Like a Rolling Stone,The Remains,spotify:track:5e12jjKV3BDzef2blHHaJj
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,spotify:track:4svQ1clOSvlI7pz0yF7p02
"Tammy's Breeze - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:1g8IFeH8zdYP9rDgUSYcI0
Skinny Jim,Eddie Cochran,spotify:track:07JOGpEHBICoVjcIjF4ROY
The Fish Cheer & I-Feel-Like-IÃ¢ÂÂm-FixinÃ¢ÂÂ-To-Die Rag,Country Joe & The Fish,spotify:track:6vvaSmXe1oWgbpz5P7Ys4Q
Wax Ecstatic (To Sell Angelina),Sponge,spotify:track:0SKiQidbB2lEY7us6yDt2m
Casual Affair,Tonic,spotify:track:7Cp8TdTtt8fV9qeefeLsI1
Claustromania,S.T. Mikael,spotify:track:6hcTZQlmZsaGmKus021U7x
I Love You So Much It's Killing Us Both,Jawbreaker,spotify:track:04TU7mCmyTMwdpjjmTQbGp
Champion Nines,Unrest,spotify:track:3MN6dAHM3LDSDc5fFqz8XP
Dizz Knee Land,Dada,spotify:track:4yYaokH8Owb9bBq84Eba57
Where's Bill Grundy Now?,Television Personalities,spotify:track:7vPaq9U0ISBqCPiEd0moxE
Wings,Love Battery,spotify:track:29UsdDVWMWYGBxam040D7k
This Girl's in Love with You,Dionne Warwick,spotify:track:4FmTzEfNlGfeFfPQND2ezc
The Sky Children,Kaleidoscope,spotify:track:24aq7KBvgKsiEaj2swDxM9
Knock On My Door,The Marvelettes,spotify:track:6k4W6A24ntNiVXlYKdBYJY
Big City After Dark,Link Wray,spotify:track:5zoIGpOfPPF8d1gplZkhme
Memphis In June,Jack McDuff,spotify:track:4g0Wpj90dxcFOf8CFKKzvf
Tear the Top Right Off My Head,The Monkees,spotify:track:5J2e0W9z4S3k7Gtj1IXTs7
Streets Of London,Ralph McTell,spotify:track:0VJWCHCcpwW26SpP2xXJzX
Beer,Reel Big Fish,spotify:track:7rDOSQkStxj28M4GRM6Xbs
The Laundry,The Lilac Time,spotify:track:35wHk7HJqp2JlZzpLtfoKd
You Can't Be Funky,Bush Tetras,spotify:track:276CeAkKbpAqhm71knz3Gd
I Have the Touch,Heather Nova,spotify:track:7H20M5WIbT6FmGmBLZPlq1
"She's Strange - Original 12"" Mix",Cameo,spotify:track:1e6nbeqoCHuseOOhSj2eng
Only The Strong Survive,Jerry Butler,spotify:track:4pahDC9CyMqKp7VT60oNl1
You're a God,Vertical Horizon,spotify:track:758wp6xs3ADdgIwdeHoXmX
C'est si bon,Eartha Kitt,spotify:track:07UjFjAVwQ5b3jWCWS4Etd
Tyler,Toadies,spotify:track:4ti5I6Wxmj8CNpAxVHKohx
Love Spreads,The Stone Roses,spotify:track:6JvEXmRh3l2acBzvqavgT9
Black No. 1 (Little Miss Scare -All),Type O Negative,spotify:track:710B9xFjNOisQtKtppZE9p
Multi-Family Garage Sale (Bargain-Bin Mix),Land of the Loops,spotify:track:5lxcUfQq7vgDL2GV2hWbyX
Angry Chair,Alice In Chains,spotify:track:5jCp5VtcpUlHtW8Dwlx13Y
Make Her Mine,Hipster Image,spotify:track:6Hrwj4LvauJ7VaJGiPK9j7
Stuck On You,Failure,spotify:track:6kBODAu0J7doZnLpnwBROy
Tomorrow,Silverchair,spotify:track:4OIpGuYJ6ph56K5GTOqjU7
Sabbra Cadabra,Metallica,spotify:track:3x5fhDgXesy3AJMiSweK5L
New Room,Chavez,spotify:track:0n69n24WXJQfwzd43R3tfg
Hurricane Ride,Ram Jam,spotify:track:2CB7oV1UwHRSHCqjllKt7m
Do You Love Me?,Brian Poole & The Tremeloes,spotify:track:2H70BJxJYi2321FgdofmuN
The Kandinsky Prince,Deep Blue Something,spotify:track:0Lad5pzfEcBDPlu3Ti2Kjq
Ex-Cowboy,Mogwai,spotify:track:3S8oIwd7JLsVwAQAtFZh2c
Play It Back,Dr. Lonnie Smith,spotify:track:4xctl0zK5BjbevWdQ9kBFZ
"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",Aerosmith,spotify:track:0c1gHntWjKD7QShC8s99sq
My Wave,Soundgarden,spotify:track:72sEcstXfHSj4M7H8qOSLX
Cruise Your New Baby Fly Self,Girls Against Boys,spotify:track:2p3T60o0WzqcgFt2zh9kr5
Morphine & Chocolate,4 Non Blondes,spotify:track:48Qp9fQyumixKBLsi73xUg
I Think I'm Paranoid,Garbage,spotify:track:5GH5Nj9ObeMbuLHeLxM2Kk
I Saw Her Again - Single Version / Stereo,The Mamas & The Papas,spotify:track:5uUXQMWsROZEf0HGNY8AbM
Get Enough,ivy,spotify:track:4n4ayAy6TjN3HAAM0Bg3fo
Spirit,Bauhaus,spotify:track:2F6WcoJ2pTzWbxoAF652uy
Get A Shot Of Rhythm & Blues,Flamin' Groovies,spotify:track:13zwMGqtIB5C0DAolhokmw
Scream,Dr. Lonnie Smith,spotify:track:2hsMi0fYcgrni4tbVjsHN2
Together Again,Janet Jackson,spotify:track:1GrikfH0jDejDvrxo84n4P
