HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Shine A Light,Jennifer Holliday,spotify:track:5kPvuPHjIcQ6qmKKSWUFoT
Bringing Home the Ashes,The Wild Swans,spotify:track:3XGBFBUEalGmIDcjvu4nrj
Love Game,Pure Energy,spotify:track:3ucA7QfGdpBonXBU51gANL
Somewhere South,The Railway Children,spotify:track:5b5G32g36N7IK7y7jzZKlv
Denim and Leather - 2009 Remastered Version,Saxon,spotify:track:3eZRkWtuyGBFzUxR0qnTZ3
Help Me Somebody,Brian Eno,spotify:track:4Hr7vxQy2I5A0DJU9PTdHL
That's What You Always Say,The Dream Syndicate,spotify:track:7jgfLVXTBxufrbccakHQi1
Headhunter V1.0,Front 242,spotify:track:65TPre8PWZmmoPzLm15wjK
Words,Missing Persons,spotify:track:3GyLQYquCRImwpPplslJ8M
Shortnin' Bread,The Cramps,spotify:track:79fcx29VKh6lNVfg2qXduI
Swamp - 2005 Remaster,Talking Heads,spotify:track:43AZqEOln2jAIvuYYUBy2l
"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,spotify:track:0Des4gyZ2Z9jq6VA8VPwGE
Eight Arms To Hold You - Vocal Remix,Goon Squad,spotify:track:1nFMeyFknnhbOhOQVMicOW
"You Came - Shep Pettibone 12"" Mix",Kim Wilde,spotify:track:3hC6zw4XWeGIeLIh3rayE4
Taste the Music,Kleeer,spotify:track:3j9aNTJqB7jOI0lLrBpkBy
Break up the Family - 2011 Remaster,Morrissey,spotify:track:5zzOzVV42mwFYsFYR5lxFW
Get on the Dance Floor,Rob Base & DJ EZ Rock,spotify:track:7JrsFX1TKGFsocBlWlxX6s
Kiss Me - Mixe Plural,Stephen Duffy,spotify:track:5TIRgLcf46sYHqiV6SD28r
Deaf Forever,MotÃÂÃÂ¶rhead,spotify:track:3Iz37AvADt1MA4oIKdkEvu
ProblÃÂÃÂ¨mes d'Amour - USA Original Version,Alexander Robotnick,spotify:track:3Ox57Ek39YXBn4IZGHcGhn
Material Girl - Extended Dance Remix,Madonna,spotify:track:4vle25yO4Rf7AYkWtzSfAS
Modern Love Is Automatic,A Flock Of Seagulls,spotify:track:0gJO3qjzYbIhoHFRtArifw
New York Minute,Don Henley,spotify:track:2jxqu3v4AZAhUNvdAbDGet
Fade To Black,Metallica,spotify:track:12oSzrBIyirNs0aCwk6elL
Land of Confusion - 2007 Remaster,Genesis,spotify:track:6twIBPybEvGydyNzNz89FT
Sample And Hold,Neil Young,spotify:track:3qpRtyNLgzVLAHzgL0p4SR
Invisible Touch - 2007 Remaster,Genesis,spotify:track:0xpBr84T3FTm9j4D1MdPtk
Someday When Things Are Good,Merle Haggard,spotify:track:2vAEmaPCbKmVhCmtWPK55R
Rainy Season - 2007 Digital Remaster,Howard Devoto,spotify:track:3A8iWth2HDAwxLm5DmA2vN
Caught Somewhere in Time - 1998 Remaster,Iron Maiden,spotify:track:3w237A0W2Ty1tTYr6EZZDp
You Got The Power,War,spotify:track:4wH9KmntncCz9k0ExA7kfV
The Worst Year of My Life,The Wild Swans,spotify:track:1mXYo6eKDxMQObktOanY0T
Give It Up - Killer Dance Mix,"Evelyn ""Champagne"" King",spotify:track:6BZrvsPYwAXT2XbbWmD65E
People Like Us - 2005 Remaster,Talking Heads,spotify:track:32K2EvrZdypaqYmENi156A
Don't Drop Bombs,Liza Minnelli,spotify:track:0eE48pgg8MlL1PudOn8mIB
Private Number,Judy Clay,spotify:track:5AdCyD1APnK7Drt81MDciC
"Vive le Rock - Unreleased 12"" Mix",Adam Ant,spotify:track:5qnXRZErsb6jhU4jQYZSHA
88 Lines about 44 Women,The Nails,spotify:track:6YSF0u64K0xreRh1uOJuPw
The Land Of The Good Groove,Nile Rodgers,spotify:track:00tXkpgOfkHkVhWIUHylbp
Chips on My Shoulder,Soft Cell,spotify:track:2BMfzQ5LCwBv9xx1GRh98E
Wherewithal,Clifford T. Ward,spotify:track:1SjkiTrZGsZ17PnDT7a76G
Baby,Jeffrey Osborne,spotify:track:1eKXBnIaHA15XZTozfzIWQ
I Will Dare,The Replacements,spotify:track:1MV5BzujqyRQ417qj0rXNS
Who Can It Be Now?,Men At Work,spotify:track:29r3fDexnrto7WABfpblNH
Crimson and Clover,Tommy James & The Shondells,spotify:track:0I4yYE831a8SW8QIx6bz4x
Compulsion,Martin Gore,spotify:track:5ZkLm20XMu4r1KCYaCgx61
Lazyitis - Remastered Version,Happy Mondays,spotify:track:5kihtmEFEQYJEWpskGgnmV
Rapid Fire,Judas Priest,spotify:track:1Ym7220l4W7Yz7Yt26rWSr
The Wrong Road,The Go-Betweens,spotify:track:5kMmFfzoRd2aSsy5h0krMA
Jump Back (Set Me Free) [Club Mix],Dhar Braxton,spotify:track:79Dmt6WB8gGRixMWSXEAJv
Carbrain,The Wake,spotify:track:1O54ecMvGQ9hJS9Q7zzKnU
I Need A Man - Macho Mix / Remastered Version,Eurythmics,spotify:track:4ED0erEsMkXIpRJxRw0cJv
Curumim Chama CunhatÃÂÃÂ£ Que Vou Contar,Jorge Ben Jor,spotify:track:0fC5za98GBTIZtn3BqBr0f
Red Guitar - Remastered 2003,David Sylvian,spotify:track:3LpofUHTF17uFmcduNOfiM
Love Is Strange,Mickey & Sylvia,spotify:track:66Yxbr2UODJjVBKdZtbnOL
Prameny PoznÃÂÃÂ¡nÃÂÃÂ­,Mahagon,spotify:track:6zWSUX5pWai1eAi8RQ43rx
Never Be The Same,Breakfast Club,spotify:track:01pF6jbKrp6GPU294kZcE0
Don't Argue,Cabaret Voltaire,spotify:track:4KLa5weBSToEE1V2IxXUXh
We Can Go to Your House,Maurice Massiah,spotify:track:7r34THvR0eTjNf6wa0dvl0
Another Lost Look,Altered Images,spotify:track:26AwyHhLD6axOw2PpPwGuY
Isn't It A Pity,Galaxie 500,spotify:track:4JyGEgUGVkiszOv2caAYlm
Waiting for a Girl like You,Foreigner,spotify:track:2OgVsp77En2nju8pnCieVU
If She Knew What She Wants - Extended Remix,The Bangles,spotify:track:26oIQMIom9MAPtpx38FV5J
"You're Askin' Me, I'm Askin' You - Buggin' Me Out",T.S. Monk,spotify:track:0fY2YaHDSmfct8levBCaFQ
Sweet Child O' Mine,Guns N' Roses,spotify:track:7o2CTH4ctstm8TNelqjb51
Kookaburra,Cocteau Twins,spotify:track:6niff2hEp5Ecobrjz7teQ4
Trampolene,Julian Cope,spotify:track:0XUxMs4a4XZlShJcKNCbYT
I Don't Need Your Handouts (feat. Jeanne Harris),Citispeak,spotify:track:2alQZbLlTpKL7X5zhXnid6
Made of Stone - Remastered,The Stone Roses,spotify:track:1vLHLlA1ZcKR2dpeSeg1ff
Piece By Piece,Slayer,spotify:track:4S4wP2qMvJY69mdyr1WwZI
Raspberry Beret,Prince,spotify:track:5jSz894ljfWE0IcHBSM39i
Talkin' All That Jazz,Stetsasonic,spotify:track:0dyNjjb5cFcW44LhhlZgJf
German Kid,Dee Dee King,spotify:track:6toC8W9JAMHMp4painPAdd
Put Your Hands Together (feat. Nuff Juice) - Slammin' & Jammin' Mix,D Mob,spotify:track:2Zw3ISAnqZF8MAVTbzGQIV
Max,Paolo Conte,spotify:track:7wq8Aa0nwrQj2RguFrjCQX
Listen - Take #1,Al Green,spotify:track:5ufJFBQyKz0kQCMzN38pIf
CambiarÃÂÃÂ¡s al Hombre,Psiglo,spotify:track:2hwx2W95YzY77Kv15V9lOG
Love...Can Be So Wonderful,The Temprees,spotify:track:2lRD5UGnUCaon5g5cHbkCC
Takes a Little Time,Total Contrast,spotify:track:4fRnJaTugypuApXqO37lXl
America Is Waiting,Brian Eno,spotify:track:14kJXhahKTKmrRFpos7cLg
Heart of Steel,Manowar,spotify:track:4YXhOackOMOlQTMAwsDHo6
Soweto,Jeffrey Osborne,spotify:track:5HvzySWdyAuHlSVdcb9y39
This I Swear,The Skyliners,spotify:track:65kSwni2IGhNIR3UwNb4Sz
She Loves You - Remastered 2009,The Beatles,spotify:track:48JM82SHQTBYkhEYhMaOaa
"Favourite Shirts (Boy Meets Girl) - 12"" Version",Haircut 100,spotify:track:10bSuiGbP9uKN7JM1OeBtT
Panama - 2015 Remaster,Van Halen,spotify:track:05RgAMGypEvqhNs5hPCbMS
Mary Jane - Remastered,Megadeth,spotify:track:0ukxQvqe4LGdb1XRbCKw2E
Another Part of Me - 2012 Remaster,Michael Jackson,spotify:track:2hBJgz4Ye9MkkmBbaDTTKx
North By North,The Bats,spotify:track:54r0OvSGxzwzLHqlUv2TOP
Keep Goin' On,Gary Bartz,spotify:track:2sEbu2qMe4hBiwfNuvtF3a
"Ghostbusters - From ""Ghostbusters""","Ray Parker, Jr.",spotify:track:7MnxdIXJd4N4mHCTPNKhkX
Rock You Like A Hurricane,Scorpions,spotify:track:0XIvZ82aDF7JiSi3ZE320u
This Boy - Remastered 2009,The Beatles,spotify:track:0oQshbv1BFLZ61b1tQ4Eqg
Electric Eye,Judas Priest,spotify:track:3w9zHVKI28aUPZTxq8oDC6
The Paris Match,The Style Council,spotify:track:6XUg2tJwl8l3HV1u3twOYz
For Those Who Like to Groove,"Ray Parker, Jr.",spotify:track:0gwCCQd6Kfq0sl64pmSumf
Over the Mountain,Ozzy Osbourne,spotify:track:0i1RTnH2Lj5gTDRU5wtyT2
Shame On The Night,Dio,spotify:track:2QCk8lF2jzZmC28zxq6bgo
One Of The Living - Extended Version,Tina Turner,spotify:track:7wFjrruuRzT6tE82AiBUio
Paninaro - Italian Remix; 2001 Remaster,Pet Shop Boys,spotify:track:7svx8Z6XDZWCALUoAAH2W3
The Bottom Line - Single Version,Big Audio Dynamite,spotify:track:52MZG2xGCtcy36kFhCr2xL
Always Something There to Remind Me,Naked Eyes,spotify:track:0KlJjhnfwAnPacNd7EH45J
(Take These) Chains,Judas Priest,spotify:track:3fV1eQ8KNKGF18SYY6UYIr
Still Ill - 2011 Remaster,The Smiths,spotify:track:0uLI1jac8ZJSSRG4QJDo3J
Bango (To the Batmobile) - Club Bang,The Todd Terry Project,spotify:track:5n2yBIOI6gzamzDOzWNDPz
Birdman Of Alkatrash,Strawberry Alarm Clock,spotify:track:6jiVychduoSDZeWaMMjVDf
Mr. Grieves,Pixies,spotify:track:0QboItjXFMSeHpAIgvVnz3
Just Like Honey,The Jesus and Mary Chain,spotify:track:4E6YM4V7Kz6zpbiNsliwEl
With All My Might,Sparks,spotify:track:59XeD0N1SZx52iJF5yU0wa
Dreams,Bodeans,spotify:track:7g1Wmx8UOIQI9PBSzoP0jL
Good Thing,Fine Young Cannibals,spotify:track:76ZnyGfjQZSM8GPfR7OqiJ
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,spotify:track:6aBUnkXuCEQQHAlTokv9or
Imagination,Erasure,spotify:track:5jHIUa7htuekqipLSy3mgE
New Way of Life,The Sound,spotify:track:3wRg4yWqH7BH5YljnYeKp0
I Want Your Body,Bobby Thurston,spotify:track:25Qtfh2tufXZIxBYzTyusQ
Gimme All Your Lovin',ZZ Top,spotify:track:0OBwxFLu6Yj61s2OagYbgY
For Whom The Bell Tolls (Remastered),Metallica,spotify:track:17rf2oZYDVymJeYI9ftDXc
"Hurt - 12"" John Luongo Emotional Mix",Re-Flex,spotify:track:5jXEiXj0xWMb6rj5m9vyvP
Mr Pharmacist,The Fall,spotify:track:72zHwO5D223KDdXJqRj2fI
"Girls, Girls, Girls",MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:5xLyTbCFONUGUuG0LtUxjn
At Last I Am Free,Robert Wyatt,spotify:track:1XiXhpJP5JHh7HXu2VPDdW
Dry County,The B-52's,spotify:track:6j9O4fVbjrhYPZcKWXIfPh
Absolute Beginners - 2002 Remaster,David Bowie,spotify:track:5PBFhuXB9tgBaP31nfbkS5
Monkey - Jam & Lewis Remix Remastered,George Michael,spotify:track:6QMCXGz4CxNWHxiuyt47Mr
Sound of Leblon Beach / Garden of Alas,Lizzy Mercier Descloux,spotify:track:3KhCtPtVctf3J5Hvw1JYc0
Since Yesterday - Extended Mix,Strawberry Switchblade,spotify:track:6ZHL28boigFaFRp7pqpWp3
Nothin' But A Good Time - Remastered 2006,Poison,spotify:track:2V8KvnD5LVeeDChMWEkSzC
Let Me Go - 12'' Extended Version / Remastered 2006,Heaven 17,spotify:track:4AUSopq1GZDQcW26xTR7qw
South Of Heaven,Slayer,spotify:track:3U9gogDStAfWxSm91PJuxb
Love of My Life,Breakwater,spotify:track:5bkv2oaq5TyqkId6a2C8ku
Run to the Hills,Iron Maiden,spotify:track:44AxeBXrK9LQlGjXyT2oZQ
Mary Mack,Babyface,spotify:track:2pwXHvgUsXiGXpWOyohGA2
House Train,Risse,spotify:track:4I5s6HODHF5DLL7ipYPqgV
Someone Like You,Sylvester,spotify:track:2Za105gyohvSVfaPVeXMnW
We Love You,The Psychedelic Furs,spotify:track:17xn2DlSY0bz1EWC5YC77B
Why I Came to California,Leon Ware,spotify:track:6jZXAOHmvseRsqxYCbexTJ
How To Be A Millionaire - Bond Street Mix,ABC,spotify:track:3ZFO1vr7UITI6JNvthoRQM
Ace of Spades,MotÃÂÃÂ¶rhead,spotify:track:6EPRKhUOdiFSQwGBRBbvsZ
Lucky Star - New Mix,Madonna,spotify:track:6gTREVvbhMEIluqtLRMWuI
All I Do Is Think of You,Troop,spotify:track:4XhrowM5IKGCRrY2HzYBH3
"Alive And Kicking - Kevorkian 12"" Remix",Simple Minds,spotify:track:6MbW9D2i7iyNbEfwqHE1F9
Pictures Of Matchstick Men,Camper Van Beethoven,spotify:track:5LPx6fu4vKk8FheRq2DAn0
King Of The Flies,Fad Gadget,spotify:track:0xWzzNmKwIt6EWLfznjIuS
King of Rock,RunÃÂ¢ÃÂÃÂD.M.C.,spotify:track:7112WRQXlBGe4Os43yw8gV
Wrong Is Right,Accept,spotify:track:7q5LGOdHaY5oaqjQj1atZz
Wheels Over Indian Trails,Thick Pigeon,spotify:track:5qmEeVBEeFFxUEBUKyu16E
Love Bites - Remastered 2017,Def Leppard,spotify:track:00f7U9f0tPxV7t2Gxff0Gh
This World Over - 2001 Remaster,XTC,spotify:track:0q9gxolmqT3cLJ2BOw1ab1
Welcome Now,Eyeless In Gaza,spotify:track:1qMHetrtdiZ6Azg4MUa1UW
Tell Me When My Light Turns Green - 2000 Remaster,Dexys Midnight Runners,spotify:track:3zY1ZSPYypDCEEr4flTYIh
Chamber of Hellos,Wire Train,spotify:track:73wQ8dXVh8WdIsxLcgxScI
Another Nail In My Heart,Squeeze,spotify:track:7c3WIsUNdaMNbQQzL1Q56l
Hometown,Bazooka Joe,spotify:track:7DIfWRklsbcONLKlKfzpHV
Crosseyed and Painless - 2005 Remaster,Talking Heads,spotify:track:0yhwdmbgkKdE1plV8xWdrd
Norman Bates,Landscape,spotify:track:1pG6ArIziSR0quZqnyl03L
Rhythm of the World,Gino Soccio,spotify:track:3SnTJDnrE1vnH41gAC5zc4
Nunk - New Wave Funk,Warp 9,spotify:track:5BVXwRFMuybkl3X1hRWZ53
I Wanna Take You Home,Patrick Cowley,spotify:track:2bY1aRnVbjQ7I2Rj3OYyUI
Seek & Destroy (Remastered),Metallica,spotify:track:6vVRtEW5T51Zd8qnyrshR1
Feel The Spin,Debbie Harry,spotify:track:5BtVDc1tCfacAlQjOmeZbQ
Pancho and Lefty,Merle Haggard,spotify:track:2hckAvL66faAcR0Fk64hj6
Hurt so Bad,Linda Ronstadt,spotify:track:3c0Ys2ie05I4Csansv7Jhi
Are You Ready,Morris Day,spotify:track:49pM63U5AeMl0kKZf99Cb5
Aces High - 1998 Remastered Version,Iron Maiden,spotify:track:5lSbdSQAWAMjAcJDJPFGQr
My Jamaican Guy,Grace Jones,spotify:track:1KtJstkw99seOECxuDdYS5
Wait,Wang Chung,spotify:track:5cphgBUqtsrTeS4mG3gD2B
You Need Love,Ebo Taylor,spotify:track:4P5PiEBtsUj7UTXqYE89xr
With Or Without You - Remastered,U2,spotify:track:4kAJawkLZj4Q7N5521ofP6
Halloween,King Diamond,spotify:track:3avh2qc28kb7b6RcDVJt22
"So Ruff, so Tuff",Roger,spotify:track:4HLVuXheyiKJ0URSBka2Cn
Autodrive,Herbie Hancock,spotify:track:5Fm1I0XoPmyyQ5GB370e9W
This Is for the Lover in You,Shalamar,spotify:track:78zalqlTeKYmNiQBXANKDl
Night You Murdered Love - The Whole Story,ABC,spotify:track:5FJXQoc7UpZqPmFKeeZxMe
No Time To Cry,Sisters of Mercy,spotify:track:0jmGEKfdkvWA4XyHgpwr4t
It's Tricky,RunÃÂ¢ÃÂÃÂD.M.C.,spotify:track:6jBCehpNMkwFVF3dz4nLIW
Take Your Love Where You Find It,The S.O.S Band,spotify:track:3c1vwtaUfS88rR4UuiaMoZ
Long Tall Sally - Remastered 2009,The Beatles,spotify:track:7ds98B8y5BQltzC60Gdkri
Misery,Soul Asylum,spotify:track:5kKaNe8f5rR8cA3WE7Ol5N
Won't You Let Me Love You,Bernard Wright,spotify:track:6KV2Sc0mGRfg7G5ZYlVUdx
"Hot - 12"" Version",Roy Ayers,spotify:track:2nQKN7W7AQlTrbH7l54ZTe
Fight For Your Right,Beastie Boys,spotify:track:1O2DYAwaGNRkGPGKEGpxo5
Love Becomes Electric (Extended Club Mix) - Remastered,Strange Advance,spotify:track:4rL0d55dTXOXLrl4kRsENQ
Election Day - Consensus Mix; 2010 Remaster,Arcadia,spotify:track:1ZrL7GpysONc35pLYoyvwH
Secret Loser,Ozzy Osbourne,spotify:track:5PqNAorQun71NZzL7c0myK
I Need You,Sylvester,spotify:track:6YubCZtFeDgWvTRAvr1REM
Jet Set (Instrumental),Dr. John,spotify:track:6OK1mnv9rCuKeI7EMG5By3
Fortune and Fame,Naked Eyes,spotify:track:0vHBXgnsKzX8er5CaDWjpp
We Close Our Eyes,Oingo Boingo,spotify:track:3YM1AO8LoDMS4LpfNCkicr
Possession Obsession - Special Remix,Daryl Hall & John Oates,spotify:track:79KnwU2TndLqmXrUEEPz6r
Island In The Sun,Minnie Riperton,spotify:track:1U4zbf15IxO8Bw28NnpQWb
Volare (Nel Blu Dipinto Di Blu),David Bowie,spotify:track:2l2BAqTqhNkQqalBby0NYi
Popularity,Sparks,spotify:track:74OBzm57V3nhIfnm9BKtIV
This Is,Fiction Factory,spotify:track:6CfNWFdGboK3dMfkDa5EDL
I Don't Wanna Go On With You Like That - Shep Pettibone Mix,Elton John,spotify:track:2fR5HLFaqxlGyk6uLk0KbM
Kings of the Wild Frontier,Adam & The Ants,spotify:track:3RysXRKa4VBLBE2NLfoYRy
The Teacher,Big Country,spotify:track:1S5xZaUAL5LEINDMAhPrXj
The Painted Word,Television Personalities,spotify:track:4HH23CMaytYC5IGcmuZzpD
Don't Need A Gun,Billy Idol,spotify:track:2QnmBN9FmRsYHvKUJQrebB
I'm Back for More,Al Johnson,spotify:track:2zC0uKFfERvtOYNKendhEs
Are the Good Times Really Over (I Wish a Buck Was Still Silver),Merle Haggard,spotify:track:7tSZJ9iI3634Sqtd6Uvl49
You'll Never Walk Alone,Gerry & The Pacemakers,spotify:track:05niRYnZWL75PjoZfEtIFm
No Stars,Figures On A Beach,spotify:track:3TIpyijw7PoBSlFwV8me9C
In The Meantime,The Railway Children,spotify:track:4xtnFi9yOEq32Ec7SVVQuj
Tearin' It Up,Chaka Khan,spotify:track:7Hag038sye6QGKPZoJpXwU
A Wasted Life,Tom Petty and the Heartbreakers,spotify:track:2YjRaOhLqrmWCHmRgtGyc1
Nobody's Business - Extended Radio,Billie,spotify:track:4lZI1wbDfJjId4A71I0h1s
Kisses On The Wind,Neneh Cherry,spotify:track:6F7LbHGLir4Z0sTVNPVgax
Boogie's Gonna Get Ya - Extended Mix,Cameron,spotify:track:7lpkIq9n5bFlhvuyjjfWl6
"True Faith - Shep Pettibone 12"" Remix",New Order,spotify:track:6gIg6yHRojDG9Px3eSIZ3P
Motorbreath,Metallica,spotify:track:4mj0z6mFrnzG52eBJm65K2
Little Fury Things,Dinosaur Jr.,spotify:track:7vrwS8Z8JOET8eVpSbAKHM
There's Someone Following Me,Eddie and Sunshine,spotify:track:6Gxp8JI7HhC7VGJFepsixS
Dancing with Tears in My Eyes - Special Remix / 2009 Remaster,Ultravox,spotify:track:2MvKa5niahy255hKvTAOgJ
It's Real,James Ingram,spotify:track:6edqkuM9562tfp1tp5Ja4k
"Reckless - 7"" Edit",Afrika Bambaataa,spotify:track:3F6u1fifH2b24PMOutM8XR
Screaming for Vengeance,Judas Priest,spotify:track:5xmmAlr7JqT53WqacPRhLA
I Want Her,Keith Sweat,spotify:track:2Iw5Rd1IGACxv2CPUZguiG
Tutti Frutti,Little Richard,spotify:track:17nFSc5cJ3AHKt7qsGFtsz
Querida,Juan Gabriel,spotify:track:5ySxlyvySBhIEvoO2xx7uT
I've Had Enough,"Earth, Wind & Fire",spotify:track:157By8hFx0KvNuSKtjubDo
Just the Two of Us,"Grover Washington, Jr.",spotify:track:5fdNHVZHbWB1AaXk4RBGVD
Take Me to the Bridge,Vera,spotify:track:4swOfLpGpRXhJaJjYjBuIH
Batman,NaÃÂÃÂ¯ve,spotify:track:7iGe2EfnaIHRf6JxMwtZR4
Baby Talk,Billy Idol,spotify:track:4DS3hIaJMRYZSkNNUYawm3
State Your Mind,Nile Rodgers,spotify:track:0UVv3ybk7OmYea7RylYPdc
[You Make Me Feel Like] A Natural Woman,Aretha Franklin,spotify:track:5RxnRL9FZHvhBnYON3IJ4p
I Heard It Through the Grapevine,Roger,spotify:track:30FVT0PXZGSNdoTRU0kEsR
Hit'n Run Lover,Carol Jiani,spotify:track:1iN0qo66lfplCufdYlFxMj
"Swept Away - 12"" Long Version",Diana Ross,spotify:track:5DEK4xGtH2IXFniMFCgG30
You've Got To Choose,The Darling Buds,spotify:track:3G2XuqZFx41o50oUDo3zXd
It's Only Make Believe,Billy Fury,spotify:track:7DFdoxs0gCZfAGhny6C0zg
Don't Talk to Me About Love - Extended Version,Altered Images,spotify:track:2iHGWhsctZbMeW46f1aPdS
Jeopardy - Extended Dance Remix,The Greg Kihn Band,spotify:track:1mZopBRe3waQtqmx5wpGzy
Hold It - Remixed,Stephen Duffy,spotify:track:1c4N0Hk1wK6oXuKOatRI2H
Career Girl,Carrie Lucas,spotify:track:1DvP3ouEPU4oZ4NVQ9fcNq
Norman Normal,The Stranglers,spotify:track:0cD1BNsTMjexQhg6t6fhsf
Wild Swan,Lowlife,spotify:track:1NFhSdteGG5rvEEcPp1VgB
Lucretia My Reflection - Vinyl Version,Sisters of Mercy,spotify:track:20goDx14UZviYtCPtLbqvs
Mr. Clarinet,The Birthday Party,spotify:track:6k96A1nacAcj2mE0Ai7600
Forget Who You Are,For Against,spotify:track:3jMNBDfrbUWaZmcaOe3PbJ
Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,spotify:track:4pvljOTffL98X3b9x86HRu
Enola Gay - Remastered,Orchestral Manoeuvres In The Dark,spotify:track:3NYCaxkggl0Hh8vQptSUvV
Band of Gold,Sylvester,spotify:track:0pSHF4mYccCN3AJnhIBZRW
I Can't Wait Too Long (Club Version),Joe Church,spotify:track:7BFujV5R8VO4xKTXZBguqD
Left to My Own Devices - 2001 Remaster,Pet Shop Boys,spotify:track:6LyUx9Er3DBp0kXy7qQIMs
Mercy Seat,Ultra Vivid Scene,spotify:track:58w6DAHu9ZPuG3xmp84snl
Forbidden,Hipsway,spotify:track:24y5WAbED45ryvaAE39DFJ
Ever Fallen in Love,Fine Young Cannibals,spotify:track:4jyMDctRLxQ2U1m5nW8ymQ
Bye Bye Pride - Remaster 2004,The Go-Betweens,spotify:track:33JNyIxB3ed1DGO6QT9LGM
Can't Wait Till Tomorrow - Dance Mix,Sheena Easton,spotify:track:1587EoUwGQSQWoCMoBlgU3
Do You Love Me - Mono,The Contours,spotify:track:3emUseXrDPfMFRsrIGM38c
Planet Earth - Night Version; 2010 Remaster,Duran Duran,spotify:track:5yOGZDD8ks29vB1bQ0DBs6
The Game,Echo & the Bunnymen,spotify:track:2LoKiZrWWngxHzjKAMJWPE
Used To Love Her,Guns N' Roses,spotify:track:2uduMoxSNLkDBhyLS2JroT
Give Me Back My Man,The B-52's,spotify:track:4vKLfj7YuS2yRKAJ9Nn0Id
Ashes to Ashes,David Bowie,spotify:track:1JHUxxd77M4ViaqJZfBdl0
Asi Fue,Isabel Pantoja,spotify:track:419FFiitGchOUaIMEY7Dqi
Modigliani (Lost in Your Eyes),Book Of Love,spotify:track:53yTfRNAwCC7aLGaKlbysJ
Great Southern Land,ICEHOUSE,spotify:track:3OmEIZ6bYHqlReQ1YLaRHV
Darling Nikki,Prince,spotify:track:0khi86hc79RfsRC0rrkkA2
Need You Tonight - Ben Liebrand Mix,INXS,spotify:track:7vjxWHfBjuJdfE2l0YLvWz
Don't Let Me Be Misunderstood,The Animals,spotify:track:0KpTFH1SzexN8SGc0GPILC
Don't Bury Me Yet,The Raw Herbs,spotify:track:1IVSia2E66wYULPHJVE4uc
Eye of the Tiger,Survivor,spotify:track:28P5HAF0Kll9Xd9dX4qw7A
Ay Amor,Ana Gabriel,spotify:track:3n59wxgb8xJNlJFN9ZzOst
Crash,Ultra Vivid Scene,spotify:track:61b1t4fiyZV38h5P45GSKy
I Can't Stand It,The Velvet Underground,spotify:track:2Mgnn11p3bkBzdZfkN6x8W
"I'm So Excited - 12"" Remix",The Pointer Sisters,spotify:track:0QZdWUnsvMCKG7ikgct9wG
On The Road Again,Canned Heat,spotify:track:6IWxHgVbdKyUMydhVGXRaT
Lovergirl,Teena Marie,spotify:track:2ya3XyEvhjanFCBbE7ZOcv
Hot Stuff,Donna Summer,spotify:track:424pNN5XqYHje4vNpuHgBT
Gathering Dust,Modern English,spotify:track:4iU88sBLXTSCLi4DyuDqV0
Bad Habits,Jenny Burton,spotify:track:2vRjlKj1bn5wkXbGj3peBV
E=MC2,Big Audio Dynamite,spotify:track:52WaKEZpbiD6aBkmENlj6x
Blackout,Scorpions,spotify:track:2eAUWu5b9fFFRCGOsxSKRm
Old Habits,"Hank Williams, Jr.",spotify:track:0nuwRjF4m8bj7vabAEIR4B
The Texican (Club Mix),Orange Lemon,spotify:track:6HsikVPqVpZcg7YZrv9cZ6
Connect Up To Me,Ric Ocasek,spotify:track:4DDM99tVcQNgsKeQCwkuS3
Layla,Derek & The Dominos,spotify:track:7ulkhAxc7qtCxlJA8ZMXBm
Bombast,The Fall,spotify:track:1W0ieOd3C1PWM2D4leLaWh
Bust A Move,Young MC,spotify:track:3IeCYkdKI55mNMl2o4vX0k
Sixteen Ways,Green On Red,spotify:track:5EEaUl72fXRec7uxZI573x
Wild Flower,The Cult,spotify:track:7kiYhGmh3BI9kAiuPJV4Ai
Cry Boy Cry,Blue Zoo,spotify:track:0BzPIlaQ5NGAWXmYcGxjwW
Computer World - 2009 Remaster,Kraftwerk,spotify:track:3kW6TmJZY1jLf1PXlLdANt
Too Late For Love,Def Leppard,spotify:track:5vHyWEoEyIJT5RhR1fcN7y
I'll Never Find Another You,The Seekers,spotify:track:1sQ5WUWw3JrsSEhdiQlfRt
The Cat,The Essence,spotify:track:3F9PyYx4534XEULXyfMR16
Don't Blow A Good Thing,Vesta Williams,spotify:track:4c5oLEAkaNCls0vS0O39Pu
Valley of Rain,Giant Sand,spotify:track:1bQocV2OEkjSYkqwFe85ok
In The Name Of Love - 88 Remix,Thompson Twins,spotify:track:06LKXmZ9YdRNQpKDvveDuj
I'll Save You All My Kisses,Dead Or Alive,spotify:track:02zqFKkqEOSJgU5FqgrAm0
Future World,Helloween,spotify:track:4ccAQ4OlYAWbWQJd5DZiZb
"Jive Talkin' - Jellybean 12"" Dance Mix",Boogie Box High,spotify:track:3yNQww7z2ew6PMivfXDmlN
