Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
I Wanna Be Sedated,Ramones,spotify:track:5NoQvINZLBV1wMYPdNmReL
Make up Your Mind,The J. Geils Band,spotify:track:6Xa2bs31bL5ZpieGeMuoDS
Esperanzas,Pecos,spotify:track:2DsLJjeOPeu7lFUjK4QybV
Cities On Flame with Rock and Roll,Blue Ãyster Cult,spotify:track:1VtUpALcsZvnC3pvOdmscb
"Mercy, Mercy Me (The Ecology)",Reuben Wilson,spotify:track:2W4tq0JGbuMrrMypPmwpVE
New Speedway Boogie - 2013 Remaster,Grateful Dead,spotify:track:3YPBV5DacTbhgh7vharn6w
Victim of Love - 2013 Remaster,Eagles,spotify:track:1tKha6Q0lYlW1qsWYbZB2N
"Happy Birthday, John (Happy Trails)",Janis Joplin,spotify:track:6MbncUXyxzF6AKeS4t1P7e
She's Actin' Single (I'm Drinkin' Doubles),Gary Stewart,spotify:track:7dZgDd8LYriRdR2kDSQjxx
Adelante!,Lone Star,spotify:track:4nzrlEvX563867EYtlNBY6
Got to Find Another Way,Alamo,spotify:track:6ROEZBSSQPBs0sdjUeMHZd
Here Comes The Glimmer Man,Stack Waddy,spotify:track:6aBkvppiDKVkgnrlC3TL2o
Shot Down in Flames,AC/DC,spotify:track:6pivm7pNF4GyBkHNGseHCS
Andalucian Blues,Chicken Shack,spotify:track:1u7pLv0KTWCnv5LkVwaWJy
Aqualung,Jethro Tull,spotify:track:5UuikgHTxSRFRnC0zXx10i
She's All Right,Tiger B. Smith,spotify:track:2mvZJ2DmxLTCyPxCoJwbnD
Negativland,NEU!,spotify:track:6nQi4wLGdDErtYo3xxjret
Man Made Laws,Freedom,spotify:track:1wahvgk9cCyaTckTDNHKJv
Red Light Song,Blue,spotify:track:69jVxCz1aLF1GZccmfhpdK
Morning Sun,Taste,spotify:track:0KEFP7V09TcGLHKzLZNPpo
Song Sung Blue - Single Version,Neil Diamond,spotify:track:3sZlKnnY9H5VnHkEWQVpJg
Mercedes Benz,Janis Joplin,spotify:track:4KUWq21aWxNQEAVnpt8kbR
The Real Me,The Who,spotify:track:1ltAKvIg9mdJNdEDme7Seq
De Boliche en Boliche,Los NÃ¡ufragos,spotify:track:6wWL6ft6FV7WoWd9R4Mv9L
Blinded By The Light (Single edit),Manfred Mann's Earth Band,spotify:track:6jkNs6ZRiLjIk87MWmSGWu
Sweet Home Alabama,Lynyrd Skynyrd,spotify:track:4CJVkjo5WpmUAKp3R44LNb
Zen Archer - 2015 Remaster,Todd Rundgren,spotify:track:68fJKEFaEavY3CurGGCWXc
Constantly,Cliff Richard,spotify:track:3v3UfdtyWualsp0UNYmtsi
Every Night - Remastered 2011,Paul McCartney,spotify:track:7zE7VClzAEYa9nUDC950pT
Black Magic Woman / Gypsy Queen,Santana,spotify:track:7cDxjUnMitNKQC5c8RQUko
Let Love Enter,Michael Henderson,spotify:track:2rJiIcKvT42XtVIpMRTmiQ
Juke Box Mama,Link Wray,spotify:track:7CAiWApFJlKHkjwObVrmC7
Passion,Wicked Lady,spotify:track:5DWY9W3JuuIjeppE21jpSR
She's A Bird,Country Joe & The Fish,spotify:track:3RIdtw9moCqKf6HAphjtZI
The Man Who Never Was,Skid Row,spotify:track:1uVPWtJr1kQhP3GGZ2m0qK
Bottles And Barstools,Jerry Lee Lewis,spotify:track:3Lep3L8W4JpZANIUYWCqjQ
Midnight Train,Tommy James,spotify:track:5LDtVAi47L2hnYlkoBz2FC
You Tell Me,Tom Petty and the Heartbreakers,spotify:track:7BMlJ9q7aU3m8wFIUzhARZ
The Chicago Spine,Zior,spotify:track:4g6xkOhc8L7H3XkAtACZhc
Can't You Hear Me Knocking - Remastered,The Rolling Stones,spotify:track:7HRKgCruDphRaLW4wmx8xM
Uncle John's Band - 2013 Remaster,Grateful Dead,spotify:track:0kp728Knw5PYvU3QzMZ0yJ
Hard Drivin' Man,The J. Geils Band,spotify:track:3FxQ1GofQpnHtXAPgAWD5J
Hallogallo,NEU!,spotify:track:1GkZZHT9uJjdzrrksrpczR
Nude Disintegrating Parachutist Woman - 2013 Remaster,Budgie,spotify:track:0Mi5pmZJZ9qMps7Tf2IMu1
Pure Smokey - 2004 Mix,George Harrison,spotify:track:7jkhWo9VpzdPXxcqKQo1Ip
Survivor,Klaus Weiss,spotify:track:413Iz32UCzyMh7AAPdUtLB
Muchos Caminos y DesafÃ­os,Ricardo Soule,spotify:track:1YrS1RFicg7I5dC5yyFyQD
Go Your Own Way - 2004 Remaster,Fleetwood Mac,spotify:track:07GvNcU1WdyZJq3XxP0kZa
Theme From Enter The Dragon,Dennis Coffey,spotify:track:7oIHZdkAoKDVydXISXTmcE
Harry the Earwig,Pete Dello and Friends,spotify:track:61FM5IcTP1sNOwpDIKmGbr
Expecting,Minnie Riperton,spotify:track:2bn4mcAX0Gk8GExJXK3S1O
Lord of Light - 1996 Remaster,Hawkwind,spotify:track:2EXWcFhwQWoeggLvyWOdbV
C'mon Everybody - Remastered,UFO,spotify:track:4aQvk3j1im1qkdoNxwRInf
JamÃ¡s,Camilo Sesto,spotify:track:0ScrUVrcTYIZijbqDZ3CJE
T.N.T.,AC/DC,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb
Free,Spot,spotify:track:0Hu6xUl9l9n032cJ9aNdzh
I'm Caught Up - In a One Night Love Affair,Inner Life,spotify:track:5XaBOlOPKJGnq3XFiS5ZHH
Set Me Down Easy,Moby Grape,spotify:track:6ZT4gsvgAYVmGqzEguLlPv
Love Is Strange - 1993 Digital Remaster,Wings,spotify:track:0dAm9baKSrUH8b0wKPZCGq
Highway of Love,Ticket,spotify:track:2zGO6LNf8SpdN3qSf1t7xg
Lovin' You,Minnie Riperton,spotify:track:3ebYtLVuV4HzEZUDcpZB9p
Never Say Die,Black Sabbath,spotify:track:2oEeygvTiKB9Gv0PZ0FWO6
Fine Day,Robin Trower,spotify:track:0pD2W0qJHrztKKnMpUpLcX
Lansana's Priestess,Donald Byrd,spotify:track:7yqad3MMDrKWp1R32rRzxo
We've Only Just Begun,Carpenters,spotify:track:7nXZCcFAy1oCKQG2SqLszv
Bridge over Troubled Water,Simon & Garfunkel,spotify:track:4kaO0o7j2KIfEPgq3g7g7l
"December, 1963 (Oh, What a Night)",Frankie Valli & The Four Seasons,spotify:track:4nuPrKithHbRJXuA9spwu4
Hot As Sun / Glasses - Remastered 2011,Paul McCartney,spotify:track:50GYRJGsDw5j8rLsxPXX0e
Maybe,Janis Joplin,spotify:track:4HyTIvxq692YpcgwpCd3cp
Running Back,Thin Lizzy,spotify:track:2XKmdfgJ1ev92dhxGc9Eky
The Light Pours Out Of Me,Magazine,spotify:track:2dXOr0TcdwJsEhZ2Jel2qy
SommarlÃ¥ten,International Harvester,spotify:track:7uuaT5ZDwerhzpoGIukRiA
Dreamflower,Tarika Blue,spotify:track:4iyH37AHAkYK1MVhveeqcm
Blond,Barnaby Bye,spotify:track:5FEjCH9RwCyworDG2d60Ja
Pick Up the Pieces,Average White Band,spotify:track:2x1LQq8lsUzAA2wNj8yjC9
"Todo el tiempo del mundo ""Soleado"" - Remastered 2015",Manolo Otero,spotify:track:3sjMzoWNoKIiyzJLE28CMX
Ghost Ship,Jim Morrison,spotify:track:5XTdMVT5i5qcfyTXWxhxVZ
Waste Land,Rufus Zuphall,spotify:track:3ocx8dwRjpg6bTt64bcWh1
Don't Stop (bonus),Spaceark,spotify:track:2Ar05XOs0RZw7fjvI0Kg1Y
If I Needed You,Townes Van Zandt,spotify:track:3FMQnxcc6FcPscLeLqtW5S
Burst,Magazine,spotify:track:0fQPMoMpHV0wJuh3YmcPws
Train in Vain,The Clash,spotify:track:70LBXiKbiidyYbmpNU3TbN
Huit octobre 1971,Cortex,spotify:track:2CsnpBAB8VQMTyPuws57ao
Sam,Quiet World,spotify:track:6EIW9Sp2nMpwh7HmbYCYZT
Can I Sleep in Your Arms,Willie Nelson,spotify:track:09L0YbNtphz1xkv1PAOM1f
Oh! Sweet Nothing,The Velvet Underground,spotify:track:0Y6fHEAm0K5fapMaQpDste
Linda,Miguel BosÃ©,spotify:track:5xUq5PLTPA7CTlAXihrxSD
Vida Antiga,Erasmo Carlos,spotify:track:3htRSlhzKydHsswreubAI2
Latin Music,Doug Clifford,spotify:track:7tn0AfbKhQdQfYINL9pjxV
What Goes On,The Velvet Underground,spotify:track:4zi2uSITqhatkiZOO5wE6R
Daughter of the Hillside,Chicken Shack,spotify:track:2X9UO5WwPYu61fMCB47t8J
I May Be Wrong,Kieran White,spotify:track:3LaEOEHad8xzEFfyV9kbqY
Sunshine,Jonathan Edwards,spotify:track:0eFndjUBaTQdO81uRO9lBL
Just Like a Baby,Sly & The Family Stone,spotify:track:6Omb07SkH7gZzYkNKf1iRh
My Sweet Lord,George Harrison,spotify:track:0qdQUeKVyevrbKhAo0ibxS
Northeast Texas Women,Willis Alan Ramsey,spotify:track:1oBQLfYW3tNXezfgC5qk3H
Dove,Cymande,spotify:track:3zx0EU8Yk5b6Qx1wXgcDXE
Seeds And Stems (Again),Commander Cody and His Lost Planet Airmen,spotify:track:3Q4uEvuGGTGdfJUcQtOcUo
Yesterday Once More,Carpenters,spotify:track:24Qo0pcx4gjBNQNp1cTOVw
Caroline Goodbye,Colin Blunstone,spotify:track:4HlUH6aA6XyYvGZUO9HHHB
Goodbye Blue Sky,Pink Floyd,spotify:track:0ESdtt9cjGZUkUbaubSrv2
Black Night - 1995 Remaster,Deep Purple,spotify:track:2c1ccPqUnFYD8W7LY65bKG
Hard Rain Fallin',Sir Lord Baltimore,spotify:track:5Lou5KZmDcRBF7Xm002XOr
Flirtin' with Disaster,Molly Hatchet,spotify:track:61BywQA7q8KjpGjp3rHuRv
Second Hand,Bachman-Turner Overdrive,spotify:track:4tjHiPaduxfDeP8nafinfX
Tiny Dancer,Elton John,spotify:track:4BGJSbB5rAcg4pNzD4gfxU
Wish You Were Here - 2011 Remastered Version,Pink Floyd,spotify:track:1wHSxWBfPr3GO31y8KGrWe
My Dummy,SvanfrÃ­Ã°ur,spotify:track:3hgS0FTFcblhe3WazFdVRv
Jealous Guy - Remastered 2010,John Lennon,spotify:track:3D9iV6cYkYJRAPFO6DRKIE
American Mother,Help Yourself,spotify:track:7ylewsmKCusR7DqY3t2x0u
Castillo de Piedra,Luis Alberto Spinetta,spotify:track:5wmHOZHzfzfRYI57UbKlOo
A Horse with No Name,America,spotify:track:54eZmuggBFJbV7k248bTTt
A Thing Called Love,Johnny Cash,spotify:track:4Zy3y23RJDQEohBZFu94v1
Eddie's Love,Eddie Kendricks,spotify:track:1GnZ2BX4a6ob0TBSj8xHQO
Sylvia,Arthur Verocai,spotify:track:7gd7BDwZWjGXD6CfX7KQcF
Long Cool Woman (In a Black Dress),The Hollies,spotify:track:3MKeaMa8qTsIQQLoxYdrri
Der Traum ist aus,Ton Steine Scherben,spotify:track:568gbsCi6Byp9VnQZmE6OV
Not Fragile,Bachman-Turner Overdrive,spotify:track:1l8t4PIq3ykDe0qU0EHDtT
Band On The Run - Remastered 2010,Paul McCartney,spotify:track:40b31eggZB30hoqXhGm4qc
Remember Me (When the Candle Lights Are Gleaming),Willie Nelson,spotify:track:4EZyOclvM6qbLdiKEbot4l
Rock & Roll - 2015 Remastered Full Length Version,The Velvet Underground,spotify:track:1o6DclZHw0HomxXEQR1ijX
Seaside Woman,Wings,spotify:track:1leonmZ5bgIkFJqluT6FpX
One For The Lonely,Paul Pena,spotify:track:37lBHUZG9xFZ5w28D88G50
London Boys,Johnny Thunders,spotify:track:03edIXCV0arIFmmi75OFab
Bus Stop,The Hollies,spotify:track:5rVj0WJEGMO0WQeX9GG4kh
Dedicated to Mystery Land - Remastered,Wallenstein,spotify:track:4uwt0Ia8dNCAZFED4GGEz3
Mercury,Harold Fisher,spotify:track:757qKWjaK8RV4sJxmwFjmt
Run Of The Mill,George Harrison,spotify:track:3S574gsoQJl826YjsuRqSr
Go Back Home,Stephen Stills,spotify:track:0iSBeKGfZPnbEacqYFmxw6
Old Time Rock & Roll,Bob Seger,spotify:track:1lhpxZT57yw5toGJtt8fGE
Jet - Remastered 2010,Paul McCartney,spotify:track:13VWHWIIVckG3bHq6oduFJ
Cornucopia - 2014 Remaster,Black Sabbath,spotify:track:2LvHtTgBgNQq4Rb0Aok859
Still I Wonder,Moxy,spotify:track:2H1OQ5hTwMii1bpAVyd5SD
Acuphuncture,Eddie Henderson,spotify:track:5qiHBxVecK6LxLCI43i3A9
Chanson,Art Farmer,spotify:track:6zSHjRauxTzsyqvwZdXaSP
This Thing Called Love,Katie Kissoon,spotify:track:2MTiTRZu1KtqHqDNJqrTJP
DÃ©shominisation (I),Alain Goraguer,spotify:track:51O8s0VOum6BV0mqISv6kL
Love Me Hard,Dust,spotify:track:0mQpL4zkEiv1u2wlBhzSL9
Bumpy's Blues,Mack Browne & The Brothers,spotify:track:53iRXI9hcRu30YjQiW0TuV
This Town Ain't Big Enough For Both Of Us,Sparks,spotify:track:24Ja9b0r3vZDIYKfH8lTVv
Tangerine - 1990 Remaster,Led Zeppelin,spotify:track:5QIQOa1D5ciyi30rqdynWq
Shouldn't Have Took More Than You Gave,Dave Mason,spotify:track:6K80s57RpCXTkrxxXmBpdF
Gypsy - 2013 Remaster,Black Sabbath,spotify:track:7jeY6J8bBErRMegDyp1ydO
Rivers of Babylon,Boney M.,spotify:track:78His8pbKjbDQF7aX5asgv
Love Rollercoaster,Ohio Players,spotify:track:5mY4K0OJsYr3qq0mSkUtiO
Shiva-Loka,Alice Coltrane,spotify:track:3mZ02FMw6BRpdcfB4TDdxY
Raging River Of Fear,Captain Beyond,spotify:track:2cfYAJ9CtQ96nl6izdlbW3
That's What You Say (Everytime You're Near Me),Gloria Scott,spotify:track:5pOuKw6bSVMGVh3FuUaUid
Flash Part IV,My Solid Ground,spotify:track:5PhXPhE7tzJjk6xbuuWXuy
Thank Christ For The Bomb - 2003 Remastered Version,The Groundhogs,spotify:track:6cUby1WgJd5No6IcYiWGRi
Paris 1919,John Cale,spotify:track:5Zpy2HR2vYLjlTQVd81DLH
Golf Girl,Caravan,spotify:track:5Zb02HRs3lExMRbuN5CES9
Return of the Grievous Angel - Remastered Version,Gram Parsons,spotify:track:7vOYp7KJ8gVmVbcatSVf9J
Stick Together,Minnie Riperton,spotify:track:5eDpDKJTOLTHtbpTMywLOn
Shake It About - Remastered,UFO,spotify:track:73zIKJzmZjyRfm1VtJ6iXu
One of the Boys,Mott The Hoople,spotify:track:3xyJQopi3TWy2ouP5A3EcS
Completeness,Minnie Riperton,spotify:track:1vbyyqt8cPI9L7B9ruCbPp
Feelings,Angel,spotify:track:6hnJrFnUHXKHKt9lzxe4YQ
Keep It Heavy,Creme Soda,spotify:track:5EjQaJepqPcGG2NQM9fNPG
The Mexican - 2007 Remaster,Babe Ruth,spotify:track:3Y0O6CiCqe3iPfWCNXSnkq
Urban Rock - 1999 Remaster,Third World War,spotify:track:0MPaZy1yLD5yLpbF0JtoJD
Louie Louie,Flamin' Groovies,spotify:track:2UgSMUXyRJqEoXaOw3gSwL
San Juan Sunset,Deodato,spotify:track:0Pq0mOdgFXTezl6mMt8a39
Waiting For The Band,Nicky Hopkins,spotify:track:5CxubIDB71F4yvf49rTrYr
The Human Being Lawnmower,MC5,spotify:track:6MiQrP9i19Jk9KyKU6kjL2
Smoke,Poobah,spotify:track:4ZI74RENZGbBOHIr4HroPz
I Want More,CAN,spotify:track:1ynemPxsPrCwUb87VmGFuq
Treat Me Like A Saturday Night,Joe Ely,spotify:track:2MNBJssqiZqMjI2uiOyrZo
Fancy Dancer,Bread,spotify:track:53k8M8tfRLZd4h0snn0JOf
Nadir's Big Chance - 2006 Digital Remaster,Peter Hammill,spotify:track:4tu0NNBNeVMIjMznKBHjtn
Do Something About It,Thelma Houston,spotify:track:6Zh65gbLKl2cOJBKLZLcCr
En Melody,Serge Gainsbourg,spotify:track:4YFLi42CeCljqZ4VzvRTwa
Ex Lion Tamer - 2006 Remastered Version,Wire,spotify:track:5bb71zUIXMD6fsnHBLaoQ6
Out of the Blue,Angel City,spotify:track:27K3yXlsJiO52zHV3JM73K
Calling Dr. Love,KISS,spotify:track:13v3cG4u6dgiXfgihQh53D
Fat Bottomed Girls - Remastered 2011,Queen,spotify:track:4igIYHF3B5VBxEafHauVo3
Stay with Me,Faces,spotify:track:7fLTytvnvxy653VWxflTRf
Imagine - Remastered,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9
Solsbury Hill,Peter Gabriel,spotify:track:5HKwWqd7FazykEv22mfMb7
All Hashed Out - 2003 Remastered,The Guess Who,spotify:track:3RuhkhsllYKPH3YBmrJGM2
Black Sabbath,Black Sabbath,spotify:track:1udmPvJoBnqitbeYKKc9mc
Ancient Traveller (bonus track previously unreleased),Mighty Baby,spotify:track:5QLIt5A6f9rE2aAcmyCNax
Lost Forever,Earth & Fire,spotify:track:5P2wdKCQAqbYkIktQjmEfY
Bitter Creek - 2013 Remaster,Eagles,spotify:track:2h3bBo0QAPd3jbbAiqCdYZ
Khala My Friend,Amanaz,spotify:track:5xevas4P14kVmD4St0X3yy
Loose Goose,Dust,spotify:track:2xy6pUjOCgnHWbnpah12ZU
Now She's Gone,Felt,spotify:track:4rkpdir3pNpNC562m4ojH3
A Girl In Trouble (Is a Temporary Thing) - Dance Mix,Romeo Void,spotify:track:4apng8tvgwREkexRmIhArY
Sweet Sixteen - Single Version,Cactus,spotify:track:5TW7gBAhHsmkqq7HDZ6Sd8
Suzie Sunshine,Buffalo,spotify:track:0zB9AfC10Oblp6PK46142s
The 15th - 2006 Remastered Version,Wire,spotify:track:09yW4puUYZDi8qbshroNI6
Sister Love,Donald Byrd,spotify:track:4UGsej4oDVhNUurnah3766
Heaven and Hell,Waylon Jennings,spotify:track:3Ph1o8I4ATHBh15r1XiI9j
What Am I Doing Hangin' 'Round?,Michael Martin Murphey,spotify:track:7jWz1MZ4CICnax1nmylT0N
Suicide,Dust,spotify:track:5RIqqdVaKlzXgVAzYIvGVP
(I'm) Chewin' Gum,Creme Soda,spotify:track:1ZwbHkrd040N7MrIlkRzQ6
Long Tall Sally,Cactus,spotify:track:1XxoaYkc2O3KBxkgd1O4bM
Call Me Animal,MC5,spotify:track:4y6HM8sGfhSqU8qa6DdWOv
Too Much Time,Captain Beefheart & His Magic Band,spotify:track:1TzUVJVzOPkX5i8BpoAiu4
Fortunate Son,Creedence Clearwater Revival,spotify:track:0Ko737UNjXO17LK4Urdlwo
Crucificado - Live at the Palais des Glaces,Archie Shepp âAttica Blues Big Band,spotify:track:4VyHBIR3OKqp9LUuiYiriU
Hell Hound,Sir Lord Baltimore,spotify:track:5FlTfq71n5Fxrei3B07Vx2
Regreso al Origen,Grupo Ciruela,spotify:track:51Bp9JASJq8FFOSVbnkT1b
Cold Sweat,James Brown,spotify:track:7Aroy5dZs3mY2cFEWexlcG
Mirrors,Angel,spotify:track:4gwTSi88dbuRZhNkCL53YL
It's So Nice (To See Old Friends),Minnie Riperton,spotify:track:1SWg9g9grkQ3BXr6ehabnS
It's a Sin to Go Away,We All Together,spotify:track:2BqgEXbJs34IyBmGj5kS1c
Osmose I,Annexus Quam,spotify:track:1FyBN7tzfpV9iFA1fTKGoj
Uno Esta,Bobbi Humphrey,spotify:track:3L1kD0jgSfbdSyciyWc27i
Eccentric Man - 2003 Remastered Version,The Groundhogs,spotify:track:4gEnYfvY1tJhV5NkE35pEu
Be Thankful For What You Got,Love,spotify:track:0Mm52YAVJcZSnpsN1YJwqu
Going Down,Chicken Shack,spotify:track:3PtmhFE7ZUPQXP5OG5XiOw
(Don't Fear) The Reaper,Blue Ãyster Cult,spotify:track:5QTxFnGygVM4jFQiBovmRo
Polecat Woman,Three Man Army,spotify:track:06NyGnkmqXoHRPT8QAW0AX
Traum - Remastered,Hoelderlin,spotify:track:1r0oCRkx8piclGysm5WNXC
I'm Going Man I'm Going,Blue Planet,spotify:track:3AKCqCnW2i3h9tPlaGmQmZ
Evil Woman,Spooky Tooth,spotify:track:7I74tItBgPFJ2MWpIBz3rf
Compulsion,Vox Dei,spotify:track:5KQXNsZ9qHR19Jrv6gHjXp
Clean up Woman,Betty Wright,spotify:track:6uqTETWok9npbL4c9cuLVh
Children Are the Spirit of the World,Dee Dee Bridgewater,spotify:track:0S6dAMSLGrpmsVmPpCDQFK
A Bit of Finger / Sleeping Village / Warning - 2013 Remaster,Black Sabbath,spotify:track:01xU5pDHQ8FfVhEi98UFMY
Staircase to the Day,Gravy Train,spotify:track:5Xfz0pgj2fZnpyLKBw0oud
"It's Been A Long, Long Time",Ray Conniff,spotify:track:3PXOZqn2ofMUbAPtO2HAk8
Hell Bent for Leather,Judas Priest,spotify:track:0SEd8AUWG3j4YFsFEVmGjW
Frightened,The Fall,spotify:track:3QoDoOAy5phjZ5CJwmarNI
Blue Eyes Crying In the Rain,Willie Nelson,spotify:track:2uRVPeQbsEpRQD0DKr1WTo
Kothbiro,Black Savage,spotify:track:2l8Z2vA4DW21mAcmdA7QCw
Without You - Remastered,Harry Nilsson,spotify:track:02gV5Zc9ctbZxD1uTNIok5
Welcome To The Working Week,Elvis Costello,spotify:track:3ReSHpzDOMeKKBJ0STvOmv
Nite Flights,The Walker Brothers,spotify:track:5ZsjiK0NIgNmDhe5qiCVJI
I Can See Clearly Now - Edit,Johnny Nash,spotify:track:0DcrhZ12WcCqruCs8ibXSf
Don't Start (Too Late) - 2013 Remaster,Black Sabbath,spotify:track:57AKaqMXi2wwU2omItTYWi
Black Angel,Nil's Jazz Ensemble,spotify:track:75bP7BO9LKdsmaeBoJjEyE
Baby Don't Go,Sonny & Cher,spotify:track:15CatBJBZlCFWkZSXbwzzy
Far From Over,Frank Stallone,spotify:track:3BGgBPeVIIraIgJxhfXhgo
Suicide,Thin Lizzy,spotify:track:3kJC3sTXht8g6XtNTUQSu6
Ballad of Mott The Hoople,Mott The Hoople,spotify:track:6dU5h5pvEUoTnOTfzHOF1r
Frustration,Nine Days Wonder,spotify:track:3XMGMFEkEJYG3aC331eD5F
The Doctor,"West, Bruce & Laing",spotify:track:5S1t1XZTgMafIZnq8VQpff
Sinner's Song,Robin Trower,spotify:track:41cBKUx4vqs3mgHBG0c20j
(There's A) New Dawn,The New Dawn,spotify:track:7JpX4XPbCoYkL1yc6GCsUu
Last Train - Remastered Version,Allen Toussaint,spotify:track:1zFkWtm4zmjB4O3qAokRBX
California Sun,The Dictators,spotify:track:689vEbKL2tIspFwZhIp3yx
Behind That Locked Door,George Harrison,spotify:track:2pTZsG61UdgMK24OLa3ofa
"Lions, Christians",Bang,spotify:track:0IHtuL8HSWR07hm3YpFFLt
I Think I'm Falling In Love,Leroy Hutson,spotify:track:6c8AB8S4iIxfTASBnpGnLH
AdiÃ³s Chico de Mi Barrio,Tormenta,spotify:track:7nYFnK9zrjo5KbUWrSYPHD
One Of These Days - 2011 Remastered Version,Pink Floyd,spotify:track:0Ga3szKsJOeZ0eAfydm1WV
Fire on the Mountain,The Marshall Tucker Band,spotify:track:4delgtiKX7L3nsbC0exhCS
Whatever Gets You Thru The Night - Remastered 2010,John Lennon,spotify:track:49nBXQzYNyjoBmUda3ezMf
Boy,Blue Planet,spotify:track:4EFWff35EKxrSBvH2q4y5k
You're All I've Got Tonight,The Cars,spotify:track:2RH10TTlPhq8S61rXlVssL
Angry Eyes - Single Version,Loggins & Messina,spotify:track:1zM8E87IuR1CN968LCnNeQ
Flying Fish,Asha Puthli,spotify:track:4G8WTDpV1IOrgOYU5gAXBe
Miss Misery,Nazareth,spotify:track:62jkC7QjW7qVuCqMbEwdmg
Sway - Remastered,The Rolling Stones,spotify:track:2TgVLVuBUBp8Dc6tER4mg4
The Great Filling Station Holdup,Jimmy Buffett,spotify:track:47mGxRR0TtHdttw2IW4nDp
Freelance Fiend,Leaf Hound,spotify:track:0pw11qkvwif0NkH4y7CgOQ
Jennie Lee,Shuggie Otis,spotify:track:3zbWu0mY4d8QyTkPkz9Gvi
Last Train to London,Electric Light Orchestra,spotify:track:6xE6ZWzK1YDDSYzqOCoQlz
Saturday Love,Cherrelle,spotify:track:0qBkrd11RB2N7mp8BZTAPv
Nothing In The World,Blue Planet,spotify:track:3AZPmVUz6a4tvwW1RUuMgx
Runaway - Single Version,Del Shannon,spotify:track:6jGMai6vxGIF1e0YLMmasR
Dat Mistige Rooie Beest,Rogier Van Otterloo,spotify:track:7cuRZsJ1DjfTMILwkaNVau
No G.D.M.,Gina X Performance,spotify:track:6y9JP8k9WGhCfae9jzx2W8
Into the Future...,The Vibrators,spotify:track:4tv439XgrxZPsonSPvaAFy
The Dude,Donald Byrd,spotify:track:5tcx0hDhFwLR3ThQXHfxF1
Suicide,Stray,spotify:track:7eSypcesEEjWISE75qMEga
Witches Wand,Luv Machine,spotify:track:7gQhlz1ORhjhaJxVhfXQlQ
Vitamin C,CAN,spotify:track:0N9w2k0qrAYDHUyliycGD5
Snowblind - 2014 Remaster,Black Sabbath,spotify:track:5w091st8zPd8c01LFzTY8B
Long Misty Days,Robin Trower,spotify:track:1ZXm2sG2RffQHxpKkGcmOz
One of These Nights - 2013 Remaster,Eagles,spotify:track:608xszaAxVh4m7NcKJiAbF
Cantaloupe Woman,Grant Green,spotify:track:60dWKahUyEfdEVKCRggEhC
Disperato erotico stomp,Lucio Dalla,spotify:track:7ELgXEWwuVbUFVeXdZMK5c
Rabatz,Krokodil,spotify:track:03Uu6lDYsYrcNOtS9kxXId
Train,Moxy,spotify:track:21v4piDZrioAUdyTRG9JRH
Ten Feet Tall,Geordie,spotify:track:35LxGLZKHPw3BR5U0iwJJn
No Mercy,The Tubes,spotify:track:67cNYu4wVUB9AaDPDUZ4Mx
Honky Tonk Amnesia,Moe Bandy,spotify:track:6EkSR27M6s2bLOFfyuLtNq
"Let No Man Put Asunder - Shep Pettibone 12"" Mix",First Choice,spotify:track:5mTzj7zSsR6YezbRwAzgKd
One Night in Eagle Rock,Titanic,spotify:track:1obfgocMfDLmd8uboWMSFL
Luv N' Haight - Single Version,Sly & The Family Stone,spotify:track:4Phj7Zce9seBEAaqiyK12r
Willie The Pimp,Stack Waddy,spotify:track:35GKzOuRdShgBLRZS7rrQn
Liberdade Espacial,Casa Das MÃ¡quinas,spotify:track:4xnrnot6a3FPEWO0srpgaz
Just Kissed My Baby,The Meters,spotify:track:1TB0dZqFRQsnf4fLLLRKQV
No Name Bar,Isaac Hayes,spotify:track:5UDXWrGj2pNSPuPqpO6LOO
Spray,CAN,spotify:track:3D8IsQBxJzOTsaXBJDy4Ar
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,spotify:track:4OTw5splgMdlYklwHMHxLK
Love Is in You - Remix,Nightlife Unlimited,spotify:track:4n3pRHNe0a5jj3ii2QXQY5
You Say,Buffalo,spotify:track:0ybtAl0FJNthsnkVtitWBF
Your Mama Wants Ya Back,Betty Davis,spotify:track:4kA5502d0iiUaczE2XOn8F
I'm Back For More,Leo's Sunshipp,spotify:track:1Fg71dcYDegFwGLfjy00ks
Doctor Boogie,Flamin' Groovies,spotify:track:4dt76cwFH4AEjBOwEaKLYF
Stay Clean,MotÃ¶rhead,spotify:track:0S5OBVi1VLsoKoAgy8pWeR
Long Tall Glasses (I Can Dance) - Remastered,Leo Sayer,spotify:track:3AA2SafseoJo431Pee120g
Bring It To Jerome,Stack Waddy,spotify:track:2RMMCAPHEGe3yBeq7hBGSz
I Got A Woman,Sir Lord Baltimore,spotify:track:2Q54NZth7UoaoWGou4d4Ub
"Dropkick Me, Jesus",Bobby Bare,spotify:track:1Bapff842CesYdnH07keB5
Post-Crucifixion,Pescado Rabioso,spotify:track:2ri0lTjVeBkWAmRVkJoHXL
